Timestamp,Average,Min,Max,Median
12:04:52,1.64,2.04,0.94,1.64
12:04:53,1.69,2.04,0.82,1.74
12:04:54,1.63,2.04,0.81,1.64
12:04:55,1.64,2.04,0.93,1.67
12:04:56,1.69,2.04,0.93,1.74
12:04:57,1.64,2.05,0.89,1.65
12:04:58,1.67,2.05,0.93,1.65
12:04:59,1.65,2.05,0.98,1.67
12:05:00,1.64,2.05,0.89,1.66
12:05:01,1.64,2.05,0.91,1.62
12:05:02,1.65,2.04,0.96,1.68
12:05:03,1.64,2.04,0.98,1.65
12:05:04,1.65,2.04,1.15,1.64
12:05:05,1.59,2.04,0.9,1.57
12:05:06,1.63,2.04,0.99,1.64
12:05:07,1.71,2.05,0.86,1.81
12:05:08,1.57,2.05,0.87,1.57
12:05:09,1.65,2.05,0.89,1.66
12:05:10,1.69,2.05,0.97,1.79
12:05:11,1.58,2.05,0.87,1.58
12:05:12,1.62,2.05,0.94,1.63
12:05:13,1.71,2.05,1.0,1.8
12:05:14,1.58,2.05,0.89,1.54
12:05:15,1.61,2.05,0.82,1.64
12:05:16,1.66,2.05,0.9,1.65
12:05:17,1.57,2.04,0.82,1.55
12:05:18,1.65,2.04,0.87,1.64
12:05:19,1.64,2.04,0.92,1.64
12:05:20,1.64,2.04,0.83,1.67
12:05:21,1.64,2.04,0.92,1.65
12:05:22,1.62,2.05,0.93,1.61
