Timestamp,Average,Min,Max,Median
12:06:24,1.65,2.05,0.91,1.65
12:06:25,1.56,2.04,0.91,1.57
12:06:26,1.55,2.04,1.01,1.56
12:06:27,1.64,2.04,0.9,1.65
12:06:28,1.58,2.04,0.9,1.59
12:06:29,1.55,2.05,0.86,1.53
12:06:30,1.68,2.04,0.91,1.7
12:06:31,1.7,2.04,0.87,1.8
12:06:32,1.63,2.04,0.92,1.6
12:06:33,1.64,2.04,0.85,1.62
12:06:34,1.67,2.04,0.91,1.68
12:06:35,1.66,2.05,0.93,1.73
12:06:36,1.64,2.05,0.86,1.67
12:06:37,1.65,2.06,0.95,1.67
12:06:38,1.57,2.05,0.93,1.57
12:06:39,1.68,2.05,0.95,1.68
12:06:40,1.67,2.04,0.84,1.67
12:06:41,1.6,2.04,0.95,1.6
12:06:42,1.74,2.04,0.94,1.84
12:06:43,1.67,2.04,0.96,1.7
12:06:44,1.63,2.04,0.93,1.64
12:06:45,1.63,2.05,1.0,1.65
12:06:46,1.57,2.05,0.89,1.57
12:06:47,1.66,2.05,0.9,1.69
12:06:48,1.76,2.05,0.83,1.91
12:06:49,1.57,2.05,0.89,1.55
12:06:50,1.67,2.04,0.85,1.7
12:06:51,1.68,2.04,0.89,1.77
12:06:52,1.65,2.04,0.82,1.68
12:06:53,1.65,2.04,0.91,1.66
12:06:54,1.68,2.04,0.87,1.76
