Timestamp,Average,Min,Max,Median
12:38:27,1.87,2.05,0.96,2.02
12:38:28,1.85,2.04,0.99,1.98
12:38:29,1.84,2.04,0.97,1.93
12:38:30,1.8,2.04,0.96,1.91
12:38:31,1.86,2.05,0.82,2.01
12:38:32,1.81,2.05,0.84,1.91
12:38:33,1.86,2.04,0.82,2.0
12:38:34,1.86,2.04,0.82,2.01
12:38:35,1.86,2.04,0.97,2.02
12:38:36,1.85,2.04,0.82,2.0
12:38:37,1.85,2.05,0.83,2.0
12:38:38,1.85,2.05,0.89,2.0
12:38:39,1.88,2.05,1.12,2.02
12:38:40,1.86,2.05,0.87,2.01
12:38:41,1.87,2.05,1.14,2.02
12:38:42,1.84,2.05,0.91,2.0
12:38:43,1.86,2.04,0.94,2.0
12:38:44,1.82,2.04,0.92,1.91
12:38:45,1.83,2.04,0.86,1.92
12:38:46,1.84,2.04,0.89,1.92
12:38:47,1.85,2.05,0.98,1.97
12:38:48,1.85,2.05,0.96,1.96
12:38:49,1.85,2.05,0.91,1.95
12:38:50,1.84,2.05,0.87,1.92
12:38:51,1.78,2.03,0.91,1.87
12:38:52,1.83,2.06,0.92,1.9
12:38:53,1.84,2.05,0.96,1.91
12:38:54,1.79,2.03,0.93,1.91
12:38:55,1.88,2.05,0.88,2.02
12:38:56,1.87,2.06,0.85,2.02
