Latitude,Longitude,Value
50.8238208,3.240455,70
50.8238157,3.2404433,10
50.8238107,3.2404316,7
50.8238005,3.240408,14
50.8237954,3.2403964,99
50.8237904,3.2403847,89
50.8237853,3.240373,93
50.8237826,3.2403669,90
50.8237753,3.2403751,43
50.8237779,3.240381,42
50.8237829,3.2403927,40
50.823788,3.2404044,61
50.8237931,3.2404162,96
50.8237982,3.2404278,56
50.8238032,3.2404396,78
50.8238083,3.2404513,89
50.8238134,3.240463,96
50.8238185,3.2404748,89
50.8238235,3.2404865,91
50.8238256,3.2404912,58
50.8238184,3.2404998,70
50.8238161,3.2404945,70
50.823811,3.2404828,88
50.823806,3.240471,25
