Second,Average,Min,Max,Median
0,-44.81831550331604,-48.8,-43.2,-44.8
1,-47.23439625509691,-50.0,-45.599999999999994,-47.599999999999994
2,-48.20738112671518,-50.39999999999999,-45.999999999999986,-48.8
3,-48.14213708479231,-51.2,-46.39999999999999,-48.0
4,-48.255560114019545,-50.8,-46.8,-48.39999999999999
5,-47.95935326848788,-49.19999999999999,-46.8,-48.0
6,-47.689162380999626,-48.39999999999999,-47.19999999999999,-47.599999999999994
7,-47.562054092053614,-48.39999999999999,-47.19999999999999,-47.599999999999994
8,-47.80037091479524,-48.0,-47.599999999999994,-48.0
9,-48.11029644041351,-48.39999999999999,-48.0,-48.0
10,-48.069334293381665,-48.39999999999999,-48.0,-48.0
11,-47.98689679125247,-48.39999999999999,-47.599999999999994,-48.0
12,-47.57371665495207,-48.0,-47.19999999999999,-47.599999999999994
13,-47.20672616197256,-47.599999999999994,-46.8,-47.19999999999999
14,-47.164530283360094,-47.19999999999999,-46.8,-47.19999999999999
15,-47.59701679531291,-48.0,-47.19999999999999,-47.599999999999994
16,-48.47150607523304,-49.19999999999999,-48.0,-48.39999999999999
17,-49.624068290307534,-50.0,-49.19999999999999,-49.599999999999994
18,-50.36215404376301,-50.8,-50.0,-50.39999999999999
19,-50.35702304143551,-50.8,-50.0,-50.39999999999999
20,-49.625619122690026,-50.0,-49.19999999999999,-49.599999999999994
21,-48.697050578804564,-49.19999999999999,-48.39999999999999,-48.8
22,-47.942229274383166,-48.39999999999999,-47.599999999999994,-48.0
23,-47.59791592559075,-47.599999999999994,-47.19999999999999,-47.599999999999994
24,-47.28294545968861,-47.599999999999994,-47.19999999999999,-47.19999999999999
25,-47.19999999999999,-47.19999999999999,-47.19999999999999,-47.19999999999999
26,-46.84223927187397,-47.19999999999999,-46.8,-46.8
27,-46.8,-46.8,-46.8,-46.8
28,-46.8,-46.8,-46.8,-46.8
29,-46.89222780994026,-47.19999999999999,-46.8,-46.8
