Elapsed Time (s),Value
0.000,2.02
0.001,2.02
0.002,2.02
0.002,1.92
0.003,2.02
0.003,1.99
0.004,2.01
0.004,2.02
0.005,2.02
0.005,2.01
0.005,2.02
0.006,2.02
0.006,2.02
0.007,2.02
0.007,2.02
0.008,2.02
0.008,2.02
0.009,2.01
0.009,2.01
0.009,2.01
0.010,2.02
0.010,2.02
0.011,2.01
0.011,2.02
0.012,2.02
0.012,2.02
0.012,2.02
0.013,2.02
0.013,2.02
0.014,2.02
0.014,2.02
0.014,2.02
0.015,2.02
0.016,2.02
0.016,2.01
0.017,2.02
0.017,2.02
0.018,2.02
0.018,2.02
0.019,2.02
0.019,2.01
0.020,2.02
0.021,2.02
0.022,2.02
0.022,2.02
0.023,2.02
0.023,2.01
0.024,2.02
0.024,1.97
0.025,2.01
0.025,2.02
0.026,2.02
0.026,2.02
0.027,2.02
0.027,2.02
0.028,2.01
0.028,2.01
0.029,2.01
0.029,2.01
0.030,2.02
0.030,2.02
0.030,2.01
0.031,2.01
0.032,2.02
0.033,2.01
0.033,1.85
0.035,2.02
0.035,2.02
0.036,2.01
0.037,2.01
0.037,2.02
0.038,2.0
0.038,2.01
0.038,2.02
0.039,2.01
0.039,2.01
0.040,2.01
0.041,2.01
0.041,2.01
0.041,2.01
0.042,2.0
0.042,2.01
0.043,2.01
0.043,2.02
0.043,2.01
0.044,2.01
0.044,2.01
0.045,2.02
0.045,2.01
0.045,2.01
0.046,2.01
0.046,2.01
0.047,2.01
0.047,2.01
0.048,2.0
0.049,2.01
0.050,2.02
0.051,2.01
0.052,2.01
0.053,2.01
0.053,2.01
0.054,2.01
0.054,2.01
0.055,2.01
0.055,2.01
0.056,2.01
0.056,2.01
0.057,2.01
0.057,2.01
0.058,2.01
0.058,2.01
0.059,2.01
0.059,2.01
0.060,2.01
0.060,2.01
0.061,2.01
0.061,2.01
0.062,2.01
0.062,2.01
0.063,2.01
0.063,2.01
0.063,2.01
0.064,2.01
0.064,2.0
0.065,2.01
0.066,2.01
0.067,2.01
0.068,2.01
0.069,1.78
0.070,2.01
0.070,2.01
0.071,2.01
0.071,2.01
0.072,2.01
0.072,2.01
0.073,2.01
0.073,2.01
0.073,2.01
0.074,2.01
0.074,2.0
0.075,2.01
0.075,2.01
0.076,2.01
0.076,2.01
0.076,2.01
0.077,2.01
0.077,2.0
0.078,2.01
0.078,1.79
0.078,2.01
0.079,2.0
0.079,2.01
0.080,2.01
0.080,2.01
0.080,2.01
0.081,2.01
0.081,2.01
0.082,2.01
0.083,2.01
0.085,2.01
0.086,2.01
0.087,2.01
0.087,2.01
0.087,2.01
0.088,2.01
0.088,2.0
0.089,2.01
0.089,2.01
0.090,1.99
0.090,1.8
0.090,2.02
0.091,2.01
0.091,2.01
0.092,2.02
0.092,2.01
0.093,2.01
0.093,2.01
0.093,2.01
0.094,2.01
0.094,2.01
0.095,2.01
0.095,2.01
0.095,2.02
0.096,2.01
0.096,2.01
0.097,2.02
0.097,2.01
0.098,2.01
0.098,2.02
0.100,2.01
0.101,1.82
0.103,2.02
0.103,2.01
0.103,2.02
0.104,2.02
0.104,2.01
0.104,2.02
0.105,2.01
0.105,2.0
0.106,2.01
0.106,2.01
0.106,2.01
0.107,2.01
0.107,2.01
0.107,2.02
0.108,2.02
0.109,2.01
0.109,2.02
0.109,2.01
0.110,2.01
0.110,2.01
0.111,2.01
0.111,2.01
0.111,2.01
0.112,2.01
0.112,2.01
0.113,2.01
0.113,2.02
0.113,2.01
0.114,2.01
0.114,2.02
0.115,2.01
0.115,2.01
0.116,2.0
0.116,2.01
0.117,2.01
0.117,2.01
0.119,2.01
0.119,2.01
0.119,2.0
0.120,2.01
0.120,1.83
0.120,2.01
0.121,2.01
0.121,2.0
0.121,2.01
0.121,2.0
0.122,2.0
0.122,2.0
0.122,2.0
0.123,2.01
0.123,2.01
0.123,2.01
0.124,2.0
0.124,2.0
0.124,2.01
0.125,2.0
0.125,2.01
0.125,2.01
0.126,2.0
0.126,2.0
0.126,2.01
0.126,2.0
0.127,2.0
0.127,2.01
0.127,2.01
0.128,2.01
0.128,1.99
0.128,2.01
0.129,2.01
0.129,2.01
0.129,2.01
0.130,2.01
0.130,2.01
0.130,2.01
0.131,2.0
0.131,2.01
0.131,2.01
0.132,2.0
0.133,2.0
0.134,2.02
0.135,2.01
0.135,2.01
0.136,2.01
0.136,2.01
0.136,2.01
0.136,2.01
0.137,2.01
0.137,2.01
0.137,2.0
0.138,2.01
0.138,2.01
0.138,2.01
0.138,2.01
0.139,2.01
0.139,2.02
0.139,2.01
0.140,2.01
0.140,2.02
0.140,2.0
0.141,2.01
0.141,2.01
0.141,2.01
0.142,2.01
0.142,1.97
0.142,2.01
0.142,1.98
0.143,2.01
0.143,2.01
0.143,2.01
0.144,2.01
0.144,2.01
0.144,2.01
0.145,2.01
0.145,2.01
0.145,2.02
0.145,2.01
0.146,2.01
0.146,2.01
0.146,2.01
0.147,2.01
0.147,2.01
0.147,2.01
0.148,2.01
0.148,2.01
0.151,2.0
0.152,2.01
0.153,2.01
0.154,2.01
0.154,2.01
0.155,2.01
0.155,2.01
0.155,2.01
0.155,2.01
0.156,2.01
0.156,2.01
0.156,2.01
0.157,2.02
0.157,2.01
0.157,2.01
0.157,2.02
0.158,2.01
0.158,2.02
0.158,2.02
0.158,2.02
0.159,2.02
0.159,2.01
0.159,2.02
0.160,2.02
0.160,2.01
0.160,2.02
0.160,2.02
0.161,2.02
0.161,2.01
0.161,2.02
0.161,2.02
0.162,2.01
0.162,2.01
0.162,2.02
0.162,2.01
0.163,2.02
0.163,2.02
0.163,2.02
0.164,2.02
0.164,2.02
0.164,2.02
0.165,1.95
0.166,2.01
0.167,2.02
0.167,2.01
0.168,2.01
0.169,2.02
0.169,2.01
0.169,2.01
0.170,2.02
0.170,2.02
0.170,2.01
0.170,2.02
0.171,2.01
0.171,2.01
0.171,2.02
0.172,2.01
0.172,2.02
0.172,2.02
0.172,2.02
0.173,2.02
0.173,2.01
0.173,2.01
0.173,2.02
0.174,2.01
0.174,2.02
0.174,2.02
0.175,2.02
0.175,2.01
0.175,2.02
0.176,2.01
0.176,1.98
0.176,2.01
0.176,2.01
0.177,2.01
0.177,2.01
0.177,2.01
0.178,2.01
0.178,1.98
0.178,2.01
0.179,2.01
0.179,2.01
0.179,2.01
0.180,1.92
0.180,2.01
0.180,2.01
0.181,2.01
0.181,2.01
0.181,2.01
0.182,2.01
0.184,2.01
0.186,2.01
0.186,2.01
0.187,2.01
0.187,2.01
0.187,2.01
0.188,2.01
0.188,2.01
0.188,2.01
0.188,2.01
0.189,2.01
0.189,2.01
0.189,2.01
0.190,1.9
0.190,2.01
0.190,2.01
0.191,2.01
0.191,2.01
0.191,2.01
0.191,2.01
0.192,2.01
0.192,2.01
0.192,2.01
0.193,2.01
0.193,2.01
0.193,2.01
0.193,2.01
0.194,2.02
0.194,2.01
0.194,2.02
0.195,2.02
0.195,2.01
0.195,2.02
0.195,1.89
0.196,2.01
0.196,2.02
0.196,2.02
0.196,2.02
0.197,2.02
0.197,2.02
0.198,1.99
0.198,2.02
0.199,2.01
0.199,2.02
0.200,2.02
0.201,2.02
0.202,2.02
0.202,2.02
0.202,2.02
0.203,2.02
0.203,2.02
0.203,2.02
0.203,2.02
0.204,1.85
0.204,1.98
0.204,2.02
0.205,2.02
0.205,2.02
0.205,2.01
0.205,2.02
0.206,2.01
0.206,2.01
0.206,2.02
0.206,2.02
0.207,2.01
0.207,2.02
0.207,2.02
0.208,2.02
0.208,2.02
0.208,2.02
0.209,2.02
0.209,2.01
0.209,1.99
0.209,2.01
0.210,2.01
0.210,2.02
0.210,2.01
0.211,2.02
