Elapsed Time (s),Value
0.000,1.16
0.001,1.15
0.001,1.15
0.002,1.15
0.002,1.15
0.003,1.15
0.003,1.15
0.004,1.15
0.004,1.15
0.005,1.15
0.006,1.15
0.006,1.15
0.007,1.15
0.008,1.15
0.008,1.15
0.009,1.15
0.010,1.15
0.012,1.14
0.013,1.15
0.013,1.14
0.014,1.14
0.015,1.14
0.015,1.14
0.016,1.14
0.016,1.14
0.017,1.13
0.017,1.13
0.018,1.13
0.019,1.13
0.019,1.13
0.020,1.13
0.020,1.13
0.021,1.13
0.021,1.13
0.022,1.13
0.022,1.13
0.023,1.13
0.023,1.13
0.024,1.13
0.024,1.12
0.025,1.12
0.025,1.12
0.026,1.12
0.029,1.12
0.030,1.12
0.031,1.12
0.031,1.12
0.032,1.12
0.032,1.12
0.033,1.12
0.033,1.12
0.034,1.12
0.034,1.12
0.035,1.12
0.035,1.11
0.036,1.11
0.036,1.11
0.036,1.11
0.037,1.11
0.037,1.11
0.038,1.11
0.038,1.11
0.039,1.11
0.039,1.11
0.039,1.11
0.040,1.11
0.040,1.11
0.041,1.11
0.041,1.11
0.041,1.11
0.042,1.11
0.043,1.11
0.044,1.11
0.044,1.11
0.045,1.11
0.046,1.11
0.047,1.11
0.048,1.11
0.048,1.11
0.048,1.11
0.049,1.11
0.050,1.11
0.050,1.11
0.051,1.11
0.051,1.11
0.051,1.11
0.052,1.11
0.052,1.12
0.053,1.12
0.053,1.12
0.053,1.12
0.054,1.12
0.054,1.12
0.055,1.12
0.055,1.13
0.056,1.13
0.056,1.13
0.056,1.13
0.057,1.13
0.057,1.14
0.058,1.14
0.058,1.14
0.058,1.14
0.059,1.14
0.060,1.14
0.060,1.15
0.061,1.15
0.062,1.15
0.063,1.15
0.064,1.15
0.065,1.16
0.065,1.16
0.066,1.16
0.066,1.17
0.067,1.17
0.067,1.17
0.068,1.17
0.068,1.17
0.068,1.18
0.069,1.18
0.070,1.18
0.070,1.18
0.070,1.18
0.071,1.18
0.071,1.18
0.072,1.18
0.072,1.18
0.072,1.18
0.073,1.18
0.073,1.18
0.074,1.18
0.074,1.18
0.075,1.18
0.075,1.18
0.075,1.18
0.076,1.18
0.076,1.18
0.077,1.18
0.078,1.18
0.078,1.18
0.079,1.18
0.080,1.18
0.081,1.18
0.081,1.18
0.082,1.18
0.082,1.18
0.083,1.18
0.083,1.18
0.084,1.18
0.084,1.18
0.085,1.18
0.085,1.18
0.086,1.18
0.086,1.19
0.087,1.18
0.087,1.19
0.088,1.19
0.088,1.19
0.088,1.19
0.089,1.19
0.089,1.19
0.090,1.19
0.090,1.19
0.091,1.19
0.091,1.19
0.092,1.19
0.092,1.19
0.093,1.19
0.094,1.18
0.095,1.19
0.097,1.18
0.098,1.18
