Elapsed Time (s),Value
0.000,1.25
0.001,1.24
0.001,1.24
0.002,1.24
0.003,1.24
0.003,1.24
0.004,1.24
0.004,1.24
0.005,1.24
0.006,1.24
0.007,1.24
0.007,1.24
0.008,1.24
0.008,1.24
0.009,1.24
0.009,1.24
0.010,1.24
0.010,1.24
0.011,1.24
0.011,1.24
0.011,1.24
0.012,1.24
0.012,1.24
0.013,1.24
0.014,1.24
0.014,1.24
0.015,1.24
0.016,1.24
0.017,1.24
0.017,1.24
0.018,1.24
0.018,1.24
0.019,1.24
0.019,1.24
0.020,1.24
0.020,1.24
0.021,1.24
0.024,1.24
0.025,1.24
0.026,1.24
0.026,1.24
0.027,1.24
0.027,1.24
0.027,1.24
0.028,1.24
0.028,1.24
0.029,1.24
0.030,1.24
0.030,1.24
0.030,1.24
0.031,1.24
0.031,1.24
0.032,1.24
0.032,1.24
0.033,1.24
0.033,1.24
0.034,1.24
0.034,1.24
0.035,1.24
0.035,1.24
0.035,1.24
0.036,1.24
0.037,1.24
0.037,1.24
0.038,1.24
0.038,1.24
0.039,1.24
0.040,1.24
0.040,1.24
0.041,1.24
0.042,1.24
0.042,1.24
0.043,1.24
0.043,1.24
0.043,1.24
0.044,1.24
0.044,1.24
0.045,1.24
0.045,1.24
0.045,1.24
0.046,1.24
0.046,1.24
0.047,1.24
0.047,1.24
0.048,1.24
0.048,1.24
0.049,1.24
0.049,1.24
0.049,1.24
0.050,1.24
0.050,1.24
0.050,1.24
0.051,1.24
0.051,1.24
0.051,1.24
0.052,1.24
0.052,1.24
0.052,1.24
0.053,1.24
0.053,1.24
0.054,1.24
0.054,1.24
0.055,1.24
0.056,1.24
0.056,1.24
0.058,1.24
0.058,1.24
0.059,1.24
0.059,1.24
0.060,1.24
0.061,1.24
0.061,1.24
0.061,1.24
0.062,1.24
0.062,1.24
0.063,1.24
0.064,1.24
0.064,1.24
0.065,1.25
0.065,1.24
0.066,1.25
0.066,1.24
0.066,1.24
0.067,1.24
0.067,1.24
0.068,1.24
0.068,1.24
0.069,1.24
0.070,1.24
0.070,1.24
0.071,1.24
0.071,1.24
0.073,1.24
0.075,1.24
0.075,1.24
0.076,1.24
0.076,1.24
0.077,1.24
0.077,1.24
0.077,1.24
0.078,1.24
0.078,1.24
0.079,1.25
0.079,1.25
0.080,1.25
0.080,1.25
0.081,1.25
0.081,1.25
0.081,1.26
