Elapsed Time (s),Value
0.000,1.28
0.001,1.28
0.001,1.29
0.002,1.3
0.002,1.3
0.003,1.31
0.003,1.31
0.004,1.31
0.004,1.31
0.005,1.31
0.005,1.31
0.006,1.31
0.007,1.31
0.007,1.31
0.008,1.31
0.008,1.3
0.009,1.3
0.010,1.3
0.010,1.29
0.011,1.29
0.011,1.28
0.012,1.28
0.015,1.28
0.016,1.27
0.017,1.27
0.017,1.27
0.018,1.27
0.019,1.26
0.019,1.26
0.020,1.26
0.021,1.25
0.021,1.25
0.022,1.25
0.022,1.25
0.023,1.24
0.023,1.24
0.024,1.24
0.024,1.24
0.025,1.23
0.025,1.23
0.026,1.23
0.026,1.23
0.027,1.23
0.027,1.23
0.028,1.23
0.028,1.23
0.029,1.23
0.029,1.23
0.031,1.23
0.032,1.23
0.033,1.23
0.033,1.23
0.034,1.23
0.035,1.23
0.035,1.24
0.036,1.24
0.036,1.24
0.037,1.24
0.037,1.24
0.038,1.24
0.038,1.24
0.039,1.23
0.039,1.23
0.040,1.23
0.040,1.23
0.041,1.23
0.041,1.22
0.042,1.22
0.042,1.22
0.043,1.22
0.043,1.22
0.044,1.22
0.044,1.22
0.045,1.22
0.045,1.22
0.046,1.22
0.050,1.22
0.051,1.22
0.051,1.22
0.052,1.22
0.052,1.22
0.053,1.22
0.053,1.22
0.054,1.22
0.054,1.22
0.054,1.22
0.055,1.22
0.055,1.22
0.056,1.22
0.056,1.22
0.057,1.22
0.057,1.22
0.057,1.22
0.058,1.22
0.058,1.22
0.059,1.22
0.059,1.21
0.059,1.21
0.060,1.21
0.060,1.21
0.061,1.21
0.061,1.21
0.061,1.21
0.062,1.21
0.062,1.21
0.063,1.21
0.063,1.21
0.067,1.21
0.067,1.21
0.068,1.21
0.068,1.21
0.069,1.22
0.070,1.22
0.070,1.22
0.071,1.22
0.071,1.22
0.072,1.22
0.072,1.22
0.073,1.22
0.073,1.22
0.074,1.22
0.074,1.22
0.075,1.22
0.075,1.22
0.076,1.22
0.076,1.22
0.077,1.23
0.077,1.23
0.078,1.23
0.078,1.23
0.079,1.23
0.079,1.23
0.080,1.23
0.082,1.23
0.083,1.23
0.084,1.23
0.084,1.23
0.085,1.23
0.085,1.23
0.086,1.23
0.086,1.23
0.087,1.23
0.087,1.23
0.087,1.23
0.088,1.23
0.088,1.24
0.089,1.24
0.089,1.24
0.090,1.24
0.090,1.24
0.091,1.24
0.091,1.25
0.091,1.25
0.092,1.25
0.092,1.25
0.093,1.25
0.093,1.25
0.094,1.25
0.094,1.24
0.094,1.24
0.095,1.24
0.095,1.24
0.096,1.24
0.096,1.25
0.096,1.25
0.097,1.25
0.099,1.25
0.100,1.25
0.101,1.25
0.101,1.25
0.102,1.25
0.102,1.25
0.103,1.25
0.103,1.25
0.103,1.25
0.104,1.25
0.104,1.25
0.104,1.25
0.105,1.25
0.105,1.25
0.106,1.25
0.106,1.25
0.106,1.25
0.107,1.25
0.107,1.25
0.108,1.25
0.108,1.26
0.108,1.26
0.109,1.26
0.109,1.26
0.109,1.26
0.110,1.26
0.110,1.26
0.111,1.26
0.111,1.26
0.112,1.26
0.112,1.26
0.112,1.26
0.113,1.26
0.115,1.26
0.117,1.26
0.118,1.26
0.118,1.26
0.118,1.26
0.119,1.26
0.119,1.26
0.119,1.26
0.120,1.26
0.120,1.26
0.120,1.26
0.121,1.26
0.121,1.26
0.121,1.26
0.121,1.27
0.122,1.27
0.122,1.27
0.122,1.27
0.123,1.27
0.123,1.28
0.124,1.28
0.124,1.28
0.124,1.28
0.125,1.28
0.125,1.29
0.125,1.29
0.126,1.29
0.126,1.29
0.126,1.29
0.127,1.3
0.127,1.3
0.127,1.3
0.128,1.3
0.128,1.31
0.128,1.31
0.129,1.31
0.129,1.31
0.129,1.31
0.130,1.32
0.132,1.32
0.133,1.32
0.133,1.32
0.134,1.33
0.134,1.33
0.134,1.33
0.134,1.33
0.135,1.33
0.135,1.34
0.135,1.34
0.136,1.34
0.136,1.34
0.136,1.34
0.136,1.35
0.137,1.35
0.137,1.35
0.137,1.35
0.137,1.35
0.138,1.35
0.138,1.36
0.138,1.36
0.139,1.36
0.139,1.36
0.139,1.36
0.140,1.36
0.140,1.37
0.140,1.37
0.140,1.37
0.141,1.37
0.141,1.37
0.141,1.37
0.142,1.37
0.142,1.37
0.142,1.38
0.142,1.38
0.143,1.38
0.143,1.38
0.143,1.38
0.144,1.38
0.144,1.38
0.144,1.39
0.144,1.39
0.145,1.39
0.145,1.39
0.145,1.39
0.146,1.39
0.146,1.39
0.146,1.39
0.147,1.4
0.150,1.4
0.150,1.4
0.151,1.4
0.151,1.4
0.152,1.4
0.152,1.4
0.152,1.4
0.153,1.4
0.153,1.41
0.153,1.41
0.153,1.41
0.154,1.41
0.154,1.41
0.154,1.41
0.155,1.41
0.155,1.41
0.156,1.42
0.156,1.42
0.156,1.42
0.157,1.42
0.157,1.42
0.157,1.42
0.158,1.42
0.158,1.42
0.158,1.43
0.159,1.43
0.159,1.43
0.159,1.43
0.160,1.43
0.160,1.43
0.160,1.43
0.161,1.43
0.161,1.43
0.161,1.42
0.161,1.42
0.162,1.42
0.162,1.42
0.162,1.42
0.163,1.42
0.165,1.42
0.167,1.42
0.167,1.41
0.167,1.41
0.168,1.41
0.168,1.41
0.168,1.41
0.169,1.4
0.169,1.4
0.169,1.4
0.169,1.39
0.170,1.39
0.170,1.39
0.170,1.39
0.170,1.38
0.171,1.38
0.171,1.38
0.171,1.38
0.172,1.37
0.172,1.37
0.173,1.37
0.173,1.37
0.173,1.37
0.173,1.36
0.174,1.36
0.174,1.36
0.174,1.36
0.175,1.36
0.175,1.35
0.175,1.35
