Elapsed Time (s),Value
0.000,1.17
0.001,1.17
0.001,1.17
0.002,1.17
0.002,1.17
0.002,1.17
0.002,1.17
0.002,1.17
0.003,1.17
0.003,1.17
0.003,1.17
0.003,1.17
0.003,1.17
0.003,1.17
0.003,1.17
0.004,1.17
0.004,1.17
0.004,1.17
0.004,1.17
0.004,1.17
0.004,1.17
0.004,1.17
0.004,1.17
0.005,1.17
0.005,1.17
0.005,1.17
0.005,1.17
0.005,1.17
0.005,1.17
0.005,1.17
0.005,1.17
0.006,1.17
0.006,1.17
0.006,1.17
0.006,1.17
0.007,1.17
0.007,1.17
0.008,1.17
0.008,1.17
0.008,1.17
0.008,1.17
0.008,1.17
0.008,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.009,1.17
0.010,1.17
0.010,1.17
0.010,1.17
0.010,1.17
0.010,1.17
0.010,1.17
0.010,1.17
0.010,1.17
0.011,1.17
0.011,1.17
0.011,1.17
0.011,1.17
0.011,1.17
0.011,1.17
0.011,1.17
0.012,1.17
0.012,1.17
0.012,1.17
0.012,1.17
0.012,1.17
0.012,1.17
0.012,1.17
0.013,1.17
0.013,1.17
0.013,1.17
0.013,1.17
0.013,1.17
0.013,1.17
0.014,1.17
0.014,1.17
0.014,1.17
0.014,1.17
0.014,1.17
0.014,1.17
0.014,1.17
0.014,1.17
0.015,1.17
0.015,1.17
0.015,1.17
0.015,1.17
0.015,1.17
0.015,1.17
0.015,1.17
0.015,1.17
0.016,1.17
0.016,1.17
0.016,1.17
0.016,1.17
0.016,1.17
0.016,1.17
0.016,1.17
0.016,1.17
0.017,1.17
0.017,1.17
0.017,1.17
0.017,1.17
0.017,1.17
0.017,1.17
0.017,1.17
0.018,1.17
0.018,1.17
0.018,1.17
0.018,1.17
0.018,1.17
0.018,1.17
0.019,1.17
0.019,1.17
0.019,1.17
0.020,1.17
0.020,1.17
0.020,1.17
0.020,1.17
0.020,1.17
0.020,1.17
0.020,1.17
0.021,1.17
0.021,1.17
0.021,1.17
0.021,1.17
0.021,1.17
0.021,1.17
0.021,1.17
0.022,1.17
0.022,1.17
0.022,1.17
0.022,1.17
0.022,1.17
0.022,1.17
0.022,1.17
0.023,1.17
0.023,1.17
0.023,1.17
0.023,1.17
0.023,1.17
0.023,1.17
0.024,1.17
0.024,1.17
0.024,1.17
0.024,1.17
0.024,1.17
0.024,1.17
0.024,1.17
0.025,1.17
0.025,1.17
0.025,1.17
0.025,1.17
0.025,1.17
0.025,1.17
0.025,1.17
0.026,1.17
0.026,1.17
0.026,1.17
0.026,1.17
0.026,1.17
0.026,1.17
0.027,1.17
0.027,1.17
0.027,1.17
0.027,1.17
0.027,1.17
0.027,1.17
0.028,1.17
0.028,1.17
0.028,1.17
0.028,1.17
0.028,1.18
0.029,1.17
0.029,1.17
0.029,1.17
0.029,1.17
0.029,1.17
0.029,1.17
0.030,1.17
0.030,1.17
0.030,1.17
0.030,1.17
0.030,1.17
0.031,1.17
0.031,1.17
0.031,1.17
0.031,1.17
0.032,1.17
0.032,1.17
0.032,1.17
0.032,1.17
0.032,1.17
0.033,1.17
0.033,1.17
0.033,1.17
0.033,1.17
0.034,1.17
0.034,1.17
0.034,1.17
0.034,1.17
0.034,1.17
0.035,1.17
0.035,1.17
0.035,1.17
0.035,1.17
0.035,1.17
0.036,1.17
0.036,1.17
0.036,1.17
0.036,1.17
0.037,1.17
0.037,1.17
0.037,1.17
