Latitude,Longitude,Value
51.0133323,3.7081312,-20
51.0133301,3.7081176,-21
51.0133291,3.7081025,-22
51.0133278,3.7080882,-23
51.0133271,3.7080741,-24
51.0133187,3.7080757,-22
51.0133199,3.7080898,-21
51.0133215,3.708105,-20
51.0133222,3.7081191,-19
51.0133242,3.7081336,-18
51.0133144,3.7081339,-17
51.0133137,3.7081196,-18
51.0133123,3.7081049,-19
51.013311,3.7080911,-20
51.0133099,3.7080769,-21
51.0133008,3.7080783,-20
51.0133022,3.7080927,-19
51.0133035,3.7081073,-18
51.0133041,3.7081215,-17
51.0133056,3.7081358,-16
51.0132963,3.7081385,-15
51.0132949,3.7081241,-16
51.0132938,3.7081101,-17
51.0132927,3.7080953,-18
51.0132916,3.7080808,-19
