Second,Average,Min,Max,Median
0,-32.30795975733278,-60.0,-28.4,-31.6
1,-36.84023078949333,-60.0,-32.8,-35.99999999999999
2,-35.577916199928005,-44.400000000000006,-32.8,-35.599999999999994
3,-35.4496661488787,-41.6,-32.4,-35.199999999999996
4,-34.91192646251537,-38.8,-32.4,-34.800000000000004
5,-35.29556949054297,-35.99999999999999,-34.800000000000004,-35.199999999999996
6,-36.22869315390994,-36.8,-35.599999999999994,-36.39999999999999
7,-37.423073985396954,-37.99999999999999,-36.8,-37.599999999999994
8,-39.03061301274839,-40.0,-37.99999999999999,-39.199999999999996
9,-40.68589104722882,-41.6,-40.0,-40.8
10,-42.08761473363931,-42.400000000000006,-41.6,-42.0
11,-42.395812025095736,-42.400000000000006,-42.0,-42.400000000000006
12,-41.725399484714664,-42.400000000000006,-41.19999999999999,-41.6
13,-40.70692383708206,-41.19999999999999,-40.0,-40.8
14,-39.60724778610441,-40.0,-39.199999999999996,-39.599999999999994
15,-38.74515798144925,-39.199999999999996,-38.4,-38.8
16,-38.070407689152226,-38.4,-37.599999999999994,-37.99999999999999
17,-37.40139636132701,-37.599999999999994,-37.199999999999996,-37.599999999999994
18,-36.75489992484508,-37.199999999999996,-36.39999999999999,-36.8
19,-36.08866948948376,-36.39999999999999,-35.599999999999994,-35.99999999999999
20,-35.3814288303181,-35.599999999999994,-35.199999999999996,-35.199999999999996
21,-34.63650561878486,-35.199999999999996,-34.4,-34.800000000000004
22,-33.95526480554928,-34.4,-33.6,-34.0
23,-33.339603115641,-33.6,-32.8,-33.2
24,-32.66334972910879,-33.2,-32.4,-32.8
25,-32.18740945605185,-32.4,-32.0,-32.0
26,-31.952080404474863,-32.0,-31.6,-32.0
27,-31.62490988610257,-32.0,-31.6,-31.6
28,-31.6,-31.6,-31.6,-31.6
29,-31.84969636125798,-32.0,-31.6,-32.0
30,-32.0,-32.0,-32.0,-32.0
31,-32.0,-32.0,-32.0,-32.0
32,-32.04223927187398,-32.4,-32.0,-32.0
33,-32.39581202509573,-32.4,-32.0,-32.4
34,-32.4,-32.4,-32.4,-32.4
35,-32.63555328702048,-32.8,-32.4,-32.8
36,-32.8,-32.8,-32.8,-32.8
37,-33.108784756396666,-33.2,-32.8,-33.2
38,-33.451720565510456,-33.6,-33.2,-33.6
39,-34.037770511064615,-34.4,-33.6,-34.0
40,-34.76064307939805,-35.199999999999996,-34.4,-34.800000000000004
41,-35.63753810671241,-35.99999999999999,-35.199999999999996,-35.599999999999994
42,-36.58553234382875,-37.199999999999996,-35.99999999999999,-36.39999999999999
43,-37.41525179503091,-37.99999999999999,-37.199999999999996,-37.599999999999994
44,-37.98744817145413,-37.99999999999999,-37.599999999999994,-37.99999999999999
45,-38.01531224483981,-38.4,-37.99999999999999,-37.99999999999999
46,-37.99999999999999,-37.99999999999999,-37.99999999999999,-37.99999999999999
47,-37.49993183423109,-37.99999999999999,-37.199999999999996,-37.599999999999994
48,-36.827336678872115,-37.199999999999996,-36.39999999999999,-36.8
49,-36.1388417471508,-36.39999999999999,-35.599999999999994,-35.99999999999999
50,-35.425479215667,-35.599999999999994,-35.199999999999996,-35.599999999999994
51,-34.92600325893068,-35.199999999999996,-34.800000000000004,-34.800000000000004
52,-34.488791900811506,-34.800000000000004,-34.4,-34.4
53,-34.20139636132701,-34.4,-34.0,-34.4
54,-34.0,-34.0,-34.0,-34.0
55,-34.0,-34.0,-34.0,-34.0
56,-34.0,-34.0,-34.0,-34.0
57,-34.14967051380583,-34.4,-34.0,-34.0
58,-34.5181427489598,-34.800000000000004,-34.4,-34.4
59,-34.97545642911942,-35.199999999999996,-34.800000000000004,-34.800000000000004
60,-35.42950604045554,-35.599999999999994,-35.199999999999996,-35.599999999999994
61,-35.599999999999994,-35.599999999999994,-35.599999999999994,-35.599999999999994
62,-35.562452823497956,-35.599999999999994,-35.199999999999996,-35.599999999999994
63,-34.89019571398029,-35.199999999999996,-34.4,-34.800000000000004
64,-33.881530335390245,-34.4,-33.2,-34.0
65,-32.7195129875636,-33.2,-32.0,-32.8
66,-31.641394311529417,-32.0,-31.199999999999996,-31.6
67,-30.842256975323643,-31.199999999999996,-30.4,-30.799999999999997
68,-30.269337354418333,-30.4,-30.0,-30.4
69,-30.0,-30.0,-30.0,-30.0
70,-30.0,-30.0,-30.0,-30.0
71,-30.223467202550907,-30.4,-30.0,-30.4
72,-30.738889936187526,-31.199999999999996,-30.4,-30.799999999999997
73,-31.48125204917403,-32.0,-31.199999999999996,-31.6
74,-32.412623376637036,-32.8,-32.0,-32.4
75,-33.53650698069065,-34.0,-32.8,-33.6
76,-34.7687766638967,-35.599999999999994,-34.0,-34.800000000000004
77,-36.05364076205481,-36.8,-35.599999999999994,-35.99999999999999
78,-37.12694190949557,-37.599999999999994,-36.8,-37.199999999999996
79,-37.7973955040036,-37.99999999999999,-37.599999999999994,-37.99999999999999
80,-37.99999999999999,-37.99999999999999,-37.99999999999999,-37.99999999999999
81,-37.671276135909935,-37.99999999999999,-37.599999999999994,-37.599999999999994
82,-37.32928267504591,-37.599999999999994,-37.199999999999996,-37.199999999999996
83,-37.08219739296857,-37.199999999999996,-36.8,-37.199999999999996
84,-36.8,-36.8,-36.8,-36.8
85,-36.756226399817265,-36.8,-36.39999999999999,-36.8
86,-36.41531224483981,-36.8,-36.39999999999999,-36.39999999999999
