Elapsed Time (s),Value
0.000,1.25
0.001,1.25
0.001,1.25
0.002,1.25
0.002,1.25
0.003,1.25
0.003,1.25
0.004,1.25
0.004,1.25
0.004,1.25
0.005,1.25
0.005,1.25
0.006,1.26
0.006,1.26
0.007,1.25
0.007,1.26
0.008,1.26
0.008,1.26
0.009,1.26
0.009,1.26
0.010,1.25
0.010,1.26
0.011,1.26
0.012,1.25
0.012,1.26
0.013,1.25
0.013,1.25
0.013,1.25
0.014,1.25
0.015,1.25
0.015,1.25
0.016,1.25
0.016,1.25
0.017,1.25
0.018,1.25
0.018,1.25
0.019,1.25
0.021,1.25
0.021,1.25
0.022,1.25
0.022,1.25
0.022,1.25
0.023,1.25
0.023,1.25
0.024,1.25
0.024,1.25
0.025,1.25
0.025,1.25
0.026,1.25
0.026,1.25
0.027,1.26
0.027,1.26
0.027,1.26
0.028,1.26
0.028,1.26
0.029,1.26
0.030,1.26
0.030,1.26
0.031,1.26
0.032,1.26
0.033,1.26
0.034,1.27
0.034,1.27
0.035,1.27
0.035,1.27
0.036,1.27
0.036,1.27
0.037,1.27
0.037,1.27
0.038,1.27
0.038,1.27
0.039,1.27
0.039,1.27
0.040,1.28
0.040,1.28
0.041,1.28
0.041,1.28
0.042,1.28
0.042,1.28
0.043,1.28
0.043,1.28
0.044,1.28
0.044,1.28
0.045,1.28
0.046,1.28
0.049,1.28
0.050,1.28
0.051,1.28
0.051,1.28
0.052,1.28
0.052,1.28
0.053,1.28
0.054,1.27
0.054,1.27
0.055,1.27
0.056,1.27
0.056,1.27
0.057,1.27
0.057,1.27
0.057,1.27
0.058,1.27
0.058,1.26
0.059,1.26
0.059,1.26
0.059,1.26
0.060,1.26
0.060,1.26
0.061,1.26
0.061,1.26
0.062,1.26
0.062,1.26
0.063,1.26
0.064,1.26
0.064,1.26
0.065,1.26
0.066,1.26
0.067,1.26
0.067,1.26
0.068,1.26
0.068,1.26
0.069,1.26
0.069,1.26
0.069,1.26
0.070,1.26
0.070,1.26
0.071,1.26
0.071,1.26
0.072,1.26
0.072,1.26
0.073,1.26
0.073,1.26
0.073,1.26
0.074,1.26
0.074,1.26
0.075,1.26
0.075,1.26
0.075,1.26
0.076,1.26
0.076,1.26
0.077,1.26
0.077,1.26
0.078,1.26
0.078,1.26
0.079,1.26
0.080,1.26
0.081,1.26
0.083,1.26
0.083,1.26
0.084,1.26
0.084,1.26
0.085,1.26
0.086,1.26
0.086,1.26
0.087,1.26
0.087,1.26
0.088,1.26
0.088,1.26
0.089,1.26
0.089,1.26
0.090,1.26
0.090,1.26
0.091,1.26
0.091,1.26
0.092,1.26
0.092,1.26
0.092,1.26
0.093,1.26
0.093,1.26
0.093,1.26
0.094,1.26
0.094,1.26
0.095,1.26
0.095,1.25
0.095,1.26
0.096,1.25
0.097,1.25
0.097,1.25
0.098,1.25
0.100,1.25
0.100,1.25
0.100,1.25
0.101,1.25
0.101,1.25
0.102,1.25
0.102,1.25
0.102,1.25
0.103,1.25
0.103,1.25
0.103,1.25
0.104,1.25
0.104,1.25
0.104,1.25
0.105,1.25
0.105,1.25
0.106,1.25
0.106,1.26
0.107,1.25
0.107,1.26
0.107,1.26
0.108,1.26
0.108,1.26
0.109,1.26
0.109,1.26
0.110,1.26
0.110,1.26
0.111,1.26
0.111,1.26
0.112,1.26
0.112,1.26
0.113,1.26
0.114,1.26
0.116,1.26
0.116,1.26
0.117,1.26
0.118,1.26
0.118,1.26
0.119,1.26
0.119,1.26
0.120,1.26
0.120,1.26
0.121,1.26
0.121,1.26
0.122,1.26
0.122,1.26
0.122,1.26
0.123,1.26
0.123,1.26
0.124,1.26
0.124,1.26
0.125,1.26
0.125,1.26
0.125,1.26
0.126,1.26
0.126,1.26
0.127,1.26
0.127,1.26
0.128,1.26
0.128,1.26
0.128,1.26
0.129,1.26
0.130,1.26
0.130,1.26
0.131,1.26
0.132,1.26
0.133,1.26
0.133,1.26
0.133,1.26
0.134,1.26
0.134,1.26
0.134,1.26
0.135,1.26
0.135,1.26
0.135,1.26
0.136,1.26
0.136,1.26
0.136,1.26
0.137,1.26
0.137,1.26
0.137,1.26
0.138,1.27
0.138,1.26
0.138,1.27
0.138,1.26
0.139,1.26
0.139,1.27
0.139,1.27
0.140,1.27
0.140,1.27
0.140,1.27
0.141,1.27
0.141,1.27
0.141,1.27
0.142,1.27
0.142,1.27
0.142,1.27
0.143,1.27
0.143,1.27
0.143,1.27
0.143,1.27
0.144,1.27
0.144,1.27
0.144,1.27
0.145,1.27
0.145,1.27
0.145,1.27
0.146,1.27
0.147,1.27
0.148,1.27
0.149,1.27
0.150,1.27
0.150,1.27
0.150,1.27
0.151,1.27
0.151,1.27
0.152,1.27
0.152,1.27
0.152,1.27
0.153,1.27
0.153,1.27
0.153,1.27
0.154,1.27
0.154,1.27
0.154,1.27
0.155,1.27
0.155,1.27
0.155,1.27
0.156,1.27
0.156,1.27
0.157,1.27
0.157,1.27
0.158,1.27
0.158,1.27
0.158,1.27
0.158,1.26
0.159,1.26
0.159,1.27
0.159,1.26
0.160,1.27
0.160,1.27
0.160,1.26
0.160,1.27
0.161,1.27
0.161,1.27
0.161,1.27
0.162,1.27
0.162,1.27
0.164,1.27
0.165,1.27
0.166,1.27
0.167,1.27
