Elapsed Time (s),Value
0.000,1.33
0.001,1.33
0.001,1.33
0.002,1.33
0.002,1.33
0.003,1.33
0.004,1.33
0.004,1.33
0.005,1.33
0.005,1.33
0.006,1.33
0.006,1.33
0.007,1.33
0.007,1.33
0.008,1.33
0.009,1.33
0.010,1.33
0.011,1.33
0.012,1.33
0.012,1.33
0.013,1.33
0.013,1.33
0.014,1.33
0.014,1.33
0.015,1.33
0.016,1.33
0.016,1.33
0.017,1.33
0.017,1.33
0.018,1.33
0.018,1.33
0.019,1.33
0.019,1.33
0.020,1.33
0.020,1.33
0.021,1.33
0.022,1.33
0.024,1.33
0.024,1.33
0.026,1.33
0.026,1.33
0.027,1.33
0.027,1.33
0.028,1.33
0.029,1.33
0.029,1.33
0.030,1.33
0.030,1.33
0.031,1.33
0.031,1.33
0.032,1.33
0.032,1.33
0.032,1.33
0.033,1.33
0.033,1.33
0.034,1.33
0.034,1.33
0.035,1.33
0.035,1.33
0.036,1.33
0.036,1.33
0.037,1.33
0.037,1.33
0.037,1.33
0.039,1.33
0.041,1.33
0.042,1.32
0.044,1.33
0.045,1.33
0.045,1.33
0.046,1.33
0.046,1.33
0.046,1.33
0.047,1.33
0.047,1.32
0.048,1.32
0.048,1.32
0.049,1.33
0.050,1.33
0.050,1.33
0.051,1.33
0.051,1.33
0.052,1.32
0.052,1.32
0.053,1.32
0.053,1.33
0.054,1.33
0.055,1.33
0.056,1.33
0.057,1.32
0.058,1.32
0.059,1.33
0.060,1.33
0.060,1.33
0.061,1.33
0.061,1.32
0.062,1.32
0.062,1.32
0.063,1.32
0.063,1.33
0.063,1.32
0.064,1.32
0.064,1.32
0.065,1.32
0.065,1.32
0.066,1.33
0.066,1.32
0.067,1.32
0.067,1.32
0.068,1.32
0.068,1.33
0.068,1.33
0.069,1.33
0.069,1.32
0.070,1.32
0.070,1.32
0.070,1.32
0.071,1.33
0.071,1.33
0.072,1.32
0.072,1.32
0.073,1.33
0.073,1.33
0.074,1.33
0.075,1.33
0.076,1.32
0.077,1.32
0.077,1.33
0.077,1.33
0.078,1.33
0.078,1.32
0.078,1.32
0.079,1.32
0.079,1.32
0.079,1.33
0.080,1.33
0.080,1.33
0.081,1.32
0.081,1.32
0.081,1.32
0.082,1.32
0.083,1.32
0.083,1.32
0.084,1.32
0.084,1.32
0.085,1.32
0.085,1.32
0.086,1.32
0.086,1.32
0.087,1.32
0.087,1.32
0.087,1.32
0.088,1.32
0.089,1.32
0.089,1.32
0.090,1.32
0.091,1.32
0.092,1.32
0.093,1.32
0.093,1.32
0.094,1.32
0.094,1.32
0.095,1.32
0.095,1.32
0.095,1.32
0.096,1.32
0.097,1.32
0.097,1.32
0.098,1.32
0.098,1.32
0.099,1.32
0.099,1.32
0.100,1.32
0.100,1.32
0.101,1.32
0.101,1.32
0.101,1.32
0.102,1.32
0.102,1.32
0.102,1.32
0.103,1.32
0.103,1.32
0.103,1.32
0.104,1.32
0.104,1.32
0.104,1.32
0.105,1.32
0.105,1.32
0.108,1.32
0.109,1.32
0.110,1.32
0.110,1.32
0.110,1.32
0.111,1.32
0.111,1.32
0.111,1.32
0.112,1.32
0.112,1.32
0.112,1.32
0.113,1.32
0.113,1.32
0.113,1.32
0.114,1.32
0.114,1.32
0.114,1.32
0.115,1.32
0.115,1.32
0.115,1.32
0.116,1.32
0.116,1.32
0.116,1.32
0.117,1.32
0.117,1.32
0.117,1.32
0.117,1.32
0.118,1.32
0.118,1.32
0.118,1.32
0.119,1.32
0.119,1.32
0.120,1.32
0.120,1.32
0.121,1.32
0.121,1.32
0.122,1.32
0.124,1.32
0.125,1.32
0.126,1.32
0.126,1.32
0.127,1.32
0.127,1.32
0.128,1.32
0.128,1.32
0.128,1.32
0.129,1.32
0.129,1.32
0.129,1.32
0.130,1.32
0.130,1.32
0.131,1.32
0.131,1.32
0.131,1.32
0.132,1.32
0.132,1.32
0.132,1.32
0.133,1.32
0.133,1.32
0.133,1.32
0.133,1.32
0.134,1.32
0.134,1.32
0.134,1.31
0.135,1.31
0.135,1.32
0.135,1.32
0.136,1.32
0.136,1.32
0.136,1.31
0.136,1.31
0.137,1.32
0.137,1.32
0.137,1.31
0.138,1.31
0.138,1.32
0.139,1.32
0.139,1.31
0.140,1.31
0.140,1.31
0.141,1.31
0.142,1.32
0.142,1.32
0.142,1.32
0.142,1.31
0.143,1.31
0.143,1.32
0.143,1.32
0.144,1.32
0.144,1.31
0.144,1.31
0.144,1.32
0.145,1.32
0.145,1.32
0.145,1.31
0.146,1.31
0.146,1.31
0.146,1.32
0.147,1.32
0.147,1.31
0.147,1.31
0.148,1.31
0.148,1.31
0.148,1.32
0.148,1.32
0.149,1.32
0.149,1.31
0.149,1.31
0.149,1.32
0.150,1.32
0.150,1.32
0.150,1.31
0.151,1.31
0.151,1.31
0.151,1.31
0.152,1.32
0.152,1.32
0.152,1.31
0.152,1.31
0.153,1.31
0.153,1.32
0.153,1.32
0.154,1.31
0.154,1.31
0.154,1.31
0.155,1.31
0.156,1.32
0.157,1.32
0.157,1.31
0.158,1.31
0.159,1.32
0.160,1.32
0.160,1.32
0.160,1.32
0.161,1.32
0.161,1.31
0.161,1.31
0.162,1.32
0.162,1.32
0.162,1.32
0.163,1.31
0.163,1.31
0.164,1.31
0.164,1.31
0.164,1.31
0.165,1.32
0.165,1.32
0.165,1.32
0.165,1.31
0.166,1.31
0.166,1.31
0.166,1.32
0.167,1.32
0.167,1.32
0.167,1.31
0.167,1.31
0.168,1.32
0.168,1.32
0.168,1.32
0.169,1.31
0.169,1.31
0.169,1.31
0.169,1.32
0.170,1.32
0.170,1.31
0.170,1.31
0.171,1.32
0.171,1.31
0.172,1.32
0.174,1.32
0.174,1.32
0.175,1.32
0.176,1.31
0.176,1.31
0.177,1.31
0.177,1.32
0.177,1.32
0.177,1.32
0.178,1.32
0.178,1.32
0.178,1.31
0.179,1.31
0.179,1.31
0.179,1.31
0.179,1.32
0.180,1.31
0.180,1.31
0.180,1.31
0.180,1.31
0.181,1.31
0.181,1.31
0.181,1.31
0.182,1.31
0.182,1.31
0.182,1.31
