Second,Average,Min,Max,Median
0,-59.93574454485305,-60.0,-54.0,-60.0
1,-46.97465186633871,-60.0,-25.999999999999993,-60.0
2,-46.09542152687624,-60.0,-30.0,-60.0
3,-44.3709434939108,-60.0,-27.199999999999996,-60.0
4,-45.97715678821455,-60.0,-33.2,-60.0
5,-45.81743381494343,-60.0,-26.39999999999999,-60.0
6,-45.633273243194395,-60.0,-29.599999999999994,-60.0
7,-45.90441987079453,-60.0,-27.599999999999994,-60.0
8,-45.43143953305736,-60.0,-27.199999999999996,-60.0
9,-46.809769088813454,-60.0,-30.4,-60.0
10,-48.462361302310775,-60.0,-30.4,-60.0
11,-44.10469093429875,-60.0,-26.39999999999999,-60.0
12,-45.44847007827086,-60.0,-27.599999999999994,-60.0
13,-47.05942036757648,-60.0,-32.4,-60.0
14,-45.35926025326941,-60.0,-26.799999999999997,-60.0
15,-46.367375118812646,-60.0,-29.599999999999994,-60.0
16,-45.24566086928098,-60.0,-29.199999999999996,-60.0
17,-45.76762789670514,-60.0,-26.39999999999999,-60.0
18,-44.43500060913461,-60.0,-25.599999999999994,-60.0
19,-48.73640041147952,-60.0,-39.199999999999996,-60.0
20,-44.84058193851012,-60.0,-27.199999999999996,-60.0
21,-45.89510967826843,-60.0,-28.799999999999997,-60.0
22,-46.87437120627252,-60.0,-32.8,-60.0
23,-46.69725822302023,-60.0,-32.8,-60.0
24,-45.48540552439753,-60.0,-28.4,-60.0
25,-45.315417320673504,-60.0,-25.599999999999994,-60.0
26,-46.94467757050936,-60.0,-33.2,-60.0
27,-46.95263093440655,-60.0,-33.6,-60.0
28,-43.52132464306165,-60.0,-26.799999999999997,-60.0
29,-45.58941444664913,-60.0,-28.4,-60.0
30,-46.16712757111908,-60.0,-30.4,-60.0
31,-45.99421330060774,-60.0,-28.4,-60.0
32,-47.64409830853944,-60.0,-37.599999999999994,-60.0
33,-47.76760393222482,-60.0,-35.599999999999994,-60.0
34,-44.852109102804725,-60.0,-27.199999999999996,-60.0
35,-44.585167819124585,-60.0,-26.799999999999997,-60.0
36,-44.75516687142586,-60.0,-26.39999999999999,-60.0
37,-46.08614547409475,-60.0,-27.999999999999993,-60.0
38,-47.7265837581064,-60.0,-36.39999999999999,-60.0
39,-45.52949049318207,-60.0,-26.799999999999997,-60.0
40,-48.96339279295623,-60.0,-33.2,-60.0
41,-46.029128951858446,-60.0,-27.599999999999994,-60.0
42,-45.90866255423269,-60.0,-26.39999999999999,-60.0
43,-45.571808502884565,-60.0,-25.999999999999993,-60.0
44,-47.5136575637758,-60.0,-35.599999999999994,-60.0
45,-47.984059023532495,-60.0,-35.199999999999996,-60.0
46,-46.52378348225955,-60.0,-31.199999999999996,-60.0
47,-45.17582532662719,-60.0,-27.199999999999996,-60.0
48,-47.69934862949681,-60.0,-32.8,-60.0
49,-45.346984777329915,-60.0,-26.39999999999999,-60.0
50,-43.47672935109693,-60.0,-25.999999999999993,-60.0
51,-47.381049169124346,-60.0,-35.199999999999996,-60.0
52,-48.34108266180964,-60.0,-36.39999999999999,-60.0
53,-47.57526514942795,-60.0,-31.6,-60.0
54,-47.667986186064155,-60.0,-34.0,-60.0
55,-46.176720715003576,-60.0,-29.599999999999994,-60.0
56,-43.96237916994949,-60.0,-25.599999999999994,-60.0
57,-45.306220017750206,-60.0,-25.999999999999993,-60.0
58,-48.430301231076086,-60.0,-38.4,-60.0
59,-45.98269590529033,-60.0,-27.199999999999996,-60.0
60,-46.58655324619774,-60.0,-30.0,-60.0
61,-45.442412921111114,-60.0,-28.799999999999997,-60.0
62,-47.19461095473129,-60.0,-32.0,-60.0
63,-46.652219922673055,-60.0,-30.4,-60.0
64,-47.73719381310244,-60.0,-37.199999999999996,-60.0
65,-47.31504801486628,-60.0,-32.4,-60.0
66,-45.23100761248269,-60.0,-24.800000000000004,-60.0
67,-45.69309887451109,-60.0,-26.799999999999997,-60.0
68,-48.08107447296006,-60.0,-35.199999999999996,-60.0
69,-46.0838472506796,-60.0,-27.999999999999993,-60.0
70,-47.52648914010285,-60.0,-33.6,-60.0
71,-45.673161930237626,-60.0,-27.599999999999994,-60.0
72,-45.67446099585523,-60.0,-27.199999999999996,-60.0
73,-48.36001443483369,-60.0,-35.199999999999996,-60.0
74,-46.30709538292494,-60.0,-27.599999999999994,-60.0
75,-44.37478353927457,-60.0,-26.799999999999997,-60.0
76,-46.35622476147567,-60.0,-30.0,-60.0
77,-45.512479125958706,-60.0,-26.799999999999997,-60.0
78,-46.74017490812746,-60.0,-28.4,-60.0
79,-45.28336132602903,-60.0,-25.999999999999993,-60.0
80,-42.41713968842824,-60.0,-25.199999999999996,-60.0
81,-49.01867058837149,-60.0,-35.599999999999994,-60.0
82,-45.36727886119081,-60.0,-25.199999999999996,-60.0
83,-47.7933376723318,-60.0,-33.2,-60.0
84,-47.149176887359914,-60.0,-31.6,-60.0
85,-46.99162426084963,-60.0,-29.599999999999994,-60.0
86,-44.84625890178749,-60.0,-27.599999999999994,-60.0
87,-44.18827273636923,-60.0,-25.999999999999993,-60.0
88,-44.888019261765166,-60.0,-25.599999999999994,-60.0
89,-46.363156846709614,-60.0,-27.599999999999994,-60.0
90,-46.935811368648274,-60.0,-31.6,-60.0
