Second,Average,Min,Max,Median
0,-40.5562726954522,-60.0,-26.39999999999999,-60.0
1,-38.29344435597467,-60.0,-26.799999999999997,-47.599999999999994
2,-38.57627843944373,-60.0,-26.39999999999999,-48.39999999999999
3,-38.49068861306346,-60.0,-26.39999999999999,-48.59539645663692
4,-38.58709110045166,-60.0,-28.4,-49.19999999999999
5,-38.23916172065267,-60.0,-27.999999999999993,-48.8
6,-37.804606228248964,-60.0,-26.799999999999997,-45.599999999999994
7,-38.13066835586334,-60.0,-25.999999999999993,-46.39999999999999
8,-38.13648796409146,-60.0,-25.599999999999994,-47.599999999999994
9,-38.43618947087957,-60.0,-25.599999999999994,-48.59539645663692
10,-37.84970175631067,-60.0,-27.999999999999993,-48.59539645663692
11,-37.85597802127087,-60.0,-27.199999999999996,-48.0
12,-38.46435125846014,-60.0,-25.999999999999993,-48.8
13,-39.06196287509171,-60.0,-26.39999999999999,-48.99539645663693
14,-38.03314112798725,-60.0,-26.39999999999999,-48.99539645663693
15,-38.49680627943375,-60.0,-28.4,-49.19999999999999
16,-38.38576562661232,-60.0,-27.199999999999996,-47.19999999999999
17,-37.79560244976842,-60.0,-26.799999999999997,-47.599999999999994
18,-38.3908298286067,-60.0,-26.39999999999999,-48.39999999999999
19,-47.120496968824305,-60.0,-31.6,-59.79539645663692
20,-48.033419949388694,-60.0,-34.4,-60.0
21,-46.89737254542468,-60.0,-30.4,-60.0
22,-45.88266644486242,-60.0,-26.39999999999999,-60.0
23,-45.99333452832503,-60.0,-26.39999999999999,-60.0
24,-47.123802829370874,-60.0,-30.799999999999997,-60.0
25,-45.2302524601176,-60.0,-28.4,-60.0
26,-45.296825468777385,-60.0,-30.0,-60.0
27,-48.99822905463745,-60.0,-32.0,-60.0
28,-47.27973547621666,-60.0,-31.199999999999996,-60.0
29,-48.867664290911826,-60.0,-34.800000000000004,-60.0
30,-45.798017673441855,-60.0,-30.4,-60.0
31,-48.491592746127495,-60.0,-33.6,-60.0
32,-45.11791556386272,-60.0,-27.199999999999996,-60.0
33,-48.4027440411665,-60.0,-33.6,-60.0
34,-47.532254670989815,-60.0,-29.599999999999994,-60.0
35,-46.65511694255859,-60.0,-29.199999999999996,-60.0
36,-46.31478680877029,-60.0,-29.199999999999996,-60.0
37,-47.74875859945621,-60.0,-32.4,-60.0
38,-47.56445652110337,-60.0,-34.0,-60.0
39,-47.84165759259534,-60.0,-32.4,-60.0
40,-46.244148735852605,-60.0,-29.199999999999996,-60.0
41,-45.24503644304068,-60.0,-26.39999999999999,-60.0
42,-46.767461235991775,-60.0,-29.199999999999996,-60.0
43,-46.56012404573981,-60.0,-30.0,-60.0
44,-46.71291122791281,-60.0,-30.799999999999997,-60.0
45,-45.60839866347047,-60.0,-26.39999999999999,-60.0
46,-47.21829615673022,-60.0,-30.799999999999997,-60.0
47,-46.34365185192508,-60.0,-30.4,-60.0
48,-46.855419875874446,-60.0,-30.0,-60.0
49,-47.941301640202035,-60.0,-31.6,-60.0
50,-44.54184587549463,-60.0,-26.799999999999997,-60.0
51,-45.84603977287466,-60.0,-26.799999999999997,-60.0
52,-47.60219603631823,-60.0,-28.799999999999997,-60.0
53,-47.11210857173532,-60.0,-29.199999999999996,-60.0
54,-47.55651525451591,-60.0,-30.4,-60.0
55,-47.231539054860505,-60.0,-30.799999999999997,-60.0
56,-47.74823652059945,-60.0,-30.799999999999997,-60.0
57,-48.99029808503816,-60.0,-33.2,-60.0
58,-49.40013613749865,-60.0,-33.2,-60.0
59,-47.08276508270269,-60.0,-28.4,-60.0
60,-47.22975906342253,-60.0,-31.199999999999996,-60.0
61,-45.795350261515225,-60.0,-27.999999999999993,-60.0
62,-48.1735831369489,-60.0,-30.4,-60.0
63,-46.67643770107128,-60.0,-27.199999999999996,-60.0
64,-48.990982766056675,-60.0,-33.6,-60.0
65,-48.744039320699784,-60.0,-32.0,-60.0
66,-48.022914624703354,-60.0,-31.199999999999996,-60.0
67,-47.39058095523969,-60.0,-27.999999999999993,-60.0
68,-46.04071291392909,-60.0,-27.999999999999993,-60.0
69,-49.519899528324515,-60.0,-34.0,-60.0
70,-47.96073853414985,-60.0,-30.799999999999997,-60.0
71,-51.04440779976804,-60.0,-40.0,-60.0
72,-48.82627429574187,-60.0,-33.2,-60.0
73,-48.427058934541954,-60.0,-32.4,-60.0
74,-47.51636343502981,-60.0,-28.799999999999997,-60.0
75,-50.452698919335965,-60.0,-34.4,-60.0
76,-50.34109961406245,-60.0,-33.6,-60.0
77,-47.37560166241142,-60.0,-27.199999999999996,-60.0
78,-47.054760004920276,-60.0,-27.199999999999996,-60.0
79,-47.09666854459404,-60.0,-26.799999999999997,-60.0
80,-48.99993207931135,-60.0,-33.2,-60.0
81,-48.957446591348955,-60.0,-32.4,-60.0
82,-47.80361378951035,-60.0,-31.199999999999996,-60.0
83,-48.85283766034693,-60.0,-31.199999999999996,-60.0
84,-45.2610684535965,-60.0,-27.999999999999993,-60.0
85,-45.89834306565665,-60.0,-28.799999999999997,-60.0
86,-45.2763511660796,-60.0,-26.799999999999997,-60.0
87,-47.177025292173,-60.0,-26.799999999999997,-60.0
88,-49.87667087618625,-60.0,-35.199999999999996,-60.0
89,-45.74387662980428,-60.0,-27.999999999999993,-60.0
90,-49.94526370145028,-60.0,-33.2,-60.0
91,-47.908962819751366,-60.0,-30.0,-60.0
92,-45.82579079241832,-60.0,-27.199999999999996,-60.0
93,-46.83925326594356,-60.0,-29.199999999999996,-60.0
94,-47.445553963935645,-60.0,-28.799999999999997,-60.0
95,-48.516508439129026,-60.0,-28.799999999999997,-60.0
96,-45.13284959554316,-60.0,-25.999999999999993,-60.0
97,-50.54927543297418,-60.0,-34.4,-60.0
98,-50.428583286995575,-60.0,-33.2,-60.0
99,-50.866009441224975,-60.0,-37.199999999999996,-60.0
100,-47.086972869484526,-60.0,-29.599999999999994,-60.0
101,-47.36411431784266,-60.0,-26.39999999999999,-60.0
102,-47.442253382879755,-60.0,-28.799999999999997,-60.0
103,-48.00063142187312,-60.0,-30.4,-60.0
104,-47.12223170805589,-60.0,-29.599999999999994,-60.0
105,-48.18541766140507,-60.0,-29.199999999999996,-60.0
106,-45.81766976943509,-60.0,-26.799999999999997,-60.0
107,-48.113556810938086,-60.0,-28.4,-60.0
