Second,Average,Min,Max,Median
0,-27.085281827109814,-59.19999999999999,-20.799999999999997,-48.99539645663693
1,-27.38673253161715,-58.8,-20.799999999999997,-50.19539645663692
2,-26.91721641143493,-59.599999999999994,-21.199999999999996,-45.599999999999994
3,-26.681825155570458,-60.0,-20.4,-48.8
4,-27.206135980197224,-60.0,-20.799999999999997,-44.400000000000006
5,-26.802158197101807,-59.599999999999994,-21.6,-42.0
6,-27.065059899476616,-59.599999999999994,-20.799999999999997,-42.400000000000006
7,-26.985751750251307,-60.0,-20.0,-42.995396456636925
8,-27.06617105133253,-60.0,-20.0,-43.2
9,-27.265839614224422,-59.599999999999994,-20.0,-44.72673024705742
10,-26.981371451605423,-59.19999999999999,-21.6,-42.400000000000006
11,-27.292901857851867,-60.0,-20.0,-42.400000000000006
12,-27.31270023467409,-60.0,-20.4,-43.6
13,-26.980291402529023,-58.39999999999999,-21.6,-41.19999999999999
14,-26.82804303819244,-58.8,-21.199999999999996,-41.98160530437833
15,-26.82522732740807,-58.0,-21.6,-42.8
16,-27.16630536528826,-59.19999999999999,-21.6,-43.6
17,-27.045641209085982,-60.0,-21.199999999999996,-42.995396456636925
18,-27.260026460267778,-59.19999999999999,-21.199999999999996,-42.195396456636935
19,-27.24533848613577,-59.19999999999999,-20.799999999999997,-43.6
20,-27.137298128494184,-60.0,-21.6,-41.6
21,-27.031520541529808,-60.0,-20.799999999999997,-43.6
22,-27.05285868405508,-59.19999999999999,-21.6,-42.995396456636925
23,-27.135953848394315,-59.599999999999994,-21.6,-43.39539645663693
24,-27.18604858949863,-59.19999999999999,-21.6,-42.0
25,-27.321483160524554,-60.0,-21.6,-43.79539645663694
26,-27.02208808062705,-60.0,-20.4,-42.995396456636925
27,-27.366300677112662,-59.19999999999999,-21.6,-42.400000000000006
28,-27.21372485735602,-59.599999999999994,-21.6,-42.400000000000006
29,-27.317255173213976,-60.0,-21.6,-42.0
30,-26.617956089387746,-60.0,-21.6,-41.79539645663694
31,-27.217895472442926,-59.19999999999999,-21.6,-42.8
32,-27.477060553344646,-59.599999999999994,-21.6,-43.6
33,-26.77320988742895,-59.599999999999994,-21.6,-41.6
34,-27.284245069431513,-60.0,-20.4,-42.8
35,-26.681330898566618,-60.0,-20.799999999999997,-42.400000000000006
36,-26.704411998130723,-59.599999999999994,-21.199999999999996,-42.0
37,-27.181379267235897,-59.19999999999999,-21.6,-43.2
38,-27.02094712034464,-59.19999999999999,-20.4,-42.8
39,-26.952022966719163,-60.0,-20.799999999999997,-43.2
40,-27.471347626375547,-58.8,-20.799999999999997,-42.995396456636925
41,-27.085608116934587,-59.19999999999999,-20.799999999999997,-43.39539645663693
42,-27.150058453770953,-59.19999999999999,-21.199999999999996,-42.8
43,-27.372522807762113,-59.19999999999999,-20.799999999999997,-45.19999999999999
44,-26.868133340139742,-59.19999999999999,-21.199999999999996,-42.400000000000006
45,-27.53468253636423,-59.19999999999999,-21.6,-45.999999999999986
46,-26.322070434306113,-59.19999999999999,-20.799999999999997,-41.19999999999999
47,-26.980439889349874,-59.19999999999999,-20.4,-42.8
48,-26.736174298089384,-59.19999999999999,-20.4,-41.6
49,-27.079934732964702,-58.39999999999999,-21.6,-43.2
50,-26.99371780508058,-59.19999999999999,-21.199999999999996,-41.19999999999999
51,-26.90295288103976,-59.19999999999999,-20.799999999999997,-42.400000000000006
52,-26.8291964009342,-58.39999999999999,-21.199999999999996,-42.0
53,-27.780611270248006,-58.39999999999999,-21.6,-42.8
54,-26.06203718271715,-59.19999999999999,-20.799999999999997,-40.4
55,-27.10838812244066,-59.19999999999999,-20.799999999999997,-43.2
56,-26.809429938939395,-58.39999999999999,-20.0,-42.0
57,-26.809940960644475,-58.0,-21.6,-43.39539645663693
58,-27.476736712224515,-59.599999999999994,-20.0,-42.0
59,-26.722860889871633,-59.599999999999994,-21.6,-42.8
60,-27.215361346224206,-59.19999999999999,-20.799999999999997,-42.8
61,-27.295714915009878,-59.19999999999999,-21.6,-42.400000000000006
62,-27.379441002765454,-58.8,-20.799999999999997,-42.400000000000006
63,-27.00383555917608,-59.599999999999994,-21.6,-42.400000000000006
64,-26.868340249885595,-59.19999999999999,-21.6,-42.0
65,-27.37761014791484,-59.19999999999999,-21.6,-42.400000000000006
66,-27.449419471969318,-58.8,-21.6,-43.39539645663693
67,-26.498522860857676,-59.599999999999994,-20.799999999999997,-41.19999999999999
68,-27.380936582963752,-59.19999999999999,-20.799999999999997,-44.38160530437833
69,-27.14301749002518,-58.8,-20.4,-45.39539645663693
70,-27.028163515915175,-59.19999999999999,-21.6,-43.18160530437833
71,-27.75165320644892,-59.599999999999994,-21.6,-43.6
72,-26.7645653985328,-59.599999999999994,-20.799999999999997,-44.0
73,-26.522729155043407,-58.8,-20.799999999999997,-42.400000000000006
74,-27.299351580979625,-59.19999999999999,-21.6,-44.8
75,-27.200431766854358,-58.0,-20.4,-42.0
76,-26.46745331536888,-58.8,-21.6,-41.6
77,-27.3977999400014,-58.8,-21.6,-45.19999999999999
78,-27.090968131693806,-58.39999999999999,-21.6,-42.195396456636935
79,-26.785900367796586,-58.0,-21.199999999999996,-43.39539645663693
80,-27.453317714210005,-59.19999999999999,-20.4,-41.79539645663694
81,-27.243784317982044,-59.599999999999994,-21.6,-44.400000000000006
82,-27.817399684540753,-58.8,-21.6,-43.39539645663693
83,-26.618699985469316,-59.19999999999999,-20.799999999999997,-42.195396456636935
84,-27.493924118074652,-59.19999999999999,-21.199999999999996,-41.79539645663694
85,-27.46222025640533,-59.599999999999994,-21.6,-44.0
86,-27.013434674116215,-58.39999999999999,-21.6,-44.0
87,-27.231306647059576,-58.8,-21.6,-42.995396456636925
88,-27.198218456241325,-58.8,-21.6,-43.6
89,-27.16597453807261,-59.599999999999994,-21.199999999999996,-42.0
90,-27.077789489936578,-59.19999999999999,-21.6,-44.400000000000006
91,-27.175206080100395,-59.19999999999999,-21.6,-42.8
92,-27.238201907914824,-59.19999999999999,-20.799999999999997,-44.8
93,-27.11489715660502,-59.599999999999994,-20.799999999999997,-44.8
94,-26.928028428677262,-60.0,-20.799999999999997,-44.8
95,-27.11746447795832,-58.8,-20.4,-44.8
96,-27.141846153882142,-59.19999999999999,-21.199999999999996,-42.995396456636925
97,-26.846607684634808,-59.19999999999999,-21.6,-43.2
98,-26.96752654690837,-60.0,-20.799999999999997,-43.2
99,-27.070790427022587,-59.19999999999999,-21.6,-43.6
100,-26.86370119668802,-59.19999999999999,-21.6,-42.8
101,-27.082320038721427,-58.8,-20.799999999999997,-42.8
102,-27.361951341846368,-58.0,-20.799999999999997,-44.59539645663693
103,-27.098006367590315,-59.19999999999999,-20.799999999999997,-44.400000000000006
104,-27.23251895904482,-58.8,-21.6,-45.19999999999999
105,-27.07168570906152,-58.39999999999999,-20.4,-42.400000000000006
106,-26.996573681283238,-59.19999999999999,-21.199999999999996,-43.79539645663694
107,-26.7851536751121,-59.19999999999999,-21.199999999999996,-42.8
108,-27.015242477936773,-60.0,-21.199999999999996,-44.195396456636935
109,-27.126165474419555,-59.599999999999994,-21.199999999999996,-45.599999999999994
110,-27.13827324120302,-57.599999999999994,-20.4,-41.79539645663694
111,-27.279537865982533,-59.599999999999994,-20.799999999999997,-44.958684648284695
112,-27.00404252501594,-59.599999999999994,-21.199999999999996,-44.0
113,-27.132091440648654,-59.599999999999994,-21.199999999999996,-44.400000000000006
114,-27.235075560966653,-58.8,-21.199999999999996,-43.2
115,-27.109379726750895,-58.8,-20.0,-42.400000000000006
116,-26.52346319489258,-60.0,-20.4,-43.6
117,-27.167089332233196,-60.0,-21.6,-43.39539645663693
118,-27.11692099558433,-60.0,-21.199999999999996,-43.6
119,-26.07786941017114,-58.8,-21.199999999999996,-42.0
120,-44.0,-44.0,-44.0,-44.0
