Second,Average,Min,Max,Median
0,-31.510474892637802,-60.0,-25.199999999999996,-60.0
1,-30.263010399868268,-60.0,-24.800000000000004,-60.0
2,-32.24526922864716,-60.0,-24.800000000000004,-60.0
3,-31.40118376372048,-60.0,-24.800000000000004,-60.0
4,-30.545880829047867,-60.0,-24.800000000000004,-60.0
5,-32.094332473742,-60.0,-25.199999999999996,-60.0
6,-31.50470568560502,-60.0,-24.800000000000004,-60.0
7,-30.275641861420873,-60.0,-24.800000000000004,-60.0
8,-31.927436149091,-60.0,-25.199999999999996,-60.0
9,-31.443522607497027,-60.0,-24.800000000000004,-60.0
10,-30.08524974650109,-60.0,-24.800000000000004,-60.0
11,-32.70894195182291,-60.0,-24.800000000000004,-60.0
12,-31.299893409417198,-60.0,-24.800000000000004,-60.0
13,-30.29569166054676,-60.0,-25.199999999999996,-60.0
14,-32.61266683650383,-60.0,-25.199999999999996,-60.0
15,-31.399614855799904,-60.0,-25.199999999999996,-60.0
16,-30.242338364353635,-60.0,-24.800000000000004,-60.0
17,-32.57136216233189,-60.0,-24.800000000000004,-60.0
18,-31.92104488264745,-60.0,-24.800000000000004,-60.0
19,-29.865894959268534,-60.0,-24.800000000000004,-60.0
20,-32.555954562222745,-60.0,-24.800000000000004,-60.0
21,-31.318590031980822,-60.0,-25.199999999999996,-60.0
22,-30.279975105118993,-60.0,-24.800000000000004,-60.0
23,-32.34045698444081,-60.0,-25.199999999999996,-60.0
24,-31.110998919887006,-60.0,-24.800000000000004,-60.0
25,-30.121752369239005,-60.0,-25.199999999999996,-60.0
26,-32.6512405251198,-60.0,-25.199999999999996,-60.0
27,-31.261184558867026,-60.0,-25.199999999999996,-60.0
28,-30.492293790072956,-60.0,-25.199999999999996,-60.0
29,-31.86812169265108,-60.0,-25.199999999999996,-60.0
30,-30.952043813771787,-60.0,-25.199999999999996,-60.0
31,-30.3984827213799,-60.0,-25.199999999999996,-60.0
32,-31.754436547187854,-60.0,-25.199999999999996,-60.0
33,-29.883857960034383,-60.0,-24.800000000000004,-60.0
34,-31.258955572122776,-60.0,-25.199999999999996,-60.0
35,-31.526522369319373,-60.0,-24.800000000000004,-60.0
36,-30.001904915717272,-60.0,-25.199999999999996,-60.0
37,-31.86270311190519,-60.0,-25.199999999999996,-60.0
38,-31.16446891895842,-60.0,-25.199999999999996,-60.0
39,-29.999007898976675,-60.0,-24.800000000000004,-60.0
40,-31.545615881000128,-60.0,-25.199999999999996,-60.0
41,-31.491588870251228,-60.0,-25.199999999999996,-60.0
42,-31.221059006705076,-60.0,-24.800000000000004,-60.0
43,-30.512775109064478,-60.0,-25.199999999999996,-60.0
44,-31.364252271992665,-60.0,-24.800000000000004,-60.0
45,-31.024099900177184,-60.0,-25.199999999999996,-60.0
46,-31.064186768520297,-60.0,-24.800000000000004,-60.0
47,-30.573680071138064,-60.0,-24.800000000000004,-60.0
48,-31.153591026596406,-60.0,-25.199999999999996,-60.0
49,-30.57937440511886,-60.0,-25.199999999999996,-60.0
50,-31.044521921630267,-60.0,-24.800000000000004,-60.0
51,-31.566167389019245,-60.0,-24.800000000000004,-60.0
52,-30.182250374165246,-60.0,-24.800000000000004,-60.0
53,-31.38564142819003,-60.0,-25.199999999999996,-60.0
54,-31.50523393091389,-60.0,-24.800000000000004,-60.0
55,-30.004760227613435,-60.0,-25.199999999999996,-60.0
56,-32.1514376787256,-60.0,-25.199999999999996,-60.0
57,-30.853115250604425,-60.0,-24.800000000000004,-60.0
58,-30.11623162434631,-60.0,-25.199999999999996,-60.0
59,-31.938316882063702,-60.0,-25.199999999999996,-60.0
60,-30.750644475801252,-60.0,-25.199999999999996,-60.0
61,-30.069782837644496,-60.0,-24.800000000000004,-60.0
62,-31.962012890096645,-60.0,-25.199999999999996,-60.0
63,-31.05572606398838,-60.0,-24.800000000000004,-60.0
64,-30.28191061522079,-60.0,-25.199999999999996,-60.0
65,-31.359703552999385,-60.0,-24.800000000000004,-60.0
66,-30.48381763341269,-60.0,-25.199999999999996,-60.0
67,-31.522085804113775,-60.0,-25.199999999999996,-60.0
68,-32.57238716623068,-60.0,-24.800000000000004,-60.0
69,-32.423582597217944,-60.0,-25.199999999999996,-60.0
70,-32.77940233226634,-60.0,-24.800000000000004,-60.0
71,-31.57859692994559,-60.0,-24.800000000000004,-60.0
72,-29.017693228117658,-60.0,-24.800000000000004,-60.0
73,-32.68015319540184,-60.0,-24.800000000000004,-60.0
74,-32.47746310394206,-60.0,-24.800000000000004,-60.0
75,-32.29417878269111,-60.0,-24.800000000000004,-60.0
76,-31.067897017642597,-60.0,-24.800000000000004,-60.0
77,-32.3396980977856,-60.0,-24.800000000000004,-60.0
78,-32.07167616477878,-60.0,-24.800000000000004,-60.0
79,-33.11892381955184,-60.0,-24.800000000000004,-60.0
80,-31.244944323846493,-60.0,-24.800000000000004,-60.0
81,-29.05105099105837,-60.0,-24.800000000000004,-60.0
82,-33.81805470059518,-60.0,-25.199999999999996,-60.0
83,-34.19961453527196,-60.0,-24.800000000000004,-60.0
84,-35.38846922860793,-60.0,-25.199999999999996,-60.0
85,-36.39428040874858,-60.0,-24.800000000000004,-60.0
86,-33.97654109765821,-60.0,-24.800000000000004,-60.0
87,-32.98603999367532,-60.0,-24.800000000000004,-60.0
88,-34.47583917973512,-60.0,-25.199999999999996,-60.0
89,-33.81792237073705,-60.0,-24.800000000000004,-60.0
90,-60.0,-60.0,-60.0,-60.0
