Second,Average,Min,Max,Median
0,-22.42168081096306,-60.0,0.0,-60.0
1,-31.887159451552893,-60.0,-25.199999999999996,-60.0
2,-30.520448005644916,-60.0,-25.199999999999996,-60.0
3,-31.130311176885765,-60.0,-25.199999999999996,-60.0
4,-31.77052552505956,-60.0,-25.199999999999996,-60.0
5,-30.86474484526972,-60.0,-25.199999999999996,-60.0
6,-30.645431992568714,-60.0,-25.199999999999996,-60.0
7,-31.681619339792263,-60.0,-25.199999999999996,-60.0
8,-30.886508613607994,-60.0,-25.199999999999996,-60.0
9,-31.008310904126,-60.0,-25.199999999999996,-60.0
10,-30.995810766766635,-60.0,-25.199999999999996,-60.0
11,-31.238919800826046,-60.0,-24.800000000000004,-60.0
12,-31.26445996303186,-60.0,-24.800000000000004,-60.0
13,-31.12059346304116,-60.0,-25.199999999999996,-60.0
14,-31.25864679032324,-60.0,-25.199999999999996,-60.0
15,-31.511983797973194,-60.0,-25.199999999999996,-60.0
16,-31.785666936515547,-60.0,-25.199999999999996,-60.0
17,-30.8888192685453,-60.0,-25.199999999999996,-60.0
18,-31.586174368011363,-60.0,-24.800000000000004,-60.0
19,-31.573287135322744,-60.0,-25.199999999999996,-60.0
20,-30.8699298289495,-60.0,-24.800000000000004,-60.0
21,-31.097302114204624,-60.0,-25.199999999999996,-60.0
22,-31.702535052761455,-60.0,-25.199999999999996,-60.0
23,-30.91071208249598,-60.0,-25.199999999999996,-60.0
24,-31.128621397559087,-60.0,-24.800000000000004,-60.0
25,-31.632353224818488,-60.0,-25.199999999999996,-60.0
26,-31.26420758344331,-60.0,-25.199999999999996,-60.0
27,-31.22191599262401,-60.0,-25.199999999999996,-60.0
28,-31.31161018625197,-60.0,-25.199999999999996,-60.0
29,-31.40081802616085,-60.0,-25.199999999999996,-60.0
30,-30.923873570837422,-60.0,-25.199999999999996,-60.0
31,-31.107836300309458,-60.0,-25.199999999999996,-60.0
32,-31.380652296958324,-60.0,-24.800000000000004,-60.0
33,-30.957227851916052,-60.0,-25.199999999999996,-60.0
34,-31.129436111802153,-60.0,-25.199999999999996,-60.0
35,-31.23103406936007,-60.0,-25.199999999999996,-60.0
36,-30.777284825925285,-60.0,-25.199999999999996,-60.0
37,-30.835477106352283,-60.0,-25.199999999999996,-60.0
38,-30.768921668110252,-60.0,-25.199999999999996,-60.0
39,-30.690964454133344,-60.0,-24.800000000000004,-60.0
40,-30.89815395953012,-60.0,-25.199999999999996,-60.0
41,-30.835262128110482,-60.0,-25.199999999999996,-60.0
42,-30.901070999184906,-60.0,-24.800000000000004,-60.0
43,-30.86424073463219,-60.0,-25.199999999999996,-60.0
44,-31.041754086609025,-60.0,-25.199999999999996,-60.0
45,-30.58063377559707,-60.0,-25.199999999999996,-60.0
46,-30.987583892371248,-60.0,-25.199999999999996,-60.0
47,-30.695689807690126,-60.0,-25.199999999999996,-60.0
48,-31.577413559725898,-60.0,-25.199999999999996,-60.0
49,-30.94301122256808,-60.0,-25.199999999999996,-60.0
50,-30.956755772202982,-60.0,-25.199999999999996,-60.0
51,-30.912291786608815,-60.0,-24.800000000000004,-60.0
52,-30.7862136319567,-60.0,-25.199999999999996,-60.0
53,-30.990984975201954,-60.0,-25.199999999999996,-60.0
54,-31.182671814241914,-60.0,-24.800000000000004,-60.0
55,-31.02087329946547,-60.0,-25.199999999999996,-60.0
56,-31.084958033381874,-60.0,-25.199999999999996,-60.0
57,-30.94083585139465,-60.0,-25.199999999999996,-60.0
58,-30.923331414296843,-60.0,-25.199999999999996,-60.0
59,-30.88069164809832,-60.0,-25.199999999999996,-60.0
60,-30.950773165651274,-60.0,-25.199999999999996,-60.0
61,-30.840743377981383,-60.0,-25.199999999999996,-60.0
62,-30.981868314366245,-60.0,-24.800000000000004,-60.0
63,-30.967674614423206,-60.0,-25.199999999999996,-60.0
64,-30.073110906241798,-60.0,-25.199999999999996,-60.0
65,-32.49187892380385,-60.0,-25.199999999999996,-60.0
66,-32.798373164972446,-60.0,-25.199999999999996,-60.0
67,-32.50609215803123,-60.0,-25.199999999999996,-60.0
68,-32.52808103971209,-60.0,-25.199999999999996,-60.0
69,-31.147995811564343,-60.0,-24.800000000000004,-60.0
70,-30.81755672247626,-60.0,-25.199999999999996,-60.0
71,-32.53441972548211,-60.0,-25.199999999999996,-60.0
72,-32.65516992129018,-60.0,-25.199999999999996,-60.0
73,-32.30392609328488,-60.0,-24.800000000000004,-60.0
74,-31.191477290519025,-60.0,-25.199999999999996,-60.0
75,-32.917228697670765,-60.0,-25.199999999999996,-60.0
76,-32.25795263760567,-60.0,-25.199999999999996,-60.0
77,-32.33640082964096,-60.0,-25.199999999999996,-60.0
78,-31.000867850451094,-60.0,-25.199999999999996,-60.0
79,-29.850944237413607,-60.0,-25.199999999999996,-60.0
80,-32.89503101556421,-60.0,-25.199999999999996,-60.0
81,-34.11308380706687,-60.0,-25.199999999999996,-60.0
82,-34.494146513598345,-60.0,-25.199999999999996,-60.0
83,-33.815181926374,-60.0,-25.199999999999996,-60.0
84,-33.500715802998755,-60.0,-25.199999999999996,-60.0
85,-34.11231888215717,-60.0,-25.199999999999996,-60.0
86,-33.378670314646314,-60.0,-25.199999999999996,-60.0
87,-34.215553862019355,-60.0,-24.800000000000004,-60.0
88,-33.33544577081127,-60.0,-25.199999999999996,-60.0
89,-31.53926311512455,-60.0,-25.199999999999996,-60.0
90,-60.0,-60.0,-60.0,-60.0
