Second,Average,Min,Max,Median
0,-30.017019387006528,-60.0,-25.199999999999996,-60.0
1,-31.832929093597357,-60.0,-25.199999999999996,-60.0
2,-31.211327464030468,-60.0,-25.199999999999996,-60.0
3,-30.3170688420252,-60.0,-25.199999999999996,-60.0
4,-32.20774637238808,-60.0,-25.199999999999996,-60.0
5,-31.10439978454149,-60.0,-24.800000000000004,-60.0
6,-30.334662275614555,-60.0,-25.199999999999996,-60.0
7,-32.12265892213078,-60.0,-25.199999999999996,-60.0
8,-31.117797238796587,-60.0,-24.800000000000004,-60.0
9,-30.32267541320408,-60.0,-25.199999999999996,-60.0
10,-32.25923699669271,-60.0,-24.800000000000004,-60.0
11,-31.173325246230583,-60.0,-25.199999999999996,-60.0
12,-30.69487331958279,-60.0,-24.800000000000004,-60.0
13,-31.19226893224588,-60.0,-24.800000000000004,-60.0
14,-31.694174155238354,-60.0,-24.800000000000004,-60.0
15,-30.57354610199489,-60.0,-24.800000000000004,-60.0
16,-31.280218098481303,-60.0,-24.800000000000004,-60.0
17,-32.3023871307343,-60.0,-24.800000000000004,-60.0
18,-30.11939704876289,-60.0,-25.199999999999996,-60.0
19,-31.817073145323825,-60.0,-25.199999999999996,-60.0
20,-31.29167701417672,-60.0,-25.199999999999996,-60.0
21,-30.238107973175783,-60.0,-25.199999999999996,-60.0
22,-32.33800991766974,-60.0,-25.199999999999996,-60.0
23,-31.3594197390995,-60.0,-25.199999999999996,-60.0
24,-30.18193483911004,-60.0,-25.199999999999996,-60.0
25,-32.25185732197326,-60.0,-25.199999999999996,-60.0
26,-31.380054108961275,-60.0,-25.199999999999996,-60.0
27,-30.148782048373164,-60.0,-25.199999999999996,-60.0
28,-32.23509468733208,-60.0,-25.199999999999996,-60.0
29,-31.41714286569155,-60.0,-24.800000000000004,-60.0
30,-30.602996290487706,-60.0,-25.199999999999996,-60.0
31,-31.187843448241047,-60.0,-25.199999999999996,-60.0
32,-31.910334647026836,-60.0,-25.199999999999996,-60.0
33,-30.54149141521775,-60.0,-25.199999999999996,-60.0
34,-31.193043976757274,-60.0,-25.199999999999996,-60.0
35,-32.466057030307084,-60.0,-25.199999999999996,-60.0
36,-29.928216567936346,-60.0,-24.800000000000004,-60.0
37,-32.28545276247611,-60.0,-25.199999999999996,-60.0
38,-31.223860152624404,-60.0,-25.199999999999996,-60.0
39,-30.794411377066332,-60.0,-25.199999999999996,-60.0
40,-31.611881260332133,-60.0,-24.800000000000004,-60.0
41,-31.166725539218092,-60.0,-25.199999999999996,-60.0
42,-30.997411490289956,-60.0,-25.199999999999996,-60.0
43,-31.65579107186002,-60.0,-24.800000000000004,-60.0
44,-31.127522402081198,-60.0,-25.199999999999996,-60.0
45,-31.195002813212614,-60.0,-25.199999999999996,-60.0
46,-31.202234046396732,-60.0,-25.199999999999996,-60.0
47,-31.49383742900788,-60.0,-25.199999999999996,-60.0
48,-30.754972515097844,-60.0,-25.199999999999996,-60.0
49,-32.324850832051936,-60.0,-25.199999999999996,-60.0
50,-31.678192755975356,-60.0,-25.199999999999996,-60.0
51,-30.047779238826,-60.0,-25.199999999999996,-60.0
52,-33.22994510338205,-60.0,-24.800000000000004,-60.0
53,-30.691694196482622,-60.0,-25.199999999999996,-60.0
54,-30.469578297365906,-60.0,-25.199999999999996,-60.0
55,-32.71403121893309,-60.0,-25.199999999999996,-60.0
56,-30.96349445387275,-60.0,-25.199999999999996,-60.0
57,-30.54595797202232,-60.0,-25.199999999999996,-60.0
58,-32.65365093966818,-60.0,-25.199999999999996,-60.0
