Second,Average,Min,Max,Median
0,-32.191897744812586,-60.0,-25.999999999999993,-60.0
1,-32.27313230287747,-60.0,-25.999999999999993,-60.0
2,-31.9531394572882,-60.0,-25.999999999999993,-60.0
3,-32.106439175899176,-60.0,-25.999999999999993,-60.0
4,-32.019871294238996,-60.0,-25.999999999999993,-60.0
5,-32.00372392904165,-60.0,-25.999999999999993,-60.0
6,-31.70654465394668,-60.0,-25.999999999999993,-60.0
7,-32.541345278939005,-60.0,-25.999999999999993,-60.0
8,-31.700298619760567,-60.0,-25.999999999999993,-60.0
9,-31.94051735437533,-60.0,-25.999999999999993,-60.0
10,-32.495789701025025,-60.0,-25.999999999999993,-60.0
11,-31.651585763161055,-60.0,-25.999999999999993,-60.0
12,-32.16441649159744,-60.0,-25.999999999999993,-60.0
13,-32.18624981392564,-60.0,-25.999999999999993,-60.0
14,-32.18363703304407,-60.0,-25.999999999999993,-60.0
15,-32.8744130156214,-60.0,-25.999999999999993,-60.0
16,-31.586548780994708,-60.0,-25.999999999999993,-60.0
17,-32.06727696548807,-60.0,-25.999999999999993,-60.0
18,-32.293672827139915,-60.0,-25.999999999999993,-60.0
19,-32.1588160565645,-60.0,-25.999999999999993,-60.0
20,-32.03302623161913,-60.0,-25.999999999999993,-60.0
21,-31.62177262938558,-60.0,-25.999999999999993,-60.0
22,-32.33141164845228,-60.0,-25.999999999999993,-60.0
23,-32.01822988882172,-60.0,-25.999999999999993,-60.0
24,-31.870732718457884,-60.0,-25.999999999999993,-60.0
25,-32.51238022397437,-60.0,-25.999999999999993,-60.0
26,-31.93893677020569,-60.0,-25.999999999999993,-60.0
27,-32.61802228870604,-60.0,-25.999999999999993,-60.0
28,-32.013574093527026,-60.0,-25.999999999999993,-60.0
29,-32.306697708702984,-60.0,-25.999999999999993,-60.0
30,-32.62314314669152,-60.0,-25.999999999999993,-60.0
31,-31.729959877989383,-60.0,-25.999999999999993,-60.0
32,-32.12495508216534,-60.0,-25.999999999999993,-60.0
33,-32.743939203210445,-60.0,-25.999999999999993,-60.0
34,-31.777772446336815,-60.0,-25.999999999999993,-60.0
35,-32.00746022046377,-60.0,-25.999999999999993,-60.0
36,-31.895616957225172,-60.0,-25.999999999999993,-60.0
37,-32.14017248199407,-60.0,-25.999999999999993,-60.0
38,-32.03357514724019,-60.0,-25.999999999999993,-60.0
39,-31.959714264138,-60.0,-25.999999999999993,-60.0
40,-31.924719415576984,-60.0,-25.999999999999993,-60.0
41,-31.953598043951935,-60.0,-25.999999999999993,-60.0
42,-32.241658383164335,-60.0,-25.999999999999993,-60.0
43,-32.320644713827114,-60.0,-25.999999999999993,-60.0
44,-31.9132575672415,-60.0,-25.999999999999993,-60.0
45,-33.12042657573095,-60.0,-25.999999999999993,-60.0
46,-31.535547739773577,-60.0,-25.999999999999993,-60.0
47,-32.46493081380278,-60.0,-25.999999999999993,-60.0
48,-31.490799972417406,-60.0,-25.999999999999993,-60.0
49,-33.17093035717464,-60.0,-25.999999999999993,-60.0
50,-32.03168564665032,-60.0,-25.999999999999993,-60.0
51,-32.139065100554525,-60.0,-25.999999999999993,-60.0
52,-32.40170012406572,-60.0,-25.999999999999993,-60.0
53,-32.11682935104521,-60.0,-25.999999999999993,-60.0
54,-31.578592045710614,-60.0,-25.999999999999993,-60.0
55,-32.45006402812804,-60.0,-25.999999999999993,-60.0
56,-32.02655179022618,-60.0,-25.999999999999993,-60.0
57,-31.642815068644587,-60.0,-25.999999999999993,-60.0
58,-33.61456441482714,-60.0,-25.999999999999993,-60.0
59,-29.939591912921042,-60.0,-24.800000000000004,-60.0
60,-24.760376356919465,-24.800000000000004,-24.4,-24.800000000000004
61,-24.603201199248396,-24.800000000000004,-24.0,-24.800000000000004
62,-24.82645113143991,-25.599999999999994,-24.0,-24.800000000000004
63,-24.91054734679111,-25.599999999999994,-24.4,-24.800000000000004
64,-24.937820764293157,-25.199999999999996,-24.800000000000004,-24.800000000000004
65,-24.805735767013374,-25.199999999999996,-24.800000000000004,-24.800000000000004
66,-24.800000000000004,-24.800000000000004,-24.800000000000004,-24.800000000000004
67,-24.800000000000004,-24.800000000000004,-24.800000000000004,-24.800000000000004
68,-24.800000000000004,-24.800000000000004,-24.800000000000004,-24.800000000000004
69,-24.809563824505602,-25.199999999999996,-24.800000000000004,-24.800000000000004
70,-24.834528784548677,-25.199999999999996,-24.800000000000004,-24.800000000000004
71,-24.800000000000004,-24.800000000000004,-24.800000000000004,-24.800000000000004
72,-24.800000000000004,-24.800000000000004,-24.800000000000004,-24.800000000000004
73,-24.800000000000004,-24.800000000000004,-24.800000000000004,-24.800000000000004
