Second,Average,Min,Max,Median
0,-25.47404930417669,-25.599999999999994,-25.199999999999996,-25.599999999999994
1,-25.392414514391028,-25.599999999999994,-25.199999999999996,-25.199999999999996
2,-25.34374159753717,-25.599999999999994,-25.199999999999996,-25.199999999999996
3,-25.369492229866147,-25.599999999999994,-25.199999999999996,-25.199999999999996
4,-25.433536602424418,-25.599999999999994,-25.199999999999996,-25.599999999999994
5,-25.476084893650338,-25.599999999999994,-25.199999999999996,-25.599999999999994
6,-25.579100394371245,-25.599999999999994,-25.199999999999996,-25.599999999999994
7,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
8,-25.593719551121183,-25.599999999999994,-25.199999999999996,-25.599999999999994
9,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
10,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
11,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
12,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
13,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
14,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
15,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
16,-25.5916280848359,-25.599999999999994,-25.199999999999996,-25.599999999999994
17,-25.57076863216256,-25.599999999999994,-25.199999999999996,-25.599999999999994
18,-25.51699833791521,-25.599999999999994,-25.199999999999996,-25.599999999999994
19,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
20,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
21,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
22,-25.572984729693115,-25.599999999999994,-25.199999999999996,-25.599999999999994
23,-25.560376356919456,-25.599999999999994,-25.199999999999996,-25.599999999999994
24,-25.577015954826358,-25.599999999999994,-25.199999999999996,-25.599999999999994
25,-25.589537625269784,-25.599999999999994,-25.199999999999996,-25.599999999999994
26,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
27,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
28,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
29,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
30,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
31,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
32,-25.599999999999994,-25.599999999999994,-25.599999999999994,-25.599999999999994
