Second,Average,Min,Max,Median
0,-40.342943229676315,-60.0,-22.799999999999997,-60.0
1,-40.8867065067837,-60.0,-22.799999999999997,-60.0
2,-41.37838132951033,-60.0,-23.200000000000003,-60.0
3,-39.48443806691725,-60.0,-22.799999999999997,-60.0
4,-41.2313062452121,-60.0,-22.799999999999997,-60.0
5,-39.94112969580535,-60.0,-22.799999999999997,-60.0
6,-40.9587460291322,-60.0,-22.799999999999997,-60.0
7,-43.700457042862325,-60.0,-23.200000000000003,-60.0
8,-39.82017848372503,-60.0,-22.799999999999997,-60.0
9,-40.04208843503403,-60.0,-22.799999999999997,-60.0
10,-39.8281600358158,-60.0,-22.799999999999997,-60.0
11,-40.55355868483631,-60.0,-22.799999999999997,-60.0
12,-38.53735321891677,-60.0,-22.799999999999997,-60.0
13,-40.512135469561116,-60.0,-22.799999999999997,-60.0
14,-40.3373143024871,-60.0,-23.200000000000003,-60.0
15,-40.24037477050719,-60.0,-23.200000000000003,-60.0
16,-39.96359810564045,-60.0,-22.799999999999997,-60.0
17,-40.01911610551134,-60.0,-22.799999999999997,-60.0
18,-42.736921996520465,-60.0,-22.799999999999997,-60.0
19,-42.09314484562012,-60.0,-22.799999999999997,-60.0
20,-40.29910966651967,-60.0,-22.799999999999997,-60.0
21,-41.353794074707025,-60.0,-23.200000000000003,-60.0
22,-40.33842364590484,-60.0,-22.799999999999997,-60.0
23,-40.13526959756132,-60.0,-22.799999999999997,-60.0
24,-41.264456484475545,-60.0,-22.799999999999997,-60.0
25,-41.03002893430184,-60.0,-22.799999999999997,-60.0
26,-40.65158072720297,-60.0,-22.799999999999997,-60.0
27,-41.077261579622856,-60.0,-23.200000000000003,-60.0
28,-40.93025296069612,-60.0,-22.799999999999997,-60.0
29,-42.775887321405,-60.0,-23.200000000000003,-60.0
