Second,Average,Min,Max,Median
0,-31.99065021550701,-60.0,-15.600000000000001,-60.0
1,-33.907147376796715,-60.0,-15.600000000000001,-60.0
2,-35.84278733412119,-60.0,-16.0,-60.0
3,-33.95291928197557,-60.0,-15.600000000000001,-60.0
4,-32.695920796294935,-60.0,-15.600000000000001,-60.0
5,-36.41210774509545,-60.0,-16.0,-60.0
6,-32.30828729492128,-60.0,-15.600000000000001,-60.0
7,-32.715454898607106,-60.0,-15.600000000000001,-60.0
8,-34.88625487514084,-60.0,-15.600000000000001,-60.0
9,-34.959681908203514,-60.0,-15.600000000000001,-60.0
10,-33.63159418242478,-60.0,-16.0,-60.0
11,-34.5656646933631,-60.0,-15.600000000000001,-60.0
12,-33.35359565971475,-60.0,-16.0,-60.0
13,-31.05251679935398,-60.0,-15.600000000000001,-60.0
14,-36.19891755240168,-60.0,-16.0,-60.0
15,-34.09022813753812,-60.0,-15.600000000000001,-60.0
16,-33.145944795400155,-60.0,-15.600000000000001,-60.0
17,-36.00415097099478,-60.0,-16.0,-60.0
18,-33.050995868795184,-60.0,-16.0,-60.0
19,-32.77313306815929,-60.0,-15.600000000000001,-60.0
20,-35.39603436388478,-60.0,-16.0,-60.0
21,-33.294486472640244,-60.0,-15.600000000000001,-60.0
22,-33.16715580586354,-60.0,-16.0,-60.0
23,-33.05945084653867,-60.0,-15.600000000000001,-60.0
24,-31.018706227765584,-60.0,-15.600000000000001,-60.0
25,-34.24860164655334,-60.0,-16.0,-60.0
26,-34.215217893171015,-60.0,-15.600000000000001,-60.0
27,-33.76992166223865,-60.0,-16.0,-60.0
28,-34.09686966913886,-60.0,-15.600000000000001,-60.0
29,-35.7274919817369,-60.0,-16.0,-60.0
