Second,Average,Min,Max,Median
0,-40.40058126558307,-60.0,-23.200000000000003,-60.0
1,-41.328387241568834,-60.0,-23.6,-60.0
2,-41.77064159681831,-60.0,-23.6,-60.0
3,-43.27518195127762,-60.0,-23.6,-60.0
4,-41.59327338782877,-60.0,-23.200000000000003,-60.0
5,-41.71000847383989,-60.0,-23.200000000000003,-60.0
6,-40.82525564298821,-60.0,-23.6,-60.0
7,-38.875661845903664,-60.0,-23.200000000000003,-60.0
8,-40.725665564356675,-60.0,-23.6,-60.0
9,-40.43780637954046,-60.0,-23.200000000000003,-60.0
10,-41.79420947550655,-60.0,-23.6,-60.0
11,-43.13737698676459,-60.0,-23.200000000000003,-60.0
12,-41.724157610904626,-60.0,-23.6,-60.0
13,-41.04288476846265,-60.0,-23.6,-60.0
14,-40.012785488216466,-60.0,-23.6,-60.0
15,-40.74709669880111,-60.0,-23.6,-60.0
16,-40.63262013357029,-60.0,-23.6,-60.0
17,-43.691860498529245,-60.0,-23.6,-60.0
18,-40.30095936425137,-60.0,-23.200000000000003,-60.0
19,-40.41058295253678,-60.0,-23.200000000000003,-60.0
20,-41.02719960699703,-60.0,-23.6,-60.0
21,-41.76376203678621,-60.0,-23.6,-60.0
22,-42.06694068384649,-60.0,-23.6,-60.0
23,-41.40945522268084,-60.0,-23.6,-60.0
24,-42.90489637839694,-60.0,-23.6,-60.0
25,-40.523343140115166,-60.0,-23.200000000000003,-60.0
26,-40.42360000952769,-60.0,-23.6,-60.0
27,-41.7741059445975,-60.0,-23.6,-60.0
28,-41.12761529012559,-60.0,-23.6,-60.0
29,-42.22842053835875,-60.0,-23.6,-60.0
