Second,Average,Min,Max,Median
0,-59.579199610319904,-60.0,-51.599999999999994,-60.0
1,-49.313912081772415,-60.0,-28.4,-60.0
2,-46.81057800517867,-60.0,-28.4,-60.0
3,-47.988689544806405,-60.0,-28.799999999999997,-60.0
4,-49.08338306643077,-60.0,-35.99999999999999,-60.0
5,-47.310888234229665,-60.0,-30.799999999999997,-60.0
6,-47.27223220700804,-60.0,-28.4,-60.0
7,-47.798770909258764,-60.0,-29.199999999999996,-60.0
8,-45.98060970921174,-60.0,-28.4,-60.0
9,-49.68857760342398,-60.0,-35.199999999999996,-60.0
10,-47.49909469295932,-60.0,-28.4,-60.0
11,-46.57221744090271,-60.0,-28.4,-60.0
12,-46.79844983783383,-60.0,-28.799999999999997,-60.0
13,-48.385029737563414,-60.0,-29.199999999999996,-60.0
14,-48.15608932750439,-60.0,-30.799999999999997,-60.0
15,-47.5574960643793,-60.0,-30.799999999999997,-60.0
16,-48.26976112971684,-60.0,-31.199999999999996,-60.0
17,-46.89857769892629,-60.0,-28.799999999999997,-60.0
18,-50.21072659384026,-60.0,-36.39999999999999,-60.0
19,-48.60693012532743,-60.0,-32.8,-59.599999999999994
20,-47.403464044215575,-60.0,-29.199999999999996,-60.0
21,-49.14268540773362,-60.0,-30.4,-60.0
22,-47.73841331202348,-60.0,-28.4,-60.0
23,-48.45689453207048,-60.0,-33.2,-60.0
24,-48.81085964421089,-60.0,-32.0,-60.0
25,-47.990573355483505,-60.0,-28.799999999999997,-60.0
26,-48.13177688722217,-60.0,-28.799999999999997,-60.0
27,-48.51351180100896,-60.0,-32.0,-60.0
28,-47.891723936053474,-60.0,-30.0,-60.0
29,-49.12687780611531,-60.0,-35.199999999999996,-60.0
30,-47.255663771200844,-60.0,-30.0,-60.0
31,-47.55955363245054,-60.0,-29.599999999999994,-60.0
32,-47.28889906112336,-60.0,-28.799999999999997,-60.0
33,-47.93014681633841,-60.0,-32.4,-60.0
34,-47.48234869632526,-60.0,-29.599999999999994,-60.0
35,-47.55512606765542,-60.0,-31.6,-60.0
36,-46.591696273129685,-60.0,-29.599999999999994,-60.0
37,-47.092238151456776,-60.0,-30.0,-60.0
38,-46.03579566076088,-60.0,-29.199999999999996,-60.0
39,-49.09008690182522,-60.0,-33.6,-60.0
40,-47.17934062294893,-60.0,-28.799999999999997,-60.0
41,-47.08009267201396,-60.0,-30.0,-59.599999999999994
42,-49.10244792816545,-60.0,-31.199999999999996,-60.0
43,-48.74743942263012,-60.0,-29.599999999999994,-60.0
44,-48.89610795898298,-60.0,-30.0,-59.19999999999999
45,-50.327836286132026,-60.0,-34.0,-56.99539645663692
46,-48.375127753527266,-60.0,-33.2,-58.0
47,-47.63675920172748,-60.0,-28.4,-60.0
48,-46.58849981276981,-60.0,-28.4,-59.599999999999994
49,-46.814259509534104,-60.0,-28.799999999999997,-60.0
50,-48.35270008306088,-60.0,-30.799999999999997,-60.0
51,-50.5123746283103,-60.0,-36.8,-59.599999999999994
52,-47.32547447049178,-60.0,-28.4,-60.0
53,-47.86671623745109,-60.0,-30.4,-60.0
54,-49.259077687329835,-60.0,-33.2,-60.0
55,-48.35046558136787,-60.0,-28.799999999999997,-60.0
56,-48.388091167270716,-60.0,-31.199999999999996,-60.0
57,-47.69797152194216,-60.0,-28.4,-60.0
58,-47.467558904957485,-60.0,-30.0,-60.0
59,-46.8997044299169,-60.0,-28.799999999999997,-59.79539645663692
60,-47.58190845385491,-60.0,-29.599999999999994,-60.0
61,-48.358594397083095,-60.0,-28.799999999999997,-59.599999999999994
62,-47.04623919629996,-60.0,-28.4,-59.19999999999999
63,-49.77476331237938,-60.0,-35.99999999999999,-60.0
64,-47.744449587548374,-60.0,-28.799999999999997,-60.0
65,-47.58006697027936,-60.0,-28.4,-60.0
66,-49.24538880791752,-60.0,-31.6,-59.599999999999994
67,-49.83679526542427,-60.0,-34.0,-60.0
68,-46.55329307654235,-60.0,-29.599999999999994,-60.0
69,-49.330889056895586,-60.0,-31.199999999999996,-60.0
70,-46.73013643315528,-60.0,-28.4,-59.19999999999999
71,-49.78876553485981,-60.0,-32.8,-60.0
72,-46.58832989924464,-60.0,-28.4,-60.0
73,-49.25853869913344,-60.0,-31.199999999999996,-60.0
74,-46.796557712836766,-60.0,-29.199999999999996,-60.0
75,-49.61908208261592,-60.0,-32.8,-60.0
76,-47.64963296029495,-60.0,-28.4,-59.599999999999994
77,-47.658122453498216,-60.0,-29.199999999999996,-59.599999999999994
78,-47.49567927454426,-60.0,-28.4,-60.0
79,-50.123422453850246,-60.0,-35.99999999999999,-60.0
80,-48.43920084607361,-60.0,-32.0,-60.0
81,-49.894577950635664,-60.0,-34.0,-60.0
82,-51.44825062209594,-60.0,-36.39999999999999,-60.0
83,-48.37610646885406,-60.0,-30.0,-59.19999999999999
84,-49.79793891481989,-60.0,-32.8,-60.0
85,-48.18973868460812,-60.0,-28.799999999999997,-60.0
86,-50.00025236298959,-60.0,-32.4,-60.0
87,-47.87722493503691,-60.0,-28.4,-59.599999999999994
88,-47.09291301379287,-60.0,-28.799999999999997,-60.0
89,-46.597266416383746,-60.0,-28.799999999999997,-60.0
