Second,Average,Min,Max,Median
0,-45.48611610031642,-60.0,-28.4,-60.0
1,-39.04923099923703,-60.0,-28.4,-53.599999999999994
2,-38.33860881295664,-60.0,-28.4,-53.2
3,-38.3604341819788,-60.0,-28.4,-51.599999999999994
4,-38.12389867764413,-60.0,-28.4,-51.2
5,-39.11326748382213,-60.0,-28.4,-51.599999999999994
6,-39.00985670447768,-60.0,-28.799999999999997,-52.0
7,-38.495282653418805,-60.0,-28.4,-52.0
8,-38.337266184424095,-60.0,-28.799999999999997,-48.8
9,-38.24117548637233,-60.0,-28.799999999999997,-49.599999999999994
10,-38.823244695107434,-60.0,-29.199999999999996,-48.0
11,-39.17673892659489,-60.0,-28.799999999999997,-48.39999999999999
12,-38.634834240940364,-60.0,-28.799999999999997,-48.59539645663692
13,-38.39896364677113,-60.0,-28.799999999999997,-48.39999999999999
14,-38.24645086345635,-60.0,-28.799999999999997,-48.59539645663692
15,-38.71508311040988,-60.0,-29.199999999999996,-48.39999999999999
16,-39.16628742975357,-60.0,-28.799999999999997,-48.59539645663692
17,-39.04827228684128,-60.0,-28.799999999999997,-48.8
18,-38.41984323487503,-60.0,-28.799999999999997,-48.0
19,-38.18793405245625,-60.0,-28.4,-49.79539645663692
20,-38.648855624039506,-60.0,-28.799999999999997,-48.39999999999999
21,-39.13217600651583,-60.0,-28.799999999999997,-49.19999999999999
22,-38.76570387937616,-60.0,-28.799999999999997,-48.8
23,-38.19855577760846,-60.0,-28.799999999999997,-48.59539645663692
24,-38.47412452840264,-60.0,-28.799999999999997,-49.599999999999994
25,-38.98520247692561,-60.0,-28.799999999999997,-48.39999999999999
26,-38.84062727994467,-60.0,-28.799999999999997,-49.19999999999999
27,-38.325113782625536,-60.0,-28.799999999999997,-48.0
28,-38.448020947528654,-60.0,-28.799999999999997,-49.19999999999999
29,-38.743358652281955,-60.0,-28.799999999999997,-48.39999999999999
30,-39.57027942133763,-60.0,-28.799999999999997,-55.999999999999986
31,-59.57394195044188,-60.0,-55.999999999999986,-60.0
32,-59.74524925669848,-60.0,-55.999999999999986,-60.0
33,-59.75411990522932,-60.0,-55.599999999999994,-60.0
34,-59.56917424498825,-60.0,-56.39999999999999,-60.0
35,-59.66951498337949,-60.0,-55.999999999999986,-60.0
36,-59.61549901994884,-60.0,-56.39999999999999,-60.0
37,-59.75771302887387,-60.0,-56.39999999999999,-60.0
38,-59.61127501159123,-60.0,-56.39999999999999,-60.0
39,-59.784183516300075,-60.0,-55.599999999999994,-60.0
40,-59.79800154623588,-60.0,-56.8,-60.0
41,-59.648180917291434,-60.0,-56.8,-60.0
42,-59.63441560730344,-60.0,-56.8,-60.0
43,-59.831531732583144,-60.0,-57.19999999999999,-60.0
44,-59.65110472742105,-60.0,-56.39999999999999,-60.0
45,-59.65703575696219,-60.0,-56.39999999999999,-60.0
46,-59.62418872580925,-60.0,-53.599999999999994,-60.0
47,-59.77176379634238,-60.0,-56.39999999999999,-60.0
48,-59.647621538888906,-60.0,-56.8,-60.0
49,-59.70713294542978,-60.0,-52.8,-60.0
50,-59.88538210689232,-60.0,-57.599999999999994,-60.0
51,-59.78508651651036,-60.0,-56.39999999999999,-60.0
52,-59.62395110695634,-60.0,-56.39999999999999,-60.0
53,-59.12510687610333,-60.0,-55.19999999999999,-60.0
54,-59.455205636436965,-60.0,-54.8,-60.0
55,-59.505278504037534,-60.0,-55.999999999999986,-60.0
56,-59.37375351278429,-60.0,-54.400000000000006,-60.0
57,-59.59744922730999,-60.0,-55.19999999999999,-60.0
