Second,Average,Min,Max,Median
0,-47.868501645373286,-60.0,-29.199999999999996,-60.0
1,-48.1313586184347,-60.0,-27.999999999999993,-60.0
2,-50.70454807226917,-60.0,-32.4,-60.0
3,-49.30651672805824,-60.0,-30.799999999999997,-60.0
4,-44.78902515732115,-60.0,-27.599999999999994,-60.0
5,-52.04515208918114,-60.0,-32.4,-60.0
6,-46.62405504683329,-60.0,-29.199999999999996,-60.0
7,-49.63389799470677,-60.0,-27.999999999999993,-60.0
8,-48.28572213979166,-60.0,-28.799999999999997,-60.0
9,-48.883362474233294,-60.0,-31.199999999999996,-60.0
10,-47.7461897194968,-60.0,-30.4,-60.0
11,-47.04494016963145,-60.0,-29.199999999999996,-60.0
12,-49.83282813696409,-60.0,-30.799999999999997,-60.0
13,-51.5142581300333,-60.0,-30.799999999999997,-60.0
14,-48.27864581957465,-60.0,-30.799999999999997,-60.0
15,-49.08696187316974,-60.0,-30.4,-60.0
16,-47.52951794927248,-60.0,-29.199999999999996,-60.0
17,-47.370970656896446,-60.0,-27.999999999999993,-60.0
18,-48.65926477407882,-60.0,-30.4,-60.0
19,-46.4107814535734,-60.0,-27.999999999999993,-60.0
20,-50.12393106402817,-60.0,-30.799999999999997,-60.0
21,-45.53791341149555,-60.0,-27.599999999999994,-60.0
22,-46.8475965524984,-60.0,-28.799999999999997,-60.0
23,-50.606348523220504,-60.0,-32.8,-60.0
24,-52.22180189168884,-60.0,-31.6,-60.0
25,-48.54835565658418,-60.0,-29.199999999999996,-60.0
26,-51.70611808041158,-60.0,-32.8,-60.0
27,-47.72692832475349,-60.0,-27.999999999999993,-60.0
28,-49.663050801639095,-60.0,-29.599999999999994,-60.0
29,-49.663811478531876,-60.0,-31.199999999999996,-60.0
30,-47.96983217207761,-60.0,-28.799999999999997,-60.0
31,-47.716610821054324,-60.0,-30.4,-60.0
32,-50.96198132177125,-60.0,-31.199999999999996,-60.0
33,-49.110531475959036,-60.0,-29.199999999999996,-60.0
34,-48.75426273578448,-60.0,-27.599999999999994,-60.0
35,-48.82085335541308,-60.0,-30.0,-60.0
36,-47.42236287072543,-60.0,-27.999999999999993,-60.0
37,-48.961432904252646,-60.0,-27.999999999999993,-60.0
38,-47.680222165077055,-60.0,-30.0,-60.0
39,-46.70292955660341,-60.0,-27.999999999999993,-60.0
40,-46.71658452325883,-60.0,-28.799999999999997,-60.0
41,-46.40649832529613,-60.0,-29.199999999999996,-60.0
42,-49.496194390398436,-60.0,-31.199999999999996,-60.0
43,-47.664813992316525,-60.0,-27.999999999999993,-60.0
44,-47.428368409128794,-60.0,-27.999999999999993,-60.0
45,-49.08833308006666,-60.0,-29.199999999999996,-60.0
46,-48.28873322083041,-60.0,-30.799999999999997,-60.0
47,-49.152414224483216,-60.0,-27.999999999999993,-60.0
48,-46.06335744562024,-60.0,-30.0,-60.0
49,-52.27557242292611,-60.0,-33.2,-60.0
50,-46.035610753767216,-60.0,-27.599999999999994,-60.0
51,-47.1551679945102,-60.0,-27.999999999999993,-60.0
52,-49.847136788898766,-60.0,-30.0,-60.0
53,-46.94752612761928,-60.0,-29.199999999999996,-60.0
54,-47.09027262949058,-60.0,-28.4,-60.0
55,-47.214708308889314,-60.0,-30.0,-60.0
56,-50.41186337818363,-60.0,-29.599999999999994,-60.0
57,-48.54322623362669,-60.0,-28.799999999999997,-60.0
58,-47.129205629358296,-60.0,-29.199999999999996,-60.0
59,-52.297752402259306,-60.0,-33.2,-60.0
60,-47.99751265669244,-60.0,-27.999999999999993,-60.0
61,-49.91112905537152,-60.0,-32.8,-60.0
62,-47.28463954444446,-60.0,-29.199999999999996,-60.0
63,-47.53680434583722,-60.0,-30.0,-60.0
64,-50.97431443788246,-60.0,-31.199999999999996,-60.0
65,-49.4205595114823,-60.0,-28.799999999999997,-60.0
66,-46.38767569624467,-60.0,-27.599999999999994,-60.0
67,-48.95622695262959,-60.0,-32.0,-60.0
68,-48.46112207873959,-60.0,-27.999999999999993,-60.0
69,-46.864219607676176,-60.0,-27.999999999999993,-60.0
70,-48.50247034268239,-60.0,-28.799999999999997,-60.0
71,-49.22235647683587,-60.0,-28.799999999999997,-60.0
72,-50.98878909944142,-60.0,-32.4,-60.0
73,-48.233558483582,-60.0,-27.599999999999994,-60.0
74,-49.550058862981565,-60.0,-29.199999999999996,-60.0
75,-46.124540063158015,-60.0,-27.599999999999994,-60.0
76,-49.42530492606315,-60.0,-28.799999999999997,-60.0
77,-47.980379175880934,-60.0,-30.4,-60.0
78,-52.63665386028721,-60.0,-32.8,-60.0
79,-45.32670470480397,-60.0,-27.599999999999994,-60.0
80,-48.67582561139738,-60.0,-29.199999999999996,-60.0
81,-49.149324528399475,-60.0,-30.799999999999997,-60.0
82,-47.93645628332083,-60.0,-28.799999999999997,-60.0
83,-49.143618420200724,-60.0,-30.0,-60.0
84,-48.85113279138345,-60.0,-29.599999999999994,-60.0
85,-49.130053895507984,-60.0,-29.199999999999996,-60.0
86,-49.123975809637564,-60.0,-27.999999999999993,-60.0
87,-47.69157918427172,-60.0,-27.999999999999993,-60.0
88,-49.01027826337134,-60.0,-28.4,-60.0
89,-48.41140106347079,-60.0,-29.199999999999996,-60.0
90,-47.67928585710489,-60.0,-27.599999999999994,-60.0
91,-50.55244052989505,-60.0,-32.0,-60.0
92,-48.48356790121087,-60.0,-28.4,-60.0
