Second,Average,Min,Max,Median
0,-41.481605643350946,-60.0,-23.6,-60.0
1,-39.35541682091359,-60.0,-24.0,-60.0
2,-39.879840483182484,-60.0,-23.6,-60.0
3,-40.42903262399203,-60.0,-23.6,-60.0
4,-39.87085787545141,-60.0,-23.6,-60.0
5,-41.8495343647768,-60.0,-23.6,-60.0
6,-40.50930106629486,-60.0,-23.6,-60.0
7,-42.55551597141563,-60.0,-23.6,-60.0
8,-40.18634261699444,-60.0,-23.6,-60.0
9,-40.839618219416906,-60.0,-23.6,-60.0
10,-39.70862538437181,-60.0,-23.6,-60.0
11,-41.596396552581,-60.0,-23.6,-60.0
12,-40.85089276805921,-60.0,-23.6,-60.0
13,-38.79459293324209,-60.0,-23.6,-60.0
14,-41.165377542276154,-60.0,-23.6,-60.0
15,-41.77909195373124,-60.0,-23.6,-60.0
16,-39.21207691106628,-60.0,-23.6,-60.0
17,-40.359626048887726,-60.0,-23.6,-60.0
18,-40.00017922338023,-60.0,-23.6,-60.0
19,-40.78947456076371,-60.0,-23.6,-60.0
20,-40.48979823983149,-60.0,-23.6,-60.0
21,-40.54659474943797,-60.0,-23.6,-60.0
22,-40.55000413474871,-60.0,-23.6,-60.0
23,-41.015556077650004,-60.0,-23.6,-60.0
24,-41.358173161237495,-60.0,-24.0,-60.0
25,-41.03941398651991,-60.0,-23.6,-60.0
26,-41.44289379210596,-60.0,-23.6,-60.0
27,-41.77657913278714,-60.0,-23.6,-60.0
28,-39.75725034532581,-60.0,-23.6,-60.0
29,-39.62776202213918,-60.0,-23.6,-60.0
30,-39.99073837513877,-60.0,-23.6,-60.0
31,-40.25613545572306,-60.0,-23.6,-60.0
32,-41.80482800082342,-60.0,-23.6,-60.0
33,-40.459732203122634,-60.0,-23.6,-60.0
34,-39.711643832644796,-60.0,-23.6,-60.0
35,-39.95153027245232,-60.0,-23.6,-60.0
36,-40.6468314464812,-60.0,-23.6,-60.0
37,-40.3514928194284,-60.0,-23.6,-60.0
38,-40.65309767149852,-60.0,-23.6,-60.0
39,-40.54407319776652,-60.0,-23.6,-60.0
40,-40.300464840569525,-60.0,-23.6,-60.0
41,-42.58965356427127,-60.0,-23.6,-60.0
42,-45.10334700610653,-60.0,-23.6,-60.0
43,-40.77722485089304,-60.0,-23.6,-60.0
44,-39.87448511374642,-60.0,-23.6,-60.0
45,-40.712076008193236,-60.0,-23.6,-60.0
46,-39.88725293166138,-60.0,-23.6,-60.0
47,-41.99187400249674,-60.0,-23.6,-60.0
48,-41.16568535223389,-60.0,-23.6,-60.0
49,-39.42516636213197,-60.0,-23.6,-60.0
50,-40.18046973184957,-60.0,-23.6,-60.0
51,-41.816197427753494,-60.0,-23.6,-60.0
52,-41.36891838281085,-60.0,-23.6,-60.0
53,-41.053305874173276,-60.0,-23.6,-60.0
54,-40.051840740694644,-60.0,-23.6,-60.0
55,-40.93023393587961,-60.0,-23.6,-60.0
56,-43.19476722865906,-60.0,-24.0,-60.0
57,-41.13447333665774,-60.0,-23.6,-60.0
58,-39.881468385937325,-60.0,-23.6,-60.0
59,-41.465059102471585,-60.0,-23.6,-60.0
60,-40.33786445501194,-60.0,-23.6,-60.0
61,-45.091852010602395,-60.0,-23.6,-60.0
62,-39.56987371672723,-60.0,-23.6,-60.0
63,-38.94511541027089,-60.0,-23.6,-60.0
64,-40.78809037613293,-60.0,-23.6,-60.0
65,-40.70337989852063,-60.0,-23.6,-60.0
66,-42.73085356398791,-60.0,-23.6,-60.0
67,-40.57953584176051,-60.0,-23.6,-60.0
68,-40.55170260194071,-60.0,-23.6,-60.0
69,-39.31805255781802,-60.0,-23.6,-60.0
70,-41.083997277794566,-60.0,-23.6,-60.0
71,-42.5249341054719,-60.0,-23.6,-60.0
72,-40.012509258915614,-60.0,-23.6,-60.0
73,-40.86425154573523,-60.0,-23.6,-60.0
74,-41.32817807084618,-60.0,-23.6,-60.0
75,-41.07611872523827,-60.0,-23.6,-60.0
76,-40.23098452048398,-60.0,-23.6,-60.0
77,-39.86714953289613,-60.0,-23.6,-60.0
78,-40.67467027624278,-60.0,-23.6,-60.0
79,-42.47821439313907,-60.0,-23.6,-60.0
80,-39.789947103569254,-60.0,-23.6,-60.0
81,-39.488662301158385,-60.0,-23.6,-60.0
82,-40.19398410948164,-60.0,-23.6,-60.0
83,-40.55047637859407,-60.0,-23.6,-60.0
84,-39.837356441820994,-60.0,-23.6,-60.0
85,-44.77418319310657,-60.0,-24.0,-60.0
86,-39.877472250331635,-60.0,-23.6,-60.0
87,-41.33432675335736,-60.0,-23.6,-60.0
88,-40.464216818140656,-60.0,-23.6,-60.0
89,-41.61261505835558,-60.0,-23.6,-60.0
90,-40.29106431197883,-60.0,-23.6,-60.0
91,-40.856218015044725,-60.0,-23.6,-60.0
92,-41.67617704657972,-60.0,-23.6,-60.0
93,-39.21194861966156,-60.0,-23.6,-60.0
94,-42.52900928929746,-60.0,-23.6,-60.0
95,-42.32350134697849,-60.0,-23.6,-60.0
96,-41.6415355579879,-60.0,-23.6,-60.0
97,-40.7409811847696,-60.0,-23.6,-60.0
98,-39.70700046018182,-60.0,-23.6,-60.0
99,-41.3100376758736,-60.0,-23.6,-60.0
100,-40.542659247139376,-60.0,-23.6,-60.0
101,-41.30507181796963,-60.0,-23.6,-60.0
102,-40.560413928846366,-60.0,-23.6,-60.0
103,-40.083430909976165,-60.0,-23.6,-60.0
104,-41.24977606183567,-60.0,-23.6,-60.0
105,-40.072706387000224,-60.0,-23.6,-60.0
106,-41.7853141342257,-60.0,-23.6,-60.0
107,-40.581712268614396,-60.0,-23.6,-60.0
108,-42.628432922542075,-60.0,-23.6,-60.0
109,-41.7383039277034,-60.0,-24.0,-60.0
110,-40.609721838202795,-60.0,-23.6,-60.0
111,-39.95430864906466,-60.0,-23.6,-60.0
112,-40.13040936106586,-60.0,-23.6,-60.0
113,-40.21757979824511,-60.0,-23.6,-60.0
114,-41.52967083695019,-60.0,-23.6,-60.0
115,-40.93694702638825,-60.0,-23.6,-60.0
116,-41.29045928931603,-60.0,-23.6,-60.0
117,-39.900857697991114,-60.0,-23.6,-60.0
118,-41.27323018839575,-60.0,-23.6,-60.0
119,-41.133052068363945,-60.0,-23.6,-60.0
