Second,Average,Min,Max,Median
0,-40.277757487348126,-60.0,-23.6,-60.0
1,-41.7955092745503,-60.0,-23.6,-60.0
2,-41.77909468365488,-60.0,-23.6,-60.0
3,-40.53617388656451,-60.0,-23.6,-60.0
4,-43.498687524791535,-60.0,-23.6,-60.0
5,-40.75580291715853,-60.0,-23.6,-60.0
6,-40.63671194979406,-60.0,-23.6,-60.0
7,-41.982098810529685,-60.0,-23.6,-60.0
8,-39.06144318130293,-60.0,-23.6,-60.0
9,-41.02249990676759,-60.0,-23.6,-60.0
10,-40.54122098411989,-60.0,-23.6,-60.0
11,-40.82988925376139,-60.0,-23.6,-60.0
12,-40.162121734848256,-60.0,-23.6,-60.0
13,-41.63714451641744,-60.0,-23.6,-60.0
14,-41.754984652693935,-60.0,-23.6,-60.0
15,-40.636736207844706,-60.0,-23.6,-60.0
16,-42.12034892219136,-60.0,-23.6,-60.0
17,-42.15060632852933,-60.0,-23.6,-60.0
18,-40.731459267592875,-60.0,-23.6,-60.0
19,-40.72569271320457,-60.0,-23.6,-60.0
20,-41.02616074501238,-60.0,-23.6,-60.0
21,-39.94089834671524,-60.0,-23.6,-60.0
22,-41.90127588096785,-60.0,-23.6,-60.0
23,-41.91807569279598,-60.0,-23.6,-60.0
24,-39.73617551763124,-60.0,-23.6,-60.0
25,-43.692976087603455,-60.0,-23.6,-60.0
26,-40.658065380492054,-60.0,-23.6,-60.0
27,-41.019340617902564,-60.0,-23.6,-60.0
28,-40.270052019966435,-60.0,-23.6,-60.0
29,-44.02790339139301,-60.0,-23.6,-60.0
30,-41.791799503741665,-60.0,-23.6,-60.0
31,-40.63668535152619,-60.0,-23.6,-60.0
32,-40.20354577529525,-60.0,-23.6,-60.0
33,-42.74251449308717,-60.0,-23.6,-60.0
34,-42.70671661387067,-60.0,-23.6,-60.0
35,-43.13055448461837,-60.0,-23.6,-60.0
36,-40.825400392403694,-60.0,-23.6,-60.0
37,-41.94686412182897,-60.0,-23.6,-60.0
38,-39.899465361361884,-60.0,-23.6,-60.0
39,-41.90027358955821,-60.0,-23.6,-60.0
40,-40.63671194979406,-60.0,-23.6,-60.0
41,-39.60320074537285,-60.0,-23.6,-60.0
42,-41.773267572844254,-60.0,-23.6,-60.0
43,-40.636736207844706,-60.0,-23.6,-60.0
44,-40.65814539641161,-60.0,-23.6,-60.0
45,-41.62960655028971,-60.0,-23.6,-60.0
46,-41.77424144553633,-60.0,-23.6,-60.0
47,-40.52558164889932,-60.0,-23.6,-60.0
48,-41.85108552504551,-60.0,-23.6,-60.0
49,-42.797817633874836,-60.0,-23.6,-60.0
50,-40.44408305367595,-60.0,-23.6,-60.0
51,-43.649976273452886,-60.0,-23.6,-60.0
52,-44.31110599274899,-60.0,-23.6,-60.0
53,-41.21913893096873,-60.0,-23.6,-60.0
54,-40.63620409318698,-60.0,-23.6,-60.0
