Second,Average,Min,Max,Median
0,-41.33937706979799,-60.0,-24.800000000000004,-60.0
1,-41.986621418553334,-60.0,-24.800000000000004,-60.0
2,-43.290571734950234,-60.0,-25.199999999999996,-60.0
3,-42.555469870644096,-60.0,-24.800000000000004,-60.0
4,-44.48131020765781,-60.0,-25.199999999999996,-60.0
5,-41.7846219904593,-60.0,-24.800000000000004,-60.0
6,-42.999579614441586,-60.0,-25.199999999999996,-60.0
7,-43.462081533413965,-60.0,-25.199999999999996,-60.0
8,-42.174965402300245,-60.0,-25.199999999999996,-60.0
9,-42.105477045719894,-60.0,-24.800000000000004,-60.0
10,-43.33631680355708,-60.0,-24.800000000000004,-60.0
11,-41.543023770722634,-60.0,-24.800000000000004,-60.0
12,-43.341754154976186,-60.0,-25.199999999999996,-60.0
13,-45.74379887182875,-60.0,-25.199999999999996,-60.0
14,-40.16508259834649,-60.0,-25.199999999999996,-60.0
15,-45.015743040465466,-60.0,-25.199999999999996,-60.0
16,-46.107387929988505,-60.0,-24.800000000000004,-60.0
17,-40.42543032363711,-60.0,-24.800000000000004,-60.0
18,-42.57078250858113,-60.0,-25.199999999999996,-60.0
19,-43.34012504949093,-60.0,-25.199999999999996,-60.0
20,-41.748678320698325,-60.0,-24.800000000000004,-60.0
21,-42.643962879453824,-60.0,-25.199999999999996,-60.0
22,-44.82651162024706,-60.0,-25.199999999999996,-60.0
23,-43.02869441559902,-60.0,-25.199999999999996,-60.0
24,-43.114666226622546,-60.0,-24.800000000000004,-60.0
25,-43.58617188182538,-60.0,-25.199999999999996,-60.0
26,-41.387741842524655,-60.0,-25.199999999999996,-60.0
27,-42.87170000573933,-60.0,-25.199999999999996,-60.0
28,-44.93126543121192,-60.0,-25.199999999999996,-60.0
29,-40.71578890401759,-60.0,-24.800000000000004,-60.0
30,-43.16935963756226,-60.0,-24.800000000000004,-60.0
31,-45.14493426081017,-60.0,-25.199999999999996,-60.0
32,-41.72790505932791,-60.0,-24.800000000000004,-60.0
33,-41.630571420246255,-60.0,-25.199999999999996,-60.0
34,-40.25749055995446,-60.0,-25.199999999999996,-60.0
35,-42.3669698706902,-60.0,-25.199999999999996,-60.0
36,-40.859774148317655,-60.0,-25.199999999999996,-60.0
37,-41.40342985560349,-60.0,-25.199999999999996,-60.0
38,-40.17735809312626,-60.0,-25.199999999999996,-60.0
39,-41.07169002381618,-60.0,-25.199999999999996,-60.0
40,-41.81350007067404,-60.0,-25.199999999999996,-60.0
41,-42.977581404669046,-60.0,-25.199999999999996,-60.0
42,-42.38847704778646,-60.0,-25.199999999999996,-60.0
43,-41.713653161568764,-60.0,-25.199999999999996,-60.0
44,-42.69180750477406,-60.0,-25.199999999999996,-60.0
45,-40.66240110422912,-60.0,-24.800000000000004,-60.0
46,-40.28559546628112,-60.0,-25.199999999999996,-60.0
47,-40.91486858625963,-60.0,-25.199999999999996,-60.0
48,-40.35030481595189,-60.0,-25.199999999999996,-60.0
49,-43.40916156067771,-60.0,-25.199999999999996,-60.0
50,-40.82823272638024,-60.0,-25.199999999999996,-60.0
51,-40.98166743065165,-60.0,-25.199999999999996,-60.0
52,-41.87025790942226,-60.0,-25.199999999999996,-60.0
53,-41.16550190809133,-60.0,-25.199999999999996,-60.0
54,-41.44444463627475,-60.0,-25.199999999999996,-60.0
55,-40.69559132552088,-60.0,-25.199999999999996,-60.0
56,-40.105610435626076,-60.0,-25.199999999999996,-60.0
57,-41.48987668810456,-60.0,-25.199999999999996,-60.0
58,-39.684955509335175,-60.0,-25.199999999999996,-60.0
59,-44.36001160091986,-60.0,-25.199999999999996,-60.0
60,-40.6253681378681,-60.0,-25.199999999999996,-60.0
61,-39.48827133359101,-60.0,-25.199999999999996,-60.0
62,-41.7775263924633,-60.0,-25.199999999999996,-60.0
63,-41.085750374957684,-60.0,-25.199999999999996,-60.0
64,-41.81028151345886,-60.0,-25.199999999999996,-60.0
65,-41.25102653387552,-60.0,-25.199999999999996,-60.0
66,-41.52194237199157,-60.0,-25.199999999999996,-60.0
67,-41.873307117541856,-60.0,-25.199999999999996,-60.0
68,-40.47658128080912,-60.0,-25.199999999999996,-60.0
69,-40.748286099448244,-60.0,-25.199999999999996,-60.0
70,-40.14426352433738,-60.0,-25.199999999999996,-60.0
71,-41.04346965234459,-60.0,-25.199999999999996,-60.0
72,-40.724875978963524,-60.0,-25.199999999999996,-60.0
73,-39.4921566322012,-60.0,-25.199999999999996,-60.0
74,-41.09231464088312,-60.0,-25.199999999999996,-60.0
75,-40.95668666861301,-60.0,-25.199999999999996,-60.0
76,-42.10523375225523,-60.0,-25.199999999999996,-60.0
77,-43.876863311024636,-60.0,-25.199999999999996,-60.0
78,-40.03493709542727,-60.0,-25.199999999999996,-60.0
79,-40.132947681656894,-60.0,-25.199999999999996,-60.0
80,-40.30624786637599,-60.0,-25.199999999999996,-60.0
81,-40.833854684700974,-60.0,-25.199999999999996,-60.0
82,-40.86483718033168,-60.0,-25.199999999999996,-60.0
83,-39.82887886470681,-60.0,-25.199999999999996,-60.0
84,-41.36900505566907,-60.0,-25.199999999999996,-60.0
85,-41.874988359966665,-60.0,-25.199999999999996,-60.0
86,-39.85402117226226,-60.0,-25.199999999999996,-60.0
87,-40.95671456028383,-60.0,-25.199999999999996,-60.0
