Second,Average,Min,Max,Median
0,-30.781566646409647,-60.0,-25.199999999999996,-60.0
1,-30.644386816085696,-60.0,-25.199999999999996,-60.0
2,-31.97137045354161,-60.0,-25.199999999999996,-60.0
3,-30.43911018982104,-60.0,-25.199999999999996,-60.0
4,-31.676971883401336,-60.0,-24.800000000000004,-60.0
5,-31.20552523695769,-60.0,-24.800000000000004,-60.0
6,-30.170129793999934,-60.0,-25.199999999999996,-60.0
7,-31.93450724444924,-60.0,-25.199999999999996,-60.0
8,-31.15933512529397,-60.0,-25.199999999999996,-60.0
9,-30.351071976049347,-60.0,-24.800000000000004,-60.0
10,-32.17964793740452,-60.0,-25.199999999999996,-60.0
11,-32.01515489020495,-60.0,-24.800000000000004,-60.0
