Second,Average,Min,Max,Median
0,-28.379165058062753,-60.0,-22.4,-60.0
1,-28.98956865181443,-60.0,-22.4,-60.0
2,-28.317428577943037,-60.0,-22.4,-60.0
3,-28.892911723367956,-60.0,-22.799999999999997,-60.0
4,-28.59510538046389,-60.0,-22.4,-60.0
5,-28.37333027517466,-60.0,-22.4,-60.0
6,-28.571695598300057,-60.0,-22.4,-60.0
7,-28.589883556890555,-60.0,-22.4,-60.0
8,-28.741282849685263,-60.0,-22.4,-60.0
9,-28.555568091433607,-60.0,-22.4,-60.0
10,-29.233796511064625,-60.0,-22.4,-60.0
11,-28.00760181971016,-60.0,-22.4,-60.0
12,-28.767924867783567,-60.0,-22.4,-60.0
13,-29.199823649238354,-60.0,-22.4,-60.0
14,-27.74347090680172,-60.0,-22.4,-60.0
15,-28.41377156167261,-60.0,-22.4,-60.0
16,-28.999264151804574,-60.0,-22.4,-60.0
17,-28.27157866266989,-60.0,-22.4,-60.0
18,-28.443807285945976,-60.0,-22.4,-60.0
19,-28.5793711310269,-60.0,-22.4,-60.0
20,-28.163584599065278,-60.0,-22.4,-60.0
21,-28.362484695470798,-60.0,-22.4,-60.0
22,-28.824716421230455,-60.0,-22.4,-60.0
23,-28.1976653194612,-60.0,-22.4,-60.0
24,-28.523296867714368,-60.0,-22.4,-60.0
25,-28.86769149123044,-60.0,-22.4,-60.0
26,-28.006433612368532,-60.0,-22.4,-60.0
27,-28.662125537261858,-60.0,-22.4,-60.0
28,-29.08152033770076,-60.0,-22.4,-60.0
29,-27.54164741291442,-60.0,-22.4,-60.0
