Second,Average,Min,Max,Median
0,-41.03892930333802,-41.19999999999999,-40.8,-41.19999999999999
1,-41.123168734277044,-41.19999999999999,-40.8,-41.19999999999999
2,-41.09293280752772,-41.19999999999999,-40.8,-41.19999999999999
3,-40.8,-40.8,-40.8,-40.8
4,-40.80382300285432,-41.19999999999999,-40.8,-40.8
5,-40.985414998905114,-41.19999999999999,-40.8,-40.8
6,-41.06051312931592,-41.19999999999999,-40.8,-41.19999999999999
7,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
8,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
9,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
10,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
11,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
12,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
13,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
14,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
15,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
16,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
17,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
18,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
19,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
20,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
21,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
22,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
23,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
24,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
25,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
26,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
27,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
28,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
29,-41.19999999999999,-41.19999999999999,-41.19999999999999,-41.19999999999999
