Second,Average,Min,Max,Median
0,-36.10498585632063,-60.0,-28.799999999999997,-60.0
1,-36.19389734883315,-60.0,-30.0,-60.0
2,-35.25590864969942,-60.0,-29.599999999999994,-60.0
3,-35.410824680391606,-60.0,-29.199999999999996,-60.0
4,-36.03974571100666,-60.0,-29.599999999999994,-60.0
5,-35.1183287314651,-60.0,-29.599999999999994,-60.0
6,-35.867609446901916,-60.0,-29.599999999999994,-60.0
7,-35.58133295641421,-60.0,-28.4,-60.0
8,-35.18860008861828,-60.0,-29.599999999999994,-60.0
9,-35.88765723545147,-60.0,-27.599999999999994,-60.0
10,-35.59552836027968,-60.0,-28.799999999999997,-60.0
11,-35.78643816449598,-60.0,-28.4,-60.0
12,-35.76413874614396,-60.0,-27.599999999999994,-60.0
13,-35.802278417610026,-60.0,-29.199999999999996,-60.0
14,-35.33923936523523,-60.0,-29.599999999999994,-60.0
15,-35.87887665476598,-60.0,-27.599999999999994,-60.0
16,-35.62747847645295,-60.0,-28.4,-60.0
17,-34.96544845302954,-60.0,-27.599999999999994,-60.0
18,-36.112054818967685,-60.0,-27.999999999999993,-60.0
19,-35.600045123475326,-60.0,-27.599999999999994,-60.0
20,-35.013857125344984,-60.0,-29.599999999999994,-60.0
21,-36.02183659615835,-60.0,-29.599999999999994,-60.0
22,-35.339363220973866,-60.0,-27.599999999999994,-60.0
23,-35.28276441783001,-60.0,-29.599999999999994,-60.0
24,-36.16611236121454,-60.0,-28.4,-60.0
25,-35.617424720458025,-60.0,-29.199999999999996,-60.0
26,-35.08451692481421,-60.0,-27.999999999999993,-60.0
27,-36.31349393949494,-60.0,-29.599999999999994,-60.0
28,-35.820313375237866,-60.0,-28.4,-60.0
29,-35.61826550779143,-60.0,-27.599999999999994,-60.0
