Second,Average,Min,Max,Median
0,-36.64761127885889,-60.0,-30.4,-60.0
1,-37.340182506062206,-60.0,-29.599999999999994,-60.0
2,-36.56564489810036,-60.0,-30.4,-60.0
3,-36.30883983450821,-60.0,-30.4,-60.0
4,-37.753984699315446,-60.0,-30.4,-60.0
5,-36.84429078060528,-60.0,-29.599999999999994,-60.0
6,-36.574778971289625,-60.0,-29.599999999999994,-60.0
7,-37.48526505975109,-60.0,-30.4,-60.0
8,-36.743926071739146,-60.0,-30.0,-60.0
9,-36.52589026049054,-60.0,-30.4,-60.0
10,-37.243508018929184,-60.0,-30.4,-60.0
11,-37.297755255072516,-60.0,-30.4,-60.0
12,-36.00197895668826,-60.0,-30.4,-60.0
13,-37.1940248013046,-60.0,-30.4,-60.0
14,-36.970791048163825,-60.0,-30.4,-60.0
15,-36.262413580319006,-60.0,-29.199999999999996,-60.0
16,-37.3185401906944,-60.0,-28.799999999999997,-60.0
17,-36.223512605398014,-60.0,-30.0,-60.0
18,-36.097406918212435,-60.0,-30.0,-60.0
19,-36.72763570784517,-60.0,-30.4,-60.0
20,-36.56503768357172,-60.0,-29.199999999999996,-60.0
21,-36.076327516110005,-60.0,-30.4,-60.0
22,-37.56030407082199,-60.0,-30.4,-60.0
23,-36.27498444517517,-60.0,-29.199999999999996,-60.0
24,-35.59403853411692,-60.0,-30.0,-60.0
25,-37.19652025576942,-60.0,-28.799999999999997,-60.0
26,-36.13889957281188,-60.0,-28.799999999999997,-60.0
27,-35.502801570523246,-60.0,-30.0,-60.0
28,-37.64661091381938,-60.0,-29.199999999999996,-60.0
29,-36.70059994173911,-60.0,-29.599999999999994,-60.0
