Second,Average,Min,Max,Median
0,-42.39379497239654,-60.0,-35.199999999999996,-60.0
1,-44.82741669202138,-60.0,-34.800000000000004,-60.0
2,-42.02602481848979,-60.0,-36.8,-60.0
3,-43.732487775408195,-60.0,-36.8,-60.0
4,-43.76754304217517,-60.0,-34.800000000000004,-60.0
5,-42.717557894622246,-60.0,-35.199999999999996,-60.0
6,-43.453111788745964,-60.0,-36.8,-60.0
7,-43.64005106504314,-60.0,-37.199999999999996,-60.0
8,-43.44711809859635,-60.0,-34.0,-60.0
9,-42.84848965400152,-60.0,-36.8,-60.0
10,-44.355761317443836,-60.0,-34.4,-60.0
11,-42.2365308221211,-60.0,-34.0,-60.0
12,-44.55086620838692,-60.0,-37.199999999999996,-60.0
13,-43.63078441739495,-60.0,-36.8,-60.0
14,-42.4993352555033,-60.0,-36.8,-60.0
15,-44.08087761432273,-60.0,-34.0,-60.0
16,-43.25100794216338,-60.0,-36.8,-60.0
17,-41.89305364507217,-60.0,-35.199999999999996,-60.0
18,-44.821571507729686,-60.0,-34.4,-60.0
19,-43.19670530098071,-60.0,-36.8,-60.0
20,-42.454018174121025,-60.0,-34.4,-60.0
21,-42.91602802796586,-60.0,-34.4,-60.0
22,-43.40560338942228,-60.0,-35.199999999999996,-60.0
23,-42.80159462766076,-60.0,-34.0,-60.0
24,-43.214518974441624,-60.0,-34.0,-60.0
25,-44.16505895361116,-60.0,-34.0,-60.0
26,-42.13951858393956,-60.0,-36.8,-60.0
27,-44.51509839861444,-60.0,-35.199999999999996,-60.0
28,-43.512249454680514,-60.0,-36.8,-60.0
29,-42.18252611295921,-60.0,-34.0,-60.0
