Second,Average,Min,Max,Median
3,-49.127551611984515,-60.0,-40.0,-60.0
4,-51.28631832622833,-60.0,-43.2,-60.0
5,-49.467089381766016,-60.0,-42.400000000000006,-60.0
6,-46.79386743006994,-60.0,-32.8,-60.0
7,-50.87428711819504,-60.0,-39.599999999999994,-60.0
8,-48.66121621574014,-60.0,-42.0,-60.0
9,-49.37123886269664,-60.0,-43.2,-60.0
10,-51.176208345397775,-60.0,-40.0,-60.0
11,-49.21845899251322,-60.0,-40.0,-60.0
12,-48.369294385437136,-60.0,-33.6,-60.0
13,-51.27994939949318,-60.0,-43.6,-60.0
14,-48.45595313374972,-60.0,-43.2,-60.0
15,-49.29254054185496,-60.0,-42.0,-60.0
16,-51.28717674067977,-60.0,-43.6,-60.0
17,-48.87415322196301,-60.0,-41.6,-60.0
18,-49.257958172331506,-60.0,-40.0,-60.0
19,-51.03410397833687,-60.0,-42.8,-60.0
20,-49.8779135481399,-60.0,-42.400000000000006,-60.0
21,-48.69705626728543,-60.0,-40.0,-60.0
22,-51.11386798359358,-60.0,-43.6,-60.0
23,-49.66918456056136,-60.0,-42.8,-60.0
24,-49.214552827043235,-60.0,-40.4,-60.0
25,-50.212112265181275,-60.0,-40.0,-60.0
26,-49.13009145045454,-60.0,-43.6,-60.0
27,-50.08279799309835,-60.0,-40.4,-60.0
28,-50.609487361894296,-60.0,-43.2,-60.0
29,-49.02868688214368,-60.0,-42.0,-60.0
30,-44.0,-44.0,-44.0,-44.0
