Second,Average,Min,Max,Median
0,-51.52815874328539,-60.0,-44.0,-60.0
1,-51.59819573132586,-60.0,-43.2,-60.0
2,-53.290460135158106,-60.0,-44.0,-60.0
3,-53.17586073958536,-60.0,-44.0,-60.0
4,-51.877641311247366,-60.0,-44.0,-60.0
5,-52.84452628082878,-60.0,-44.400000000000006,-60.0
6,-52.33092952247471,-60.0,-43.6,-60.0
7,-51.82572289020496,-60.0,-44.0,-60.0
8,-51.09519254269988,-60.0,-44.0,-60.0
9,-50.82675092668629,-60.0,-43.6,-60.0
10,-51.08833025851993,-60.0,-43.2,-60.0
11,-51.88391796051648,-60.0,-44.400000000000006,-60.0
12,-50.60744997638352,-60.0,-44.0,-60.0
13,-51.51636758951442,-60.0,-44.0,-60.0
14,-49.922104062417525,-60.0,-35.599999999999994,-60.0
15,-47.51193355545496,-60.0,-31.199999999999996,-60.0
16,-50.14488321759761,-60.0,-43.6,-60.0
17,-50.642007628979194,-60.0,-40.4,-60.0
18,-50.39432360199788,-60.0,-44.0,-60.0
19,-49.49614392678535,-60.0,-43.6,-60.0
20,-50.00036987229486,-60.0,-44.0,-60.0
21,-50.14833742303065,-60.0,-44.0,-60.0
22,-49.9245992086301,-60.0,-42.400000000000006,-60.0
23,-51.16060615556566,-60.0,-40.4,-60.0
24,-49.12776642812737,-60.0,-42.400000000000006,-60.0
25,-51.54058185614794,-60.0,-43.6,-60.0
26,-49.758168562479554,-60.0,-40.4,-60.0
27,-49.20790954771374,-60.0,-43.2,-60.0
28,-51.329227969725004,-60.0,-43.6,-60.0
29,-50.104820769565855,-60.0,-44.0,-60.0
