Second,Average,Min,Max,Median
0,-37.98984370600256,-60.0,-28.799999999999997,-60.0
1,-37.88957556699585,-60.0,-28.799999999999997,-60.0
2,-37.827514723605674,-60.0,-28.799999999999997,-60.0
3,-38.17517460111712,-60.0,-28.799999999999997,-60.0
4,-35.243098093240334,-60.0,-28.799999999999997,-60.0
5,-37.86504949638939,-60.0,-28.799999999999997,-60.0
6,-36.9906258842043,-60.0,-28.799999999999997,-60.0
7,-35.14178516574714,-60.0,-28.799999999999997,-60.0
8,-36.20157067694372,-60.0,-28.799999999999997,-60.0
9,-35.5879494423271,-60.0,-28.799999999999997,-60.0
10,-37.1827844194098,-60.0,-28.799999999999997,-60.0
11,-35.31020049410843,-60.0,-28.799999999999997,-60.0
12,-35.65085903979862,-60.0,-28.799999999999997,-60.0
13,-36.667381853022576,-60.0,-28.799999999999997,-60.0
14,-35.37973671447115,-60.0,-28.799999999999997,-60.0
15,-35.20954827634582,-60.0,-28.799999999999997,-60.0
16,-34.8963145887724,-60.0,-28.799999999999997,-60.0
17,-35.13540220218127,-60.0,-28.799999999999997,-60.0
18,-35.909354786624014,-60.0,-28.799999999999997,-60.0
19,-34.35368367089029,-60.0,-28.799999999999997,-60.0
20,-36.463861660048295,-60.0,-28.799999999999997,-60.0
21,-34.4512300936238,-60.0,-28.799999999999997,-60.0
22,-34.11813923174447,-60.0,-28.799999999999997,-60.0
23,-36.65229712482014,-60.0,-28.799999999999997,-60.0
24,-34.97164528501389,-60.0,-28.799999999999997,-60.0
25,-34.215720812134236,-60.0,-28.799999999999997,-60.0
26,-35.583714212458204,-60.0,-28.4,-60.0
27,-34.620365718862004,-60.0,-28.4,-60.0
28,-33.83519271433632,-60.0,-28.4,-60.0
29,-35.344613402918725,-60.0,-28.4,-60.0
30,-60.0,-60.0,-60.0,-60.0
