Second,Average,Min,Max,Median
0,-48.405579699206925,-60.0,-41.6,-60.0
1,-48.02068951138696,-60.0,-36.39999999999999,-60.0
2,-48.66814032773479,-60.0,-41.6,-60.0
3,-47.662605834333135,-60.0,-41.19999999999999,-60.0
4,-48.228024363475186,-60.0,-40.8,-60.0
5,-48.01249191879908,-60.0,-41.19999999999999,-60.0
6,-47.73624655700185,-60.0,-41.19999999999999,-60.0
7,-48.09612186732593,-60.0,-41.19999999999999,-60.0
8,-49.34223816861537,-60.0,-42.0,-60.0
9,-46.46363269325943,-60.0,-41.19999999999999,-60.0
10,-49.653640814134135,-60.0,-41.19999999999999,-60.0
11,-48.54032623462126,-60.0,-41.19999999999999,-60.0
12,-46.44741805537646,-60.0,-41.19999999999999,-60.0
13,-48.22186962854167,-60.0,-41.19999999999999,-60.0
14,-49.715539139362164,-60.0,-41.19999999999999,-60.0
15,-47.25128479626885,-60.0,-41.19999999999999,-60.0
16,-48.70317384970665,-60.0,-42.0,-60.0
17,-47.007873715752034,-60.0,-41.6,-60.0
18,-47.180352202152434,-60.0,-38.8,-60.0
19,-48.301631958271216,-60.0,-40.4,-60.0
20,-48.54490038001444,-60.0,-39.199999999999996,-60.0
21,-47.00825752465271,-60.0,-39.599999999999994,-60.0
22,-48.12477733239045,-60.0,-39.199999999999996,-60.0
23,-49.21897218185286,-60.0,-39.199999999999996,-60.0
24,-48.49054764175746,-60.0,-42.400000000000006,-60.0
25,-48.204864495950886,-60.0,-41.6,-60.0
26,-47.579163507971046,-60.0,-34.0,-60.0
27,-46.78269236254563,-60.0,-38.8,-60.0
28,-49.779618773157566,-60.0,-40.0,-60.0
29,-48.61628256998196,-60.0,-41.19999999999999,-60.0
30,-60.0,-60.0,-60.0,-60.0
