Second,Average,Min,Max,Median
0,-48.1724715134648,-60.0,-39.599999999999994,-60.0
1,-46.201310156385276,-60.0,-32.8,-60.0
2,-48.55159933366146,-60.0,-34.0,-60.0
3,-49.33573234074586,-60.0,-42.400000000000006,-60.0
4,-45.74871774578714,-60.0,-31.6,-60.0
5,-47.473990558536116,-60.0,-34.0,-60.0
6,-47.12850883145577,-60.0,-32.0,-60.0
7,-50.38874664837397,-60.0,-35.599999999999994,-60.0
8,-48.14570696811642,-60.0,-34.0,-60.0
9,-48.28454638946103,-60.0,-32.0,-60.0
10,-48.82202777697144,-60.0,-35.599999999999994,-60.0
11,-50.28804499497632,-60.0,-43.2,-60.0
12,-50.5526067134072,-60.0,-42.8,-60.0
13,-49.26145456594537,-60.0,-42.8,-60.0
14,-49.734366634346856,-60.0,-35.199999999999996,-60.0
15,-49.74841204793798,-60.0,-42.8,-60.0
16,-48.545966572595106,-60.0,-39.199999999999996,-60.0
17,-50.07848176325284,-60.0,-35.99999999999999,-60.0
18,-49.5924083889171,-60.0,-43.2,-60.0
19,-49.10405427331124,-60.0,-42.8,-60.0
20,-48.90197985532531,-60.0,-35.199999999999996,-60.0
21,-49.64621123023247,-60.0,-42.8,-60.0
22,-48.976773748362696,-60.0,-35.199999999999996,-60.0
23,-49.254490902426824,-60.0,-42.8,-60.0
24,-48.997812557666606,-60.0,-42.400000000000006,-60.0
25,-51.105458333199394,-60.0,-43.2,-60.0
26,-48.57567086521546,-60.0,-42.400000000000006,-60.0
27,-49.54121032102798,-60.0,-35.199999999999996,-60.0
28,-48.73830365767682,-60.0,-42.8,-60.0
29,-49.08773684125691,-60.0,-35.199999999999996,-60.0
30,-45.999999999999986,-45.999999999999986,-45.999999999999986,-45.999999999999986
