Second,Average,Min,Max,Median
0,-40.15554546501863,-60.0,-33.2,-60.0
1,-40.703715908316795,-60.0,-33.2,-60.0
2,-40.635292838787336,-60.0,-31.199999999999996,-60.0
3,-40.5001229237717,-60.0,-33.2,-60.0
4,-39.80142311598364,-60.0,-30.0,-60.0
5,-40.23192337829109,-60.0,-31.199999999999996,-60.0
6,-40.659102933584556,-60.0,-31.199999999999996,-60.0
7,-40.81911562935162,-60.0,-33.2,-60.0
8,-39.8336768396843,-60.0,-33.2,-60.0
9,-40.803195421543265,-60.0,-34.4,-60.0
10,-40.51452072308899,-60.0,-30.0,-60.0
11,-40.57287984534856,-60.0,-33.2,-60.0
12,-40.23644406435872,-60.0,-32.0,-60.0
13,-40.45528676646394,-60.0,-31.199999999999996,-60.0
14,-40.027692268021696,-60.0,-33.2,-60.0
15,-40.57044034632529,-60.0,-30.0,-60.0
16,-40.3913909553042,-60.0,-31.199999999999996,-60.0
17,-40.94319761446944,-60.0,-34.0,-60.0
18,-40.436467091066845,-60.0,-33.2,-60.0
19,-39.83718549137485,-60.0,-33.2,-60.0
20,-40.62210856422287,-60.0,-31.199999999999996,-60.0
21,-41.91361304282736,-60.0,-33.2,-60.0
22,-39.94863423645148,-60.0,-33.2,-60.0
23,-39.80865658069229,-60.0,-31.199999999999996,-60.0
24,-41.80365505762141,-60.0,-31.199999999999996,-60.0
25,-40.06135353870271,-60.0,-33.2,-60.0
26,-40.08088564249587,-60.0,-30.0,-60.0
27,-40.912212168956714,-60.0,-30.0,-60.0
28,-39.87709792907285,-60.0,-30.4,-60.0
29,-40.908246865327904,-60.0,-33.2,-60.0
