Second,Average,Min,Max,Median
0,-42.55401300321695,-60.0,-35.599999999999994,-60.0
1,-41.57508904793177,-60.0,-35.599999999999994,-60.0
2,-42.22414591233804,-60.0,-35.599999999999994,-60.0
3,-41.597199186802094,-60.0,-35.599999999999994,-60.0
4,-42.74557626111943,-60.0,-35.99999999999999,-60.0
5,-42.54426436969958,-60.0,-35.99999999999999,-60.0
6,-42.39786934192627,-60.0,-36.39999999999999,-60.0
7,-42.791572631557145,-60.0,-36.39999999999999,-60.0
8,-42.88846585467073,-60.0,-36.39999999999999,-60.0
9,-43.083577103553345,-60.0,-36.39999999999999,-60.0
10,-42.30472440627867,-60.0,-36.39999999999999,-60.0
11,-42.71953441645459,-60.0,-36.39999999999999,-60.0
12,-42.81656779849372,-60.0,-36.39999999999999,-60.0
13,-42.21497945264025,-60.0,-36.39999999999999,-60.0
14,-43.066874421276395,-60.0,-36.39999999999999,-60.0
15,-42.650022747911294,-60.0,-36.39999999999999,-60.0
16,-42.80700894740741,-60.0,-35.99999999999999,-60.0
17,-41.71013749765407,-60.0,-35.599999999999994,-60.0
18,-42.024684337268916,-60.0,-35.599999999999994,-60.0
19,-41.87757468319582,-60.0,-35.99999999999999,-60.0
20,-42.25084540570825,-60.0,-35.99999999999999,-60.0
21,-42.054008802721874,-60.0,-35.99999999999999,-60.0
22,-42.13863404739599,-60.0,-35.99999999999999,-60.0
23,-42.20227312654417,-60.0,-35.599999999999994,-60.0
24,-41.9983252687934,-60.0,-35.599999999999994,-60.0
25,-42.15369377062992,-60.0,-35.599999999999994,-60.0
26,-41.909000327624625,-60.0,-35.99999999999999,-60.0
27,-42.167339102641996,-60.0,-35.99999999999999,-60.0
28,-44.42554515835555,-60.0,-35.99999999999999,-60.0
29,-45.6777420508082,-60.0,-35.99999999999999,-60.0
