Second,Average,Min,Max,Median
0,-19.687796686821564,-27.199999999999996,-16.799999999999997,-19.199999999999996
1,-18.213522113450857,-20.0,-16.4,-18.4
2,-18.23908859607968,-20.4,-15.600000000000001,-18.4
3,-18.177290085280834,-20.4,-16.0,-18.4
4,-18.833627158258494,-21.6,-16.0,-18.799999999999997
5,-18.586870860206073,-23.6,-16.799999999999997,-18.799999999999997
6,-19.58600537220827,-22.799999999999997,-18.4,-19.599999999999994
7,-20.02459248515254,-25.199999999999996,-18.4,-20.0
8,-23.866762861965253,-29.199999999999996,-19.599999999999994,-24.4
9,-24.386266443139508,-30.0,-19.599999999999994,-25.199999999999996
10,-25.339274080909377,-30.4,-20.799999999999997,-25.795396456636922
11,-24.104549120089814,-29.199999999999996,-20.4,-24.4
12,-21.7824387276221,-27.199999999999996,-18.799999999999997,-21.6
13,-20.40743556056364,-25.199999999999996,-17.999999999999993,-20.4
14,-20.09755116705746,-23.6,-17.599999999999994,-20.4
15,-21.20882759143409,-26.39999999999999,-19.199999999999996,-21.199999999999996
16,-21.982600554791503,-29.599999999999994,-19.599999999999994,-21.6
17,-20.71162970855724,-26.39999999999999,-18.4,-20.799999999999997
18,-20.65311158138034,-22.799999999999997,-18.4,-20.799999999999997
19,-20.827702143843666,-25.199999999999996,-17.599999999999994,-21.199999999999996
20,-21.019172765383,-26.39999999999999,-18.4,-21.199999999999996
21,-20.857997250532453,-25.199999999999996,-17.999999999999993,-20.799999999999997
22,-20.909163916265626,-23.200000000000003,-19.199999999999996,-20.799999999999997
23,-20.64147646208776,-25.199999999999996,-17.999999999999993,-20.799999999999997
24,-20.44239946918735,-25.999999999999993,-16.799999999999997,-20.4
25,-20.653616824916135,-29.599999999999994,-17.999999999999993,-20.4
26,-20.063056809951508,-28.4,-17.200000000000003,-19.599999999999994
27,-22.183936018618702,-31.6,-18.4,-22.0
28,-21.677094333449936,-29.599999999999994,-19.199999999999996,-21.6
29,-20.256250591340667,-27.599999999999994,-18.799999999999997,-20.4
