Second,Average,Min,Max,Median
0,-21.68072284970364,-27.999999999999993,-20.0,-21.6
1,-21.945653278582785,-26.799999999999997,-18.4,-21.6
2,-22.591735515220183,-26.39999999999999,-20.799999999999997,-22.799999999999997
3,-21.690730097849205,-26.799999999999997,-19.599999999999994,-21.6
4,-21.059858091621898,-27.999999999999993,-18.4,-21.199999999999996
5,-20.801740503425247,-26.39999999999999,-18.4,-20.4
6,-19.97504558554155,-24.4,-17.599999999999994,-20.0
7,-19.717687453873264,-23.200000000000003,-17.200000000000003,-20.0
8,-20.073270474047412,-26.39999999999999,-17.200000000000003,-20.0
9,-21.181069475479745,-32.4,-17.599999999999994,-20.4
10,-20.959917454270936,-28.4,-19.199999999999996,-20.799999999999997
11,-21.116605857770466,-24.800000000000004,-18.799999999999997,-21.199999999999996
12,-19.893593650181437,-29.599999999999994,-18.4,-19.599999999999994
13,-20.305951272022877,-30.799999999999997,-17.599999999999994,-19.599999999999994
14,-20.067222380138773,-32.8,-17.599999999999994,-19.199999999999996
15,-20.220992094004625,-31.199999999999996,-17.200000000000003,-19.599999999999994
16,-20.425817663998814,-26.39999999999999,-17.999999999999993,-20.4
17,-20.305952086453495,-28.4,-17.599999999999994,-20.4
18,-20.858195810684258,-26.39999999999999,-18.799999999999997,-20.799999999999997
19,-20.65872047654498,-27.599999999999994,-18.4,-20.4
20,-20.074888192225746,-30.0,-17.999999999999993,-19.599999999999994
21,-19.76826290542264,-30.0,-17.200000000000003,-19.599999999999994
22,-19.91435778627642,-24.4,-17.200000000000003,-20.0
23,-20.722160340597135,-24.800000000000004,-18.799999999999997,-20.4
24,-21.826026570827743,-27.599999999999994,-19.599999999999994,-22.0
25,-21.75966660159082,-27.199999999999996,-19.599999999999994,-21.6
26,-22.998216748133984,-28.799999999999997,-20.0,-23.200000000000003
27,-21.621633827177035,-31.6,-17.999999999999993,-21.6
28,-20.5675983739423,-30.0,-18.4,-20.4
29,-20.450700365945945,-30.799999999999997,-17.599999999999994,-20.799999999999997
