Second,Average,Min,Max,Median
0,-18.129237400799237,-25.199999999999996,-16.4,-17.999999999999993
1,-18.940176823947244,-23.6,-16.799999999999997,-18.799999999999997
2,-19.073029049815283,-23.6,-16.4,-19.199999999999996
3,-20.574744230353538,-26.39999999999999,-17.599999999999994,-20.799999999999997
4,-21.48712173116084,-25.199999999999996,-18.799999999999997,-21.6
5,-21.16752185491204,-25.599999999999994,-16.799999999999997,-21.6
6,-20.561567669219652,-25.199999999999996,-17.200000000000003,-20.799999999999997
7,-21.026055301228176,-25.599999999999994,-17.200000000000003,-21.199999999999996
8,-20.001747284953222,-24.4,-17.999999999999993,-20.0
9,-19.178732236581517,-21.199999999999996,-17.599999999999994,-19.199999999999996
10,-19.861192778637516,-25.599999999999994,-17.999999999999993,-19.599999999999994
11,-21.178928743448502,-25.199999999999996,-18.799999999999997,-21.199999999999996
12,-20.19290328561754,-29.199999999999996,-16.4,-19.599999999999994
13,-19.121213033168832,-29.199999999999996,-16.4,-18.4
14,-21.029378853768,-28.799999999999997,-17.999999999999993,-21.6
15,-21.938176937520204,-24.800000000000004,-18.799999999999997,-22.0
16,-22.550386509261347,-25.599999999999994,-18.799999999999997,-22.799999999999997
17,-20.761285896620464,-24.4,-17.999999999999993,-20.799999999999997
18,-19.43326325484319,-21.6,-17.999999999999993,-19.599999999999994
19,-19.656662926711054,-24.0,-17.999999999999993,-19.599999999999994
20,-20.557993376780892,-24.800000000000004,-18.4,-20.799999999999997
21,-19.42518549605708,-23.6,-17.599999999999994,-19.199999999999996
22,-21.562594756980225,-26.39999999999999,-18.799999999999997,-21.6
23,-21.10935714299766,-24.800000000000004,-16.4,-21.6
24,-19.073402478237377,-23.6,-16.4,-19.599999999999994
25,-20.603286575043022,-27.999999999999993,-17.599999999999994,-20.799999999999997
26,-23.71617105027422,-31.199999999999996,-19.599999999999994,-24.800000000000004
27,-22.18191165104056,-29.199999999999996,-19.199999999999996,-22.799999999999997
28,-20.644573490589035,-29.199999999999996,-17.599999999999994,-20.0
29,-20.74220535803399,-30.0,-18.4,-20.4
