Second,Average,Min,Max,Median
0,-20.133221359868173,-24.4,-17.599999999999994,-19.599999999999994
1,-21.616479341393237,-24.4,-17.999999999999993,-21.6
2,-19.60959541662376,-24.4,-17.999999999999993,-19.599999999999994
3,-19.09473362774293,-20.799999999999997,-17.999999999999993,-19.199999999999996
4,-19.994735898161053,-27.599999999999994,-17.999999999999993,-20.0
5,-20.143929766195527,-21.6,-19.199999999999996,-20.0
6,-20.718171580451006,-29.199999999999996,-18.799999999999997,-20.4
7,-19.13104921280626,-20.4,-17.999999999999993,-19.199999999999996
8,-20.152948042055527,-29.599999999999994,-17.200000000000003,-19.599999999999994
9,-19.349364427374503,-29.199999999999996,-17.599999999999994,-19.199999999999996
10,-19.427365983587134,-24.0,-17.999999999999993,-19.599999999999994
11,-19.474975693942664,-29.599999999999994,-17.999999999999993,-19.199999999999996
12,-20.96851851805182,-30.0,-17.999999999999993,-20.799999999999997
13,-20.572723424380996,-30.799999999999997,-17.999999999999993,-19.599999999999994
14,-22.492596188664564,-29.599999999999994,-17.999999999999993,-23.200000000000003
15,-22.545757255872164,-30.799999999999997,-17.599999999999994,-23.6
16,-20.53191748512393,-29.199999999999996,-16.4,-21.199999999999996
17,-19.38983069825516,-31.199999999999996,-16.799999999999997,-18.4
18,-20.218875637976588,-31.6,-17.999999999999993,-19.599999999999994
19,-19.77437234207987,-28.799999999999997,-17.599999999999994,-19.199999999999996
20,-20.0246109303732,-31.199999999999996,-17.200000000000003,-20.799999999999997
21,-18.65871884086973,-23.6,-16.799999999999997,-17.999999999999993
22,-19.305676570173095,-24.4,-17.200000000000003,-19.199999999999996
23,-20.263315268840923,-25.599999999999994,-17.599999999999994,-20.799999999999997
24,-20.67627533688359,-26.799999999999997,-16.799999999999997,-21.199999999999996
25,-21.600016076286167,-28.799999999999997,-17.999999999999993,-21.6
26,-20.58377029348463,-30.4,-16.4,-19.599999999999994
27,-18.93446717221017,-26.799999999999997,-16.799999999999997,-18.799999999999997
28,-19.47826092372813,-29.199999999999996,-17.200000000000003,-19.599999999999994
29,-19.27655435892593,-26.39999999999999,-16.799999999999997,-19.199999999999996
