Second,Average,Min,Max,Median
0,-21.85863469866728,-32.8,-18.4,-22.4
1,-20.023167237684014,-30.0,-16.799999999999997,-20.0
2,-24.56708140277783,-30.0,-19.199999999999996,-24.800000000000004
3,-23.47583900033445,-30.799999999999997,-18.799999999999997,-23.6
4,-23.29016166865142,-31.199999999999996,-18.4,-24.0
5,-22.173821399335946,-32.8,-17.599999999999994,-24.0
6,-22.091491139635675,-33.2,-18.4,-22.0
7,-21.10630869156946,-34.4,-17.599999999999994,-20.799999999999997
8,-21.295923292579964,-31.6,-18.4,-20.799999999999997
9,-22.503755089367637,-32.0,-19.199999999999996,-21.6
10,-20.375125298806744,-30.4,-16.799999999999997,-20.0
11,-20.345133607186902,-28.799999999999997,-17.999999999999993,-20.0
12,-20.031384483562636,-29.599999999999994,-17.999999999999993,-19.599999999999994
13,-20.531095693917173,-30.799999999999997,-17.599999999999994,-20.4
14,-21.114968635202644,-31.199999999999996,-18.4,-20.4
15,-20.826178488769635,-34.0,-17.599999999999994,-20.0
16,-20.23806698011572,-28.799999999999997,-17.200000000000003,-20.0
17,-20.63729013293523,-29.599999999999994,-17.999999999999993,-20.4
18,-24.590132899732296,-32.0,-17.999999999999993,-26.799999999999997
19,-22.998809985046265,-30.4,-18.4,-24.800000000000004
20,-23.000456155704935,-31.199999999999996,-17.599999999999994,-25.599999999999994
21,-23.577066351812405,-30.4,-17.200000000000003,-24.995396456636932
22,-22.437891744588832,-30.799999999999997,-18.4,-22.799999999999997
23,-22.606438585148062,-30.799999999999997,-17.599999999999994,-23.6
24,-22.172720689478886,-29.199999999999996,-17.599999999999994,-22.799999999999997
25,-23.098711301392186,-32.0,-18.4,-24.0
26,-21.7117676828476,-31.6,-17.999999999999993,-22.0
27,-24.151610203044307,-34.4,-18.799999999999997,-24.800000000000004
28,-23.417480031009564,-32.0,-20.0,-23.6
29,-23.148388209576677,-31.199999999999996,-19.199999999999996,-23.200000000000003
