Second,Average,Min,Max,Median
0,-19.202968402681414,-27.599999999999994,-16.4,-18.799999999999997
1,-18.65754818853093,-23.200000000000003,-16.799999999999997,-17.999999999999993
2,-20.18215260886759,-30.799999999999997,-16.799999999999997,-20.4
3,-18.47395195847694,-27.199999999999996,-15.600000000000001,-18.4
4,-19.5845016227659,-27.199999999999996,-17.200000000000003,-18.799999999999997
5,-19.269292244511163,-25.599999999999994,-17.599999999999994,-18.799999999999997
6,-18.374297060041226,-25.599999999999994,-17.200000000000003,-18.4
7,-18.361925733657202,-23.200000000000003,-16.0,-18.4
8,-18.171873738228918,-20.4,-16.4,-17.999999999999993
9,-17.948982827723157,-27.199999999999996,-15.600000000000001,-17.999999999999993
10,-17.638216001075328,-19.199999999999996,-16.0,-17.599999999999994
11,-19.017798339440176,-30.0,-15.600000000000001,-18.4
12,-17.408430870355765,-25.599999999999994,-14.799999999999997,-17.599999999999994
13,-17.608650530717156,-25.999999999999993,-16.0,-17.795396456636922
14,-17.181819603560303,-22.4,-16.0,-17.200000000000003
15,-18.55482048240316,-25.199999999999996,-16.0,-18.4
16,-18.92162584946421,-27.199999999999996,-16.4,-18.799999999999997
17,-17.72044944343336,-29.599999999999994,-16.0,-17.200000000000003
18,-17.86459971393856,-23.200000000000003,-16.4,-17.599999999999994
19,-18.04707865684977,-25.199999999999996,-16.4,-17.599999999999994
20,-18.84850521544415,-20.4,-17.200000000000003,-18.799999999999997
21,-20.252567407493302,-32.0,-17.999999999999993,-19.199999999999996
22,-20.81514301544932,-30.4,-17.200000000000003,-20.799999999999997
23,-19.111570965965722,-27.999999999999993,-17.200000000000003,-18.799999999999997
24,-19.1948615747907,-22.0,-17.200000000000003,-19.199999999999996
25,-19.123002488579736,-24.4,-17.599999999999994,-18.799999999999997
26,-20.579497030126525,-25.599999999999994,-17.599999999999994,-21.6
27,-23.93980443160278,-30.799999999999997,-17.999999999999993,-24.4
28,-26.306519099465735,-32.0,-21.6,-27.199999999999996
29,-24.503088676320438,-30.4,-20.799999999999997,-24.800000000000004
