Second,Average,Min,Max,Median
0,-21.068539296439717,-27.199999999999996,-18.4,-20.4
1,-22.175378120600293,-28.799999999999997,-19.599999999999994,-22.0
2,-24.35782585060483,-30.0,-19.599999999999994,-24.800000000000004
3,-20.563542789608412,-29.199999999999996,-18.4,-20.4
4,-19.58065310257998,-24.800000000000004,-17.599999999999994,-19.599999999999994
5,-20.83012404305307,-26.39999999999999,-18.4,-20.799999999999997
6,-19.78142074034598,-24.4,-17.999999999999993,-20.0
7,-20.06852893565412,-23.6,-17.999999999999993,-20.0
8,-20.565459731715457,-26.39999999999999,-18.4,-20.4
9,-20.60040964189817,-26.39999999999999,-18.4,-20.4
10,-22.271677075893503,-27.599999999999994,-19.599999999999994,-22.4
11,-21.410965325061607,-24.4,-18.4,-21.6
12,-21.411306606332023,-27.999999999999993,-18.799999999999997,-21.395396456636927
13,-21.0156570421878,-27.999999999999993,-17.999999999999993,-20.799999999999997
14,-20.03693659669578,-24.4,-17.599999999999994,-20.0
15,-19.63517954752112,-22.0,-18.4,-19.599999999999994
16,-19.792872794252315,-26.39999999999999,-17.999999999999993,-19.599999999999994
17,-20.268701477944,-24.800000000000004,-18.4,-20.4
18,-20.594194839208022,-26.39999999999999,-19.199999999999996,-20.4
19,-21.963345639872564,-34.800000000000004,-19.199999999999996,-20.799999999999997
20,-23.152552796363757,-33.2,-19.199999999999996,-24.4
21,-25.363244486859,-32.8,-20.4,-26.39999999999999
22,-21.774833073084885,-31.6,-18.799999999999997,-21.199999999999996
23,-20.99445807609966,-28.4,-19.199999999999996,-20.4
24,-20.546513951033106,-27.199999999999996,-17.599999999999994,-20.0
25,-20.934597427314884,-25.999999999999993,-17.599999999999994,-20.799999999999997
26,-19.562360408364587,-25.999999999999993,-17.599999999999994,-19.199999999999996
27,-18.405681349226114,-22.799999999999997,-16.0,-18.4
28,-19.56082271197198,-26.39999999999999,-17.200000000000003,-19.199999999999996
29,-18.357700529422246,-25.999999999999993,-16.0,-18.4
