Second,Average,Min,Max,Median
0,-20.537055009634123,-30.0,-16.799999999999997,-20.0
1,-19.534564642266577,-25.599999999999994,-17.599999999999994,-19.199999999999996
2,-23.5036710316658,-27.199999999999996,-18.4,-24.4
3,-20.022247156056917,-26.799999999999997,-17.999999999999993,-19.599999999999994
4,-20.30497767791106,-26.799999999999997,-17.200000000000003,-20.0
5,-20.214065056593924,-26.39999999999999,-18.4,-20.0
6,-20.20503884292275,-27.999999999999993,-17.599999999999994,-19.599999999999994
7,-22.463416768137215,-26.799999999999997,-19.199999999999996,-23.200000000000003
8,-20.645850834803802,-26.799999999999997,-19.199999999999996,-20.4
9,-20.812274919065867,-24.800000000000004,-19.599999999999994,-20.799999999999997
10,-21.28295298429403,-32.0,-18.4,-20.0
11,-20.58341780250208,-25.999999999999993,-17.999999999999993,-20.0
12,-20.89225042459899,-29.199999999999996,-17.999999999999993,-20.0
13,-20.268634800293714,-29.199999999999996,-17.999999999999993,-19.599999999999994
14,-21.587934637103668,-27.199999999999996,-18.799999999999997,-21.199999999999996
15,-20.30434572478854,-24.4,-18.799999999999997,-20.4
16,-19.870976927322737,-30.4,-18.4,-20.0
17,-22.022435616622168,-32.4,-19.199999999999996,-21.199999999999996
18,-22.28634277108782,-32.8,-18.799999999999997,-22.4
19,-22.903739345234847,-33.6,-18.799999999999997,-25.199999999999996
20,-23.010711228821187,-30.0,-18.799999999999997,-24.800000000000004
21,-22.872024700484822,-27.999999999999993,-19.599999999999994,-22.799999999999997
22,-23.535460016578057,-27.599999999999994,-20.4,-23.200000000000003
23,-23.420409004857603,-26.799999999999997,-20.4,-23.6
24,-21.927618379351532,-26.799999999999997,-17.999999999999993,-22.59539645663693
25,-25.05597566417295,-28.799999999999997,-20.4,-25.395396456636927
26,-24.522198538288407,-27.999999999999993,-20.799999999999997,-24.59539645663693
27,-24.651796865351496,-28.799999999999997,-20.799999999999997,-25.199999999999996
28,-24.95714575397582,-30.0,-20.4,-26.39999999999999
29,-23.37918353783186,-33.2,-19.599999999999994,-24.800000000000004
