Second,Average,Min,Max,Median
0,-20.98133935007239,-25.999999999999993,-17.999999999999993,-20.4
1,-19.069087874166662,-22.0,-17.999999999999993,-19.199999999999996
2,-20.741872213593517,-28.4,-17.599999999999994,-20.799999999999997
3,-20.542721651993872,-32.4,-17.599999999999994,-19.599999999999994
4,-19.989223071152757,-31.199999999999996,-16.0,-19.599999999999994
5,-19.88533026233882,-30.799999999999997,-17.200000000000003,-19.199999999999996
6,-19.80457654531814,-29.599999999999994,-17.999999999999993,-19.599999999999994
7,-20.96540571299328,-26.799999999999997,-17.599999999999994,-21.199999999999996
8,-18.937480125803077,-27.599999999999994,-16.0,-18.799999999999997
9,-21.67493082254972,-25.999999999999993,-17.999999999999993,-22.0
10,-21.201958994906818,-25.599999999999994,-17.599999999999994,-22.0
11,-21.82149593373375,-27.199999999999996,-18.4,-22.4
12,-20.465335919575782,-25.999999999999993,-17.599999999999994,-20.4
13,-19.583165328442675,-25.999999999999993,-17.999999999999993,-19.199999999999996
14,-23.051865185558505,-27.999999999999993,-19.599999999999994,-23.6
15,-22.280102229283926,-28.799999999999997,-19.199999999999996,-22.0
16,-20.86151164329147,-27.199999999999996,-16.4,-20.4
17,-19.902602352378384,-25.199999999999996,-17.599999999999994,-19.79539645663693
18,-19.536547129484255,-28.4,-17.599999999999994,-19.199999999999996
19,-20.338820702744414,-31.199999999999996,-17.999999999999993,-20.0
20,-19.94248653264455,-25.199999999999996,-17.599999999999994,-19.79539645663693
21,-21.361852836129373,-27.599999999999994,-18.799999999999997,-20.799999999999997
22,-20.91648980270864,-25.999999999999993,-18.799999999999997,-20.4
23,-19.881730169102116,-25.999999999999993,-17.200000000000003,-20.0
24,-20.55911925841837,-26.799999999999997,-17.200000000000003,-20.0
25,-20.010570211013764,-26.799999999999997,-17.200000000000003,-20.0
26,-19.35864545156484,-23.200000000000003,-17.200000000000003,-19.599999999999994
27,-19.56663546000392,-22.0,-17.999999999999993,-19.599999999999994
28,-21.274911242975932,-32.4,-18.4,-20.799999999999997
29,-24.16092446229203,-30.799999999999997,-19.199999999999996,-24.800000000000004
