Second,Average,Min,Max,Median
0,-49.00170792358598,-60.0,-32.0,-60.0
1,-51.318380677724065,-60.0,-34.4,-60.0
2,-52.810974136132735,-60.0,-36.39999999999999,-60.0
3,-51.603827428140164,-60.0,-34.800000000000004,-60.0
4,-50.05713815483329,-60.0,-32.0,-60.0
5,-52.77517646867412,-60.0,-35.599999999999994,-60.0
6,-50.11858499774721,-60.0,-34.4,-60.0
7,-53.11642862853667,-60.0,-34.800000000000004,-60.0
8,-50.04164596489466,-60.0,-32.0,-60.0
9,-50.88107235775873,-60.0,-34.800000000000004,-60.0
10,-48.604756101693276,-60.0,-36.8,-60.0
