Elapsed Time (s),Value
0.001,1.99
0.006,1.5
0.011,1.41
0.016,1.9
0.021,1.54
0.026,1.99
0.031,1.25
0.036,1.66
0.041,1.87
0.046,1.38
0.051,2.02
0.056,1.55
0.061,1.71
0.066,1.75
0.071,1.55
0.076,2.03
0.081,1.18
0.086,1.67
0.091,1.74
0.096,1.18
0.101,2.0
0.106,1.56
0.111,1.41
0.116,1.67
0.121,1.56
0.126,2.01
0.131,1.58
0.136,1.76
0.141,1.54
0.146,1.44
0.151,2.06
0.156,1.55
0.161,1.63
0.166,1.25
0.171,1.58
0.176,1.98
0.181,1.56
0.186,1.92
0.191,1.58
0.196,1.79
0.201,1.92
0.206,1.63
0.211,2.04
0.216,1.54
0.221,1.58
0.226,1.92
0.231,1.38
0.236,2.04
0.241,1.76
0.246,1.71
0.251,1.8
0.256,1.7
0.261,2.02
0.266,1.17
0.271,1.75
0.276,1.75
0.281,1.67
0.286,2.02
0.291,1.64
0.296,1.82
0.301,1.68
0.306,1.58
0.311,2.01
0.316,1.23
0.321,1.77
0.326,1.55
0.331,1.47
0.336,2.0
0.341,1.52
0.346,1.6
0.351,1.35
0.356,1.58
0.361,1.98
0.366,1.32
0.371,1.87
0.376,1.54
0.381,1.39
0.386,1.95
0.391,1.57
0.396,1.81
0.401,1.25
0.406,1.63
0.411,1.91
0.416,1.68
0.421,2.06
0.426,1.54
0.431,1.3
0.436,1.86
0.441,1.56
0.446,2.04
0.451,1.78
0.456,1.64
0.461,1.81
0.466,1.67
0.471,2.03
0.476,1.56
0.481,1.8
0.486,1.74
0.491,1.52
0.496,2.02
0.501,1.23
0.506,1.69
0.511,1.63
0.516,1.47
0.520,2.01
0.526,1.5
0.530,1.54
0.536,1.43
0.540,1.51
0.546,2.0
0.550,1.55
0.556,1.85
0.560,1.6
0.566,1.79
0.570,1.95
0.576,1.66
0.580,2.03
0.586,1.54
0.591,1.57
0.596,1.95
0.601,1.38
0.606,1.98
0.611,1.83
0.616,1.68
0.621,1.87
0.626,1.73
0.631,1.98
0.636,1.18
0.641,1.76
0.646,1.81
0.650,1.17
0.656,2.03
0.660,1.7
0.665,1.32
0.670,1.83
0.675,1.64
0.680,2.03
0.685,1.56
0.690,1.75
0.695,1.7
0.700,1.43
0.705,2.06
0.710,1.59
0.715,1.49
0.720,1.54
0.725,1.64
0.730,1.99
0.735,1.55
0.740,1.81
0.745,1.5
0.750,1.77
0.755,1.98
0.760,1.5
0.765,2.04
0.770,1.53
0.775,1.67
0.780,1.96
0.785,1.69
0.790,1.95
0.795,1.48
0.800,1.27
0.805,1.93
0.810,1.5
0.815,1.87
0.820,1.78
0.825,1.56
0.830,1.94
0.835,1.69
0.840,2.04
0.845,1.51
0.850,1.75
0.855,1.84
0.860,1.55
0.865,2.04
0.871,1.23
0.875,1.59
0.880,1.81
0.885,1.46
0.890,2.03
0.895,1.61
0.900,1.48
0.905,1.66
0.911,1.57
0.915,2.04
0.920,1.32
0.925,1.73
0.930,1.66
0.935,1.37
0.940,2.0
0.945,1.7
0.950,1.6
0.955,1.34
0.960,1.52
0.965,2.0
0.970,1.68
0.975,1.84
0.980,1.98
0.985,1.26
0.990,1.95
0.995,1.78
1.000,1.78
1.005,1.8
1.010,1.78
1.015,1.91
1.020,1.17
1.025,2.04
1.030,1.73
1.035,1.28
1.040,1.9
1.045,1.64
1.050,2.03
1.055,1.56
1.060,1.74
1.065,1.83
1.070,1.43
1.075,1.86
1.080,1.58
1.085,1.44
1.090,1.69
1.095,1.62
1.100,2.01
1.105,1.55
1.110,1.75
1.115,1.59
1.120,1.75
1.125,2.0
1.130,1.49
1.135,2.04
1.140,1.66
1.145,1.63
1.150,2.0
1.155,1.38
1.160,1.89
1.165,1.5
1.170,1.67
1.175,1.95
1.180,1.51
1.185,1.7
1.190,1.18
1.195,1.57
1.200,1.95
1.205,1.17
1.210,2.0
1.215,1.54
1.220,1.27
1.225,1.93
1.230,1.55
1.235,1.98
1.240,1.55
1.245,1.59
1.250,1.77
1.255,1.42
1.260,2.06
1.265,1.59
1.270,1.44
1.275,1.73
1.280,1.57
1.285,2.03
1.290,1.31
1.295,1.7
1.300,1.72
1.305,1.37
1.310,2.02
1.315,1.61
1.320,1.54
1.325,1.52
1.330,1.54
1.335,2.0
1.340,1.71
1.345,1.77
1.350,1.69
1.355,1.25
1.360,1.98
1.365,1.66
1.370,1.67
1.375,1.8
1.380,1.66
1.385,1.95
1.390,1.7
1.395,1.71
1.400,1.62
1.405,1.75
1.410,1.93
1.415,1.58
1.420,1.85
1.425,1.23
1.430,1.63
1.435,1.9
1.440,1.47
1.445,2.04
1.450,1.53
1.455,1.42
1.460,1.83
1.465,1.58
1.470,2.03
1.475,1.31
1.480,1.67
1.485,1.79
1.490,1.36
1.495,2.03
1.500,1.57
1.505,1.5
1.510,1.65
1.515,1.58
1.520,2.01
1.525,1.37
1.530,1.78
1.535,1.54
1.540,1.67
1.545,1.99
1.550,1.54
1.555,1.56
1.560,1.29
1.565,1.57
1.570,1.99
1.575,1.17
1.580,1.84
1.585,1.56
1.590,1.24
1.595,1.98
1.600,1.61
1.605,1.65
1.610,1.57
1.615,1.53
1.620,1.89
1.625,1.42
1.630,2.03
1.635,1.64
1.640,1.38
1.645,1.87
1.650,1.6
1.655,2.0
1.660,1.55
1.665,1.6
1.669,1.89
1.675,1.79
1.680,2.03
1.685,1.64
1.690,2.01
1.695,1.86
1.700,1.5
1.705,2.01
1.709,1.37
1.715,1.69
1.719,1.81
1.725,1.65
1.730,2.01
1.735,1.73
1.740,1.49
1.745,1.52
1.750,1.72
1.755,2.0
1.760,1.7
1.765,1.74
1.770,1.68
1.774,1.72
1.780,1.99
1.784,1.62
1.789,1.61
1.794,1.23
1.799,1.64
1.804,1.97
1.809,1.47
1.814,1.94
1.819,1.54
1.824,1.38
1.829,1.93
1.834,1.59
1.839,1.84
1.844,1.32
1.849,1.66
1.854,1.9
1.859,1.36
1.864,2.04
1.869,1.55
1.874,1.44
1.879,1.83
1.884,1.62
1.889,2.03
1.894,1.7
1.899,1.74
1.904,1.78
1.909,1.22
1.914,1.85
1.919,1.53
1.924,1.5
1.929,1.98
1.934,1.55
1.939,2.03
1.944,1.75
1.949,1.75
1.954,1.62
1.959,1.75
1.964,2.01
1.969,1.57
1.974,1.54
1.979,1.43
1.984,1.5
1.989,1.99
1.994,1.45
1.999,1.77
2.004,1.68
2.009,1.35
2.014,1.96
2.019,1.61
2.024,1.76
2.029,1.55
2.034,1.57
2.039,1.97
2.044,1.85
2.049,1.98
2.054,1.64
2.059,1.93
2.064,1.95
2.069,1.47
2.074,1.91
2.079,1.38
2.084,1.58
2.089,1.87
2.094,1.67
2.099,2.03
2.104,1.72
2.109,1.41
2.114,1.76
2.119,1.72
2.124,1.78
2.129,1.16
2.134,1.63
2.139,1.85
2.144,1.21
2.149,2.03
2.154,1.64
2.159,1.4
2.164,1.79
2.169,1.61
2.174,2.02
2.179,1.42
2.184,1.87
2.189,1.56
2.194,1.34
2.199,1.98
2.204,1.61
2.209,1.67
2.214,1.6
2.219,1.66
2.224,1.98
2.229,1.82
2.234,1.87
2.239,1.5
2.244,1.93
2.249,1.98
2.254,1.63
2.259,1.76
2.264,1.63
2.269,1.7
2.274,1.89
2.279,1.21
2.284,2.04
2.289,1.48
2.294,1.44
2.299,2.01
2.304,1.5
2.309,2.04
2.314,1.72
2.319,1.74
2.324,1.79
2.329,1.75
2.334,2.03
2.339,1.54
2.344,1.45
2.349,1.69
2.354,1.47
2.359,2.03
2.364,1.45
2.369,1.66
2.374,1.71
2.379,1.35
2.384,2.01
2.389,1.56
2.394,1.56
2.399,1.52
2.404,1.55
2.409,2.02
2.414,1.36
2.419,1.79
2.424,1.69
2.429,1.4
2.434,1.96
2.439,1.46
2.444,1.68
2.449,1.63
2.454,1.53
2.459,1.97
2.464,1.21
2.469,1.95
2.474,1.76
2.479,1.43
2.484,2.02
2.489,1.78
2.494,1.91
2.499,1.17
2.504,1.59
2.509,1.95
2.514,1.21
2.519,2.04
2.524,1.69
2.529,1.33
2.534,1.89
2.539,1.65
2.544,2.03
2.549,1.41
2.554,1.88
2.559,1.71
2.564,1.33
2.569,2.01
2.574,1.65
2.579,1.59
2.584,1.77
2.589,1.69
2.594,2.0
2.599,1.85
2.604,1.78
2.609,1.5
2.614,1.94
2.619,2.01
2.624,1.67
2.629,1.55
2.634,1.39
2.639,1.7
2.644,1.95
2.649,1.65
2.654,1.8
2.659,1.48
2.664,1.35
2.669,1.92
2.674,1.5
2.679,1.88
2.684,1.17
2.689,1.74
2.694,1.89
2.699,1.2
2.704,2.04
2.709,1.53
2.714,1.3
2.719,1.92
2.724,1.46
2.729,2.04
2.734,1.41
2.739,1.6
2.744,1.83
2.749,1.34
2.754,2.02
2.759,1.55
2.764,1.45
2.769,1.72
2.774,1.55
2.779,2.04
2.784,1.36
2.789,1.73
2.794,1.75
2.799,1.39
2.804,2.0
2.809,1.46
2.814,1.54
2.819,1.72
2.824,1.52
2.829,2.01
2.834,1.21
2.839,1.79
2.844,1.76
2.849,1.4
2.854,2.04
2.859,1.78
2.864,1.55
2.869,1.74
2.874,1.56
2.879,1.99
2.883,1.72
2.889,1.97
2.893,1.68
2.899,1.38
2.903,1.87
2.909,1.64
2.913,2.03
2.919,1.44
