Elapsed Time (s),Value
0.001,2.0
0.006,2.01
0.011,2.0
0.016,2.0
0.021,1.78
0.026,2.01
0.031,2.0
0.036,2.0
0.041,1.98
0.046,2.0
0.050,2.0
0.056,2.0
0.060,2.02
0.066,2.0
0.070,2.01
0.076,2.0
0.081,2.0
0.086,2.0
0.090,2.0
0.096,2.0
0.100,1.99
0.106,1.95
0.110,1.99
0.116,1.99
0.121,1.93
0.126,2.0
0.131,2.05
0.136,2.02
0.141,2.03
0.145,1.99
0.150,2.0
0.156,2.01
0.160,2.01
0.166,2.01
0.170,2.0
0.175,2.01
0.180,2.01
0.185,1.99
0.190,2.01
0.195,1.99
0.200,2.01
0.205,2.02
0.210,2.01
0.215,2.01
0.220,1.99
0.225,2.01
0.230,2.01
0.235,1.98
0.240,1.98
0.245,1.98
0.250,2.01
0.255,1.98
0.260,1.97
0.265,1.97
0.270,2.0
0.275,2.0
0.280,2.01
0.285,2.0
0.290,2.01
0.295,1.97
0.300,2.05
0.305,2.01
0.310,2.0
0.315,1.99
0.320,2.0
0.325,2.0
0.330,1.98
0.335,2.0
0.340,1.98
0.345,1.98
0.350,1.98
0.355,2.0
0.360,2.01
0.365,2.0
0.371,2.0
0.375,2.0
0.380,2.0
0.385,2.01
0.390,2.0
0.395,1.98
0.400,2.01
0.405,1.98
0.410,1.99
0.415,2.01
0.420,2.01
0.425,2.0
0.430,2.01
0.435,2.02
0.440,1.85
0.445,2.0
0.450,2.01
0.455,1.98
0.460,2.01
0.465,2.01
0.470,2.01
0.475,1.98
0.480,1.98
0.485,2.01
0.490,2.01
0.495,2.01
0.500,2.01
0.505,2.0
0.510,2.0
0.515,2.0
0.520,2.0
0.525,2.0
0.530,2.01
0.535,2.0
0.540,1.97
0.545,2.01
0.550,1.97
0.555,1.97
0.560,1.95
0.565,2.0
0.570,2.01
0.575,2.0
0.580,2.01
0.585,1.97
0.590,2.0
0.595,2.0
0.600,2.0
0.605,2.01
0.610,1.98
0.615,2.01
0.620,1.98
0.625,2.0
0.630,2.01
0.635,2.01
0.640,2.06
0.645,2.0
0.650,2.01
0.655,2.01
0.660,2.01
0.665,1.99
0.670,1.98
0.675,2.01
0.680,2.01
0.685,2.02
0.690,2.0
0.695,1.98
0.700,2.0
0.705,2.01
0.710,2.0
0.715,2.01
0.720,2.01
0.725,1.99
0.730,2.01
0.735,1.98
0.740,1.98
0.745,1.97
0.750,1.98
0.755,1.79
0.760,1.98
0.765,2.02
0.770,2.01
0.775,2.02
0.780,2.01
0.785,1.98
0.790,2.0
0.795,2.0
0.800,2.01
0.805,2.0
0.810,2.01
0.815,1.99
0.820,2.06
0.825,1.98
0.830,1.99
0.835,2.01
0.840,2.01
0.845,1.98
0.850,2.01
0.855,1.98
0.860,1.99
0.865,2.0
0.870,2.01
0.875,1.99
0.880,2.0
0.885,2.01
0.890,2.02
0.895,2.01
0.900,2.02
0.905,2.02
0.910,1.99
0.915,2.01
0.920,2.01
0.925,2.01
0.930,2.02
0.935,2.02
0.940,2.02
0.945,2.01
0.950,2.0
0.955,1.99
0.960,2.01
0.965,2.01
0.970,2.01
0.975,2.05
0.980,2.0
0.985,2.01
0.990,2.01
0.995,2.01
1.000,2.0
1.005,1.98
1.010,1.99
1.015,2.05
1.020,2.01
1.025,2.01
1.030,2.02
1.035,2.02
1.040,2.01
1.045,2.0
1.050,2.01
1.055,1.99
1.060,2.01
1.065,1.98
1.070,1.99
1.075,2.01
1.080,2.01
1.085,2.01
1.090,2.0
1.095,2.01
1.100,2.01
1.105,1.99
1.110,2.03
1.115,2.03
1.120,1.98
1.125,2.0
1.130,2.01
1.135,2.02
1.140,2.0
1.145,2.01
1.150,2.02
1.155,2.01
1.160,2.01
1.165,2.02
1.170,2.01
1.175,2.01
1.180,1.86
1.185,1.98
1.190,1.98
1.195,2.0
1.199,2.0
1.205,2.01
1.210,1.98
1.215,1.99
1.220,2.0
1.225,1.98
1.229,2.01
1.235,1.99
1.240,2.01
1.245,1.98
1.249,1.99
1.255,1.97
1.259,2.0
1.265,1.99
1.270,2.01
1.275,2.0
1.280,2.01
1.285,1.98
1.290,1.98
1.295,2.0
1.299,1.98
1.305,1.99
1.309,2.0
1.314,2.01
1.319,2.01
1.325,1.98
1.329,1.99
1.335,2.0
1.339,2.01
1.344,2.0
1.349,2.01
1.354,2.0
1.359,2.04
1.364,2.01
1.369,1.99
1.374,2.02
1.379,2.06
1.384,2.05
1.389,2.06
1.394,2.01
1.399,2.05
1.404,2.06
1.409,2.06
1.414,2.05
1.419,2.01
1.424,2.05
1.429,2.06
1.434,2.06
1.439,2.06
1.444,2.06
1.449,2.06
1.454,2.07
1.459,2.06
1.464,2.06
1.469,2.06
1.474,2.06
1.479,2.06
1.484,2.06
1.489,1.83
1.494,2.06
1.499,2.06
1.504,2.06
1.509,2.06
1.514,2.06
1.519,2.06
1.524,2.06
1.529,2.06
1.534,2.06
1.539,2.06
1.544,2.06
1.549,2.04
1.554,2.06
1.559,2.06
1.564,2.06
1.569,2.01
1.574,2.01
1.579,2.02
1.584,2.0
1.589,2.02
1.594,1.87
1.599,2.02
1.604,2.01
1.609,2.02
1.614,2.0
1.619,1.99
1.624,2.01
1.629,2.02
1.634,2.02
1.639,1.99
1.644,2.01
1.649,2.01
1.654,1.98
1.659,2.01
1.664,2.01
1.669,2.01
1.674,2.01
1.679,2.0
1.684,2.01
1.689,2.0
1.694,2.01
1.699,2.0
1.704,1.95
1.709,1.96
1.714,2.06
1.719,2.06
1.724,2.06
1.729,2.06
1.734,2.06
1.739,2.06
1.744,2.06
1.749,2.04
1.754,2.06
1.759,2.06
1.764,2.06
1.769,2.06
1.774,2.06
1.779,2.06
1.784,2.06
1.789,2.06
1.794,2.06
1.799,2.06
1.804,2.06
1.809,1.88
1.814,2.06
1.819,2.07
1.824,2.06
1.829,2.06
1.834,2.06
1.839,2.06
1.844,2.06
