Elapsed Time (s),Value
0.001,2.06
0.006,2.06
0.011,2.06
0.016,2.06
0.021,2.06
0.026,2.06
0.031,2.06
0.037,2.05
0.041,2.05
0.046,2.06
0.051,2.06
0.056,2.06
0.061,2.05
0.066,2.06
0.071,2.05
0.076,2.05
0.081,2.06
0.086,2.06
0.091,2.06
0.096,2.06
0.101,2.06
0.106,2.06
0.111,2.06
0.116,2.06
0.121,2.06
0.126,2.06
0.131,2.06
0.136,2.06
0.141,2.06
0.146,2.06
0.151,2.03
0.156,2.06
0.161,2.05
0.166,2.06
0.171,2.06
0.176,2.06
0.181,2.06
0.186,2.06
0.191,2.06
0.196,2.06
0.201,2.06
0.206,2.06
0.211,2.06
0.216,2.06
0.221,2.06
0.226,2.06
0.231,2.06
0.236,2.06
0.241,2.06
0.246,2.06
0.251,2.06
0.256,2.06
0.261,2.06
0.266,2.06
0.271,2.06
0.276,2.04
0.281,2.06
0.286,2.06
0.291,2.05
0.296,2.06
0.301,2.06
0.306,2.06
0.311,2.06
0.316,2.06
0.321,2.05
0.326,2.06
0.331,2.0
0.336,2.06
0.341,2.06
0.346,2.06
0.351,2.06
0.356,2.06
0.361,2.06
0.366,2.06
0.371,2.06
0.376,2.06
0.381,2.06
0.386,2.06
0.391,2.06
0.396,2.06
0.401,2.06
0.406,2.06
0.411,2.06
0.416,2.06
0.421,2.06
0.426,2.06
0.431,2.06
0.436,2.05
0.441,2.06
0.446,2.06
0.451,2.06
0.456,2.06
0.461,2.06
0.466,2.06
0.471,2.06
0.476,2.06
0.481,2.04
0.486,2.06
0.491,2.06
0.496,2.06
0.501,2.06
0.506,2.06
0.511,2.06
0.516,2.06
0.521,2.06
0.526,2.06
0.531,2.05
0.536,2.06
0.541,2.06
0.546,2.06
0.551,2.06
0.555,2.06
0.561,2.06
0.566,2.06
0.571,2.06
0.575,2.06
0.581,2.06
0.586,2.06
0.591,2.06
0.596,2.06
0.601,2.06
0.606,2.06
0.611,2.06
0.616,2.06
0.621,2.06
0.626,2.06
0.630,2.06
0.636,2.06
0.641,2.06
0.645,2.06
0.651,2.06
0.655,2.06
0.661,2.06
0.665,2.06
0.670,2.06
0.675,2.06
0.680,2.06
0.685,2.06
0.690,2.06
0.695,2.06
0.700,2.06
0.705,2.06
0.710,2.06
0.715,2.06
0.721,2.06
0.725,2.06
0.730,2.06
0.735,2.06
0.740,2.06
0.745,2.06
0.750,2.06
0.755,2.06
0.760,2.06
0.765,2.06
0.770,2.06
0.775,2.06
0.780,2.06
0.785,2.06
0.790,2.06
0.795,2.06
0.800,2.06
0.805,2.06
0.810,2.03
0.815,2.06
0.820,2.06
0.825,2.06
0.830,2.06
0.835,2.06
0.840,2.06
0.845,2.06
0.850,2.06
0.855,2.06
0.860,2.06
0.865,2.06
0.870,2.06
0.875,2.06
0.881,2.06
0.885,2.06
0.890,2.06
0.895,2.06
0.900,2.06
0.905,2.06
0.910,2.06
0.915,1.85
0.920,2.06
0.925,2.06
0.930,2.06
0.935,2.06
0.940,2.06
0.945,2.06
0.950,2.06
0.955,2.06
0.960,2.06
0.965,2.06
0.970,2.06
0.975,2.06
0.980,2.06
0.985,2.06
0.990,2.06
0.995,2.06
1.000,2.06
1.005,2.06
1.010,2.06
1.015,1.89
1.020,2.06
1.025,2.01
1.030,2.06
1.035,2.06
1.040,2.06
1.045,2.06
1.050,2.06
1.055,2.06
1.060,2.06
1.065,2.06
1.070,2.06
1.075,2.06
1.080,2.06
1.085,2.05
1.090,2.05
1.096,2.05
1.101,2.06
1.105,2.05
1.110,2.05
1.115,2.05
1.120,1.85
1.125,2.05
1.130,2.05
1.135,2.06
1.140,2.02
1.145,2.05
1.150,2.06
1.155,2.05
1.160,2.06
1.165,2.06
1.170,2.06
1.175,2.06
1.180,2.06
1.185,2.06
1.190,2.06
1.195,2.06
1.200,2.06
1.205,2.06
1.210,2.06
1.215,2.05
1.220,2.06
1.225,1.86
1.230,2.06
1.235,2.06
1.240,2.06
1.245,2.06
1.251,2.06
1.255,2.06
1.260,2.06
1.265,2.06
1.270,2.06
1.275,2.06
1.280,2.06
1.285,2.05
1.290,2.06
1.295,2.06
1.300,2.06
1.305,2.07
1.310,2.05
1.315,2.06
1.320,1.98
1.325,2.06
1.330,1.9
1.335,2.05
1.340,2.06
1.345,2.06
1.350,2.06
1.355,2.06
1.360,2.06
1.365,2.06
1.370,2.06
1.375,2.06
1.380,2.06
1.385,2.06
1.390,2.06
1.395,2.04
1.400,2.06
1.405,2.05
1.410,2.06
1.415,2.06
1.420,2.06
1.425,2.05
1.430,2.06
1.435,2.06
1.440,2.06
1.445,2.06
1.450,2.06
1.455,2.03
1.460,2.06
1.465,2.06
1.470,2.04
1.475,2.06
1.480,2.02
1.485,2.06
1.490,2.06
1.495,2.06
1.500,2.06
1.505,2.07
1.510,2.06
1.515,2.04
1.520,2.06
1.525,2.06
1.530,2.06
1.535,2.06
1.540,2.06
1.545,2.06
1.550,2.06
1.555,2.06
1.560,2.06
1.565,2.06
1.570,2.06
1.575,2.03
1.580,2.05
1.585,2.06
1.590,2.06
1.595,2.06
1.600,2.06
1.605,2.07
1.610,2.06
1.615,2.06
1.620,1.68
1.625,1.94
1.630,2.06
1.635,2.04
1.640,1.7
1.645,1.81
1.650,2.06
1.655,1.83
1.660,2.01
1.665,2.06
1.670,1.85
1.675,1.62
1.680,2.06
1.685,2.06
1.690,1.67
1.695,2.02
1.700,2.05
1.705,1.78
1.710,1.96
1.715,2.06
1.720,1.9
1.725,1.43
1.730,2.06
1.735,2.06
1.740,1.82
1.745,1.81
1.750,2.06
1.755,1.89
1.760,1.89
1.765,2.06
1.770,2.06
1.775,1.45
1.780,2.06
1.785,2.06
1.790,1.46
1.795,2.05
1.800,2.06
1.805,1.84
1.810,1.77
1.815,2.06
1.819,2.06
1.825,1.49
1.829,2.06
1.835,2.06
1.840,1.49
1.845,1.82
1.849,2.06
1.855,1.6
1.860,1.71
1.865,2.06
1.870,2.01
1.875,1.51
1.879,2.04
1.885,2.06
1.889,1.59
1.895,2.02
1.899,2.06
1.905,1.78
1.909,1.92
1.914,2.06
1.919,2.06
1.924,1.5
1.929,2.06
1.934,2.06
1.939,1.46
1.944,2.03
1.949,2.06
1.954,1.87
1.959,1.93
1.964,2.06
1.969,2.06
1.975,1.91
1.979,2.04
1.984,1.15
1.990,1.62
1.994,2.01
1.999,2.06
2.004,2.06
2.009,1.68
2.014,2.06
2.020,2.06
2.024,1.83
2.029,2.03
2.034,2.06
2.039,1.78
