Elapsed Time (s),Value
0.000,2.05
0.004,2.06
0.009,1.7
0.014,2.05
0.019,1.08
0.024,1.09
0.029,1.09
0.034,1.09
0.039,1.09
0.044,1.86
0.049,2.06
0.054,2.06
0.059,1.69
0.064,2.06
0.069,2.06
0.074,1.72
0.079,2.02
0.084,2.05
0.089,1.81
0.094,1.72
0.099,2.06
0.104,1.98
0.109,1.7
0.114,2.05
0.119,2.06
0.125,1.72
0.129,1.09
0.134,1.09
0.139,1.09
0.144,1.09
0.149,1.09
0.154,1.09
0.159,1.73
0.164,1.09
0.169,1.09
0.174,1.09
0.179,1.09
0.184,2.01
0.189,2.06
0.194,1.7
0.199,2.06
0.204,2.06
0.209,1.7
0.214,2.03
0.219,1.44
0.224,1.74
0.229,1.81
0.234,2.06
0.239,1.73
0.244,1.78
0.249,2.06
0.254,2.06
0.259,1.49
0.264,2.02
0.269,2.02
0.274,1.85
0.279,1.65
0.284,2.06
0.289,2.06
0.294,1.72
0.299,2.05
0.304,2.06
0.309,1.51
0.314,2.03
0.319,2.06
0.324,1.86
0.329,1.75
0.334,1.26
0.339,2.06
0.344,1.54
0.349,2.05
0.354,2.06
0.359,1.08
0.364,1.08
0.369,1.08
0.374,1.08
0.379,1.09
0.384,1.09
0.389,2.06
0.394,1.08
0.399,1.08
0.404,1.08
0.409,1.08
0.414,1.09
0.419,1.09
0.424,1.98
0.429,1.09
0.434,1.09
0.439,1.08
0.444,1.08
0.449,1.08
0.454,1.09
0.459,1.08
0.464,1.87
0.469,1.76
0.474,2.06
0.479,1.09
0.484,1.09
0.489,1.09
0.494,1.09
0.499,2.02
0.504,2.06
0.509,1.67
0.514,1.76
0.519,2.06
0.524,2.06
0.529,1.72
0.534,2.06
0.539,2.06
0.544,1.74
0.549,1.93
0.554,2.06
0.559,1.93
0.564,1.7
0.569,2.06
0.574,2.06
0.579,1.69
0.584,1.19
0.589,1.09
0.594,1.09
0.599,1.11
0.604,2.03
0.609,2.01
0.614,1.78
0.619,2.06
0.624,1.93
0.629,1.48
0.634,2.04
0.639,2.06
0.644,1.81
0.649,1.84
0.654,1.86
0.659,2.05
0.664,1.72
0.669,2.06
0.674,2.06
0.679,1.5
0.684,2.04
0.689,2.06
0.694,1.79
0.699,1.73
0.704,1.07
0.709,1.09
0.714,1.54
0.719,2.06
0.724,2.06
0.729,1.5
0.734,2.03
0.739,2.06
0.744,1.79
0.749,1.74
0.754,2.05
0.759,2.05
0.764,1.73
0.769,2.05
0.774,2.06
0.779,1.78
0.784,2.0
0.789,2.06
0.794,1.94
0.799,1.69
0.804,2.06
0.809,2.06
0.814,1.71
0.819,1.08
0.824,1.09
0.829,1.08
0.834,1.09
0.839,1.09
0.844,1.09
0.849,1.69
0.854,1.09
0.859,1.09
0.864,1.09
0.869,1.09
0.874,1.09
0.879,1.09
0.884,1.76
0.889,1.09
0.894,1.09
0.899,1.09
0.904,1.09
0.909,1.09
0.914,1.09
0.919,1.09
0.924,2.06
0.929,1.74
0.934,1.69
0.939,1.75
0.944,2.06
0.949,1.09
0.954,1.09
0.959,1.09
0.964,1.28
0.969,1.98
0.973,2.06
0.979,1.89
0.984,1.78
0.989,2.06
0.994,1.97
0.998,1.48
1.004,2.04
1.009,2.06
1.014,1.79
1.019,1.93
1.024,2.06
1.029,2.0
1.034,1.72
1.039,2.06
1.043,2.06
1.049,1.09
1.054,1.09
1.059,1.96
1.064,1.09
1.069,1.74
1.074,2.06
1.078,2.06
1.084,1.54
1.088,2.06
1.093,2.06
1.099,1.49
1.104,2.04
1.109,1.34
1.115,1.72
1.119,1.86
1.124,2.05
1.129,2.05
1.134,1.73
1.138,2.05
1.144,2.05
1.150,1.77
1.153,2.02
1.158,1.81
1.163,1.67
1.168,1.69
1.173,2.06
1.179,2.06
1.183,1.71
1.189,2.05
1.193,2.06
1.198,1.69
1.203,2.0
1.208,2.06
1.213,1.84
1.218,1.69
1.223,1.27
1.228,2.06
1.233,1.7
1.238,2.05
1.243,1.23
1.248,1.56
1.253,1.96
1.258,2.03
1.263,2.05
1.268,1.72
1.273,2.05
1.278,1.09
1.284,1.11
1.288,1.09
1.293,1.09
1.298,1.09
1.304,1.09
1.308,2.0
1.313,1.09
1.318,1.09
1.323,1.09
1.328,1.09
1.333,1.09
1.338,1.09
1.344,1.09
1.349,1.82
1.353,1.84
1.358,1.18
1.363,2.05
1.368,1.48
1.373,2.05
1.378,2.06
1.383,1.77
1.388,1.79
1.393,2.06
1.398,1.09
1.403,1.09
1.408,1.09
1.413,1.09
1.418,1.09
1.423,1.97
1.428,1.09
1.433,1.09
1.438,1.09
1.443,1.09
1.448,1.09
1.453,1.09
1.458,1.15
1.463,2.06
1.468,1.49
1.473,1.98
1.478,2.06
1.483,1.68
1.488,1.94
1.493,2.06
1.498,2.06
1.503,1.72
1.508,1.77
1.513,2.06
1.518,1.77
1.523,2.03
1.528,2.06
1.533,1.8
1.538,1.82
1.543,2.06
1.548,2.06
1.553,1.71
1.558,2.05
1.563,2.05
1.568,1.69
1.573,2.0
1.578,2.06
1.583,1.71
1.588,1.69
1.593,2.06
1.598,2.05
1.603,1.7
1.608,2.05
1.613,2.05
1.618,1.54
1.623,1.74
1.628,1.09
1.633,1.09
1.638,1.09
1.643,1.09
1.648,1.9
1.653,1.73
1.658,2.05
1.663,2.06
1.668,1.82
1.673,1.95
1.678,2.06
1.683,2.06
1.688,1.69
1.693,2.05
1.698,2.06
1.703,1.67
1.708,2.03
1.713,1.89
1.718,1.79
1.723,1.92
1.728,2.06
1.733,2.05
1.738,1.47
1.743,2.06
1.748,2.06
1.753,1.76
1.758,2.01
1.763,1.33
1.768,1.84
1.773,1.76
1.778,2.06
1.783,2.06
1.788,1.49
1.793,2.05
1.798,2.06
1.803,1.73
1.808,2.01
1.813,2.06
1.818,1.91
1.823,1.54
1.828,2.06
1.833,2.06
1.838,1.49
1.843,2.05
1.848,2.06
1.853,1.63
1.858,1.75
1.863,1.08
1.868,1.09
1.873,1.09
1.878,1.08
1.883,1.09
1.888,1.77
1.893,1.09
1.898,1.09
1.903,1.09
1.908,1.09
1.913,1.09
1.918,1.3
1.923,1.71
1.928,2.05
1.933,2.06
1.938,1.68
1.943,2.03
1.948,2.06
1.953,1.64
1.958,1.79
1.963,2.05
1.968,1.19
1.973,1.09
1.978,1.09
1.983,1.09
1.988,1.09
1.993,1.09
1.998,1.09
2.003,1.75
2.008,1.09
2.013,1.09
2.018,1.09
2.023,1.09
2.028,1.09
2.033,1.09
2.038,1.75
2.043,1.98
2.048,2.05
2.053,1.99
2.058,1.69
2.063,2.06
2.068,2.05
2.073,1.67
2.078,2.03
2.083,1.75
2.088,1.77
2.093,1.09
2.098,1.09
2.103,1.09
2.108,1.09
2.113,2.02
2.118,2.06
2.123,1.77
2.128,2.03
2.133,2.06
2.138,1.76
2.143,1.85
2.148,2.06
2.153,2.06
2.158,1.49
2.163,2.06
2.168,1.6
2.173,1.72
2.178,2.03
2.183,2.06
2.187,1.85
2.192,1.55
2.198,1.09
2.202,2.05
2.207,1.49
2.213,2.05
2.217,2.06
2.222,1.65
2.228,2.01
2.233,2.06
2.237,1.79
2.242,1.72
2.247,2.06
2.252,2.06
2.257,1.77
2.263,2.05
2.267,2.06
2.272,1.76
2.277,1.95
2.282,2.06
2.287,2.06
2.292,1.71
2.297,2.06
2.302,1.84
2.307,1.68
2.312,1.76
2.317,1.09
2.322,1.08
2.327,1.09
2.332,1.08
2.337,1.09
2.342,1.08
2.347,2.05
2.352,1.08
2.357,1.08
2.362,1.08
2.367,1.08
2.372,1.08
2.377,1.08
2.382,2.05
2.387,1.09
2.392,1.09
2.397,1.09
2.402,1.09
2.407,1.09
2.412,1.09
2.417,1.08
2.422,1.91
2.427,1.7
2.432,1.09
2.437,1.09
2.442,1.09
2.447,1.09
2.452,1.75
2.457,1.76
2.462,2.0
2.467,2.06
2.472,2.02
2.477,1.48
2.482,2.05
2.487,2.06
2.492,1.77
2.497,2.04
2.502,2.06
2.507,1.77
2.512,1.93
2.517,2.06
2.522,2.06
2.527,1.49
2.532,1.55
2.537,2.06
2.542,1.7
2.547,1.75
2.552,1.09
2.557,1.09
2.562,1.09
2.567,2.01
2.572,2.06
2.577,1.49
2.582,2.06
2.587,2.03
2.592,1.64
2.597,2.03
2.602,2.06
2.607,1.86
2.612,1.73
2.617,2.06
2.622,2.06
2.627,1.79
2.632,2.05
2.637,2.06
2.642,1.76
2.647,1.99
2.652,2.06
2.657,1.97
2.662,1.68
2.667,2.06
2.672,2.06
2.677,1.68
2.682,2.05
2.687,2.06
2.692,1.55
2.697,1.94
2.702,2.06
2.707,2.03
2.712,1.69
2.717,2.06
2.722,2.06
2.727,1.51
2.732,2.04
2.737,2.06
2.742,1.61
2.747,1.87
2.752,2.06
2.757,2.06
2.762,1.73
2.767,2.05
2.772,2.06
2.777,1.12
2.782,1.09
2.787,1.09
