Elapsed Time (s),Value
0.000,2.07
0.004,2.07
0.009,2.07
0.014,2.07
0.019,2.06
0.025,2.06
0.029,2.06
0.034,2.06
0.039,2.07
0.045,2.06
0.049,2.07
0.054,2.06
0.059,2.03
0.064,2.06
0.069,2.06
0.074,2.07
0.079,2.06
0.084,2.06
0.089,2.06
0.094,2.06
0.099,2.06
0.104,2.03
0.109,2.06
0.114,2.06
0.119,2.05
0.124,2.06
0.129,2.06
0.134,2.06
0.139,2.06
0.144,2.06
0.149,2.06
0.154,2.06
0.159,2.06
0.164,2.06
0.169,2.06
0.174,2.06
0.179,2.06
0.184,2.06
0.189,2.06
0.194,2.06
0.199,2.06
0.204,2.06
0.209,2.06
0.214,2.06
0.219,2.06
0.224,2.06
0.229,2.06
0.234,2.06
0.239,2.06
0.244,2.06
0.249,2.06
0.254,2.06
0.259,2.06
0.264,2.06
0.269,1.95
0.274,2.06
0.279,2.06
0.284,2.06
0.289,2.06
0.294,2.06
0.299,2.06
0.304,2.06
0.309,2.06
0.314,2.06
0.319,2.06
0.324,2.06
0.329,2.06
0.334,2.06
0.339,2.06
0.344,2.06
0.349,2.06
0.354,2.06
0.359,2.06
0.364,2.06
0.369,2.06
0.374,2.06
0.379,2.06
0.384,2.06
0.389,2.06
0.394,2.06
0.399,2.06
0.404,2.06
0.409,1.59
0.414,2.04
0.419,2.06
0.424,1.63
0.429,1.98
0.434,2.05
0.439,2.04
0.444,1.66
0.449,1.51
0.454,1.81
0.459,1.63
0.464,2.05
0.469,1.26
0.474,1.67
0.479,1.8
0.484,1.27
0.489,2.01
0.494,1.64
0.499,1.45
0.504,1.69
0.509,1.66
0.514,2.01
0.519,1.25
0.524,1.79
0.529,1.79
0.534,1.59
0.539,2.05
0.544,1.77
0.549,1.51
0.554,1.34
0.559,1.71
0.564,1.99
0.569,1.67
0.574,1.89
0.579,1.55
0.584,1.2
0.589,1.9
0.594,1.65
0.599,1.7
0.604,1.42
0.609,1.71
0.614,1.97
0.619,1.56
0.624,2.05
0.629,1.64
0.634,1.44
0.639,1.96
0.643,1.71
0.649,2.04
0.653,1.28
0.659,1.72
0.663,1.85
0.669,1.54
0.673,2.05
0.679,1.61
0.683,1.68
0.689,1.73
0.694,1.68
0.698,2.03
0.704,1.51
0.708,1.79
0.714,1.81
0.718,1.34
0.723,2.0
0.729,1.58
0.734,1.82
0.738,1.51
0.744,1.65
0.749,2.01
0.754,1.16
0.758,1.82
0.764,1.62
0.769,1.18
0.773,1.97
0.778,1.65
0.784,1.58
0.788,1.43
0.794,1.62
0.798,2.01
0.803,1.56
0.808,1.97
0.813,1.75
0.818,1.42
0.823,1.99
0.829,1.61
0.833,1.89
0.838,1.26
0.843,1.62
0.849,1.9
0.853,1.28
0.858,2.04
0.864,1.67
0.868,1.39
0.873,1.86
0.878,1.6
0.883,2.03
0.888,1.25
0.893,1.81
0.898,1.91
0.903,1.56
0.908,2.05
0.913,1.69
0.918,1.37
0.923,1.66
0.928,1.64
0.933,2.03
0.938,1.64
0.943,1.77
0.948,1.58
0.953,1.59
0.958,2.0
0.963,1.62
0.968,1.94
0.973,1.43
0.978,1.64
0.983,2.02
0.988,1.24
0.993,1.91
0.998,1.57
1.003,1.45
1.008,1.96
1.013,1.67
1.018,1.76
1.023,1.27
1.028,1.65
1.033,1.94
1.038,1.27
1.043,2.04
1.048,1.55
1.053,1.37
1.058,1.91
1.063,1.65
1.068,2.01
1.073,1.25
1.078,1.78
1.083,1.93
1.088,1.33
1.093,2.03
1.098,1.55
1.103,1.76
1.108,1.74
1.114,1.6
1.118,2.03
1.124,1.17
1.128,1.71
1.133,1.73
1.141,1.17
1.143,2.0
1.148,1.62
1.153,1.42
1.158,1.65
1.163,1.57
1.168,2.04
1.173,1.54
1.178,1.85
1.183,1.64
1.188,1.4
1.194,2.02
1.198,1.6
1.206,1.61
1.208,1.28
1.213,1.59
