Elapsed Time (s),Value
0.003,1.94
0.008,1.95
0.013,1.95
0.018,1.94
0.023,1.95
0.028,1.95
0.033,1.94
0.038,1.91
0.043,1.93
0.048,1.94
0.053,1.95
0.058,1.88
0.063,1.95
0.068,1.93
0.073,1.92
0.078,1.92
0.083,1.94
0.088,1.93
0.093,1.94
0.098,1.92
0.103,1.92
0.108,1.92
0.113,1.96
0.118,1.93
0.123,1.95
0.128,1.87
0.133,1.81
0.138,1.9
0.143,1.94
0.148,1.9
0.153,1.92
0.158,1.89
0.163,1.95
0.168,1.9
0.173,1.97
0.178,1.9
0.183,1.97
0.188,1.97
0.193,1.94
0.198,1.85
0.203,1.94
0.208,1.91
0.213,1.96
0.218,1.91
0.223,1.96
0.228,1.93
0.233,1.95
0.238,1.9
0.243,1.96
0.248,1.95
0.253,1.96
0.257,1.94
0.263,1.92
0.267,1.95
0.273,1.95
0.278,1.93
0.283,1.93
0.288,1.95
0.293,1.95
0.297,1.83
0.303,1.97
0.308,1.96
0.313,1.88
0.317,1.94
0.323,1.95
0.328,1.96
0.332,1.89
0.338,1.83
0.343,1.96
0.347,1.94
0.352,1.96
0.357,1.96
0.362,1.94
0.367,1.97
0.372,1.95
0.377,1.96
0.382,1.95
0.387,1.95
0.392,1.85
0.397,1.94
0.402,1.93
0.407,1.94
0.412,1.93
0.417,1.95
0.422,1.96
0.427,1.95
0.432,1.94
0.437,1.94
0.442,1.94
0.447,1.95
0.452,1.68
0.457,1.95
0.462,1.93
0.467,1.95
0.472,1.91
0.477,1.93
0.482,1.94
0.487,1.95
0.492,1.94
0.497,1.95
0.502,1.87
0.507,1.95
0.512,1.95
0.517,1.95
0.522,1.9
0.527,1.93
0.532,1.93
0.537,1.88
0.542,1.86
0.547,1.96
0.552,1.72
0.557,1.95
0.562,1.95
0.567,1.96
0.572,1.95
0.577,1.95
0.582,1.95
0.587,1.91
0.592,1.91
0.597,1.93
0.602,1.91
0.607,1.98
0.612,1.97
0.617,1.96
0.622,1.95
0.627,1.96
0.632,1.91
0.637,1.95
0.642,1.91
0.647,1.96
0.652,1.9
0.657,1.9
0.662,1.92
0.667,1.98
0.672,1.95
0.677,1.97
0.682,1.95
0.687,1.95
0.692,1.95
0.697,1.97
0.702,1.95
0.707,1.96
0.712,1.92
0.717,1.97
0.722,1.95
0.727,1.99
0.732,1.95
0.737,1.97
0.742,1.84
0.747,1.9
0.752,1.94
0.757,1.94
0.762,1.92
0.767,1.95
0.772,1.92
0.777,1.97
0.782,1.93
0.787,1.97
0.792,1.91
0.797,1.97
0.802,1.94
0.807,1.97
0.812,1.94
0.817,1.97
0.822,1.93
0.827,1.97
0.832,1.93
0.837,1.97
0.842,1.95
0.847,1.98
0.852,1.94
0.857,1.96
0.862,1.87
0.867,1.96
0.872,1.92
0.877,1.95
0.882,1.91
0.887,1.96
0.892,1.91
0.897,1.96
0.902,1.91
0.907,1.98
0.912,1.88
0.917,1.96
0.922,1.89
0.927,1.97
0.932,1.89
0.937,1.96
0.942,1.89
0.947,1.82
0.952,1.81
0.957,1.96
0.962,1.85
0.967,1.98
0.972,1.85
0.977,1.97
0.982,1.84
0.987,1.96
0.992,1.82
0.997,1.96
1.002,1.82
1.007,1.96
1.012,1.8
1.017,1.88
1.022,1.8
1.027,1.91
1.032,1.78
1.037,1.98
1.042,1.78
1.047,1.93
1.052,1.75
1.057,1.97
1.062,1.75
1.067,1.98
1.072,1.72
1.077,1.94
1.082,1.75
1.087,1.98
1.092,1.77
1.097,1.95
1.102,1.79
1.107,1.91
1.113,1.84
1.117,1.96
1.122,1.79
1.127,1.89
1.132,1.9
1.137,1.96
1.142,1.92
1.147,1.97
1.152,1.83
1.157,1.95
1.162,1.94
1.167,1.96
1.172,1.96
1.177,1.97
1.182,1.92
1.187,1.96
1.192,1.95
1.197,1.95
1.202,1.96
1.207,1.87
1.212,1.97
1.217,1.97
1.222,1.97
1.227,1.9
1.232,1.95
1.237,1.95
1.242,1.9
1.246,1.85
1.252,1.9
1.256,1.93
1.262,1.95
1.267,1.96
1.272,1.92
1.277,1.88
1.282,1.91
1.287,1.86
1.292,1.96
1.297,1.96
1.302,1.95
1.306,1.95
1.311,1.94
1.316,1.95
1.321,1.94
1.326,1.91
1.331,1.8
1.336,1.92
1.341,1.96
1.346,1.95
1.351,1.95
1.356,1.91
1.361,1.96
1.366,1.96
1.371,1.96
1.376,1.95
1.381,1.94
1.386,1.97
1.391,1.97
1.396,1.97
1.401,1.97
1.406,1.97
1.411,1.97
1.416,1.96
1.421,1.97
1.426,1.96
1.431,1.97
1.436,1.82
1.441,1.97
1.446,1.98
1.451,1.97
1.456,1.98
1.461,1.98
1.466,1.99
1.471,1.97
1.476,1.97
1.481,1.98
1.486,1.97
1.491,1.93
1.496,1.98
1.501,1.97
1.506,1.98
1.511,1.98
1.516,1.98
1.521,1.97
1.526,1.99
1.531,1.98
1.536,1.97
1.541,1.95
1.546,1.97
1.551,1.97
1.556,1.96
1.561,1.96
1.566,1.98
1.571,1.98
1.576,1.98
1.581,1.95
1.586,1.98
1.591,1.98
1.596,1.98
1.601,1.97
1.606,1.92
1.611,1.98
1.616,1.98
1.621,1.95
1.626,1.97
1.631,1.98
1.636,1.97
1.641,1.91
1.646,1.99
1.651,1.96
1.656,1.97
1.661,1.96
1.666,1.97
1.671,1.96
1.676,1.95
1.681,1.95
1.686,1.94
1.691,1.99
1.696,1.98
1.701,1.98
1.706,1.98
1.711,1.92
1.716,1.97
1.721,1.94
1.726,1.94
1.731,1.94
1.736,1.94
1.741,1.92
1.746,1.92
1.751,1.94
1.756,1.94
1.761,1.95
1.766,1.98
1.771,1.98
1.776,1.96
1.781,1.94
1.786,1.94
1.791,1.94
1.796,1.93
1.801,1.94
1.806,1.94
1.811,1.74
1.816,1.94
1.821,1.94
1.826,1.98
1.831,1.98
1.836,1.96
1.841,1.96
1.846,1.98
1.851,1.97
1.857,1.95
1.861,1.96
1.866,1.97
1.871,1.97
1.877,1.97
1.881,1.97
1.886,1.98
1.891,1.97
1.896,1.97
1.901,1.96
1.906,1.97
1.911,1.96
1.916,1.96
1.921,1.95
1.926,1.97
1.931,1.97
1.936,1.97
