Elapsed Time (s),Value
0.002,1.96
0.007,1.94
0.012,1.58
0.017,1.96
0.022,1.95
0.027,1.68
0.032,1.89
0.037,1.98
0.042,1.77
0.047,1.55
0.052,1.96
0.057,1.96
0.062,1.66
0.067,1.95
0.072,1.95
0.077,1.58
0.082,1.9
0.087,1.89
0.092,1.44
0.097,1.29
0.102,1.04
0.107,1.04
0.112,1.04
0.117,1.96
0.122,1.96
0.127,1.49
0.132,1.95
0.137,1.95
0.142,1.92
0.147,1.64
0.152,1.95
0.157,1.96
0.162,1.51
0.167,1.87
0.172,1.95
0.177,1.85
0.182,1.63
0.187,1.94
0.192,1.94
0.197,1.47
0.202,1.96
0.207,1.95
0.212,1.04
0.217,1.04
0.222,1.04
0.227,1.04
0.232,1.04
0.237,1.04
0.242,1.88
0.247,1.04
0.252,1.04
0.257,1.02
0.262,1.04
0.267,1.04
0.272,1.04
0.277,1.04
0.282,1.06
0.287,1.04
0.292,1.04
0.297,1.04
0.302,1.04
0.307,1.04
0.312,1.04
0.317,1.82
0.322,1.33
0.327,1.91
0.332,1.07
0.337,1.04
0.342,1.04
0.347,1.04
0.352,1.69
0.357,1.96
0.362,1.7
0.367,1.6
0.372,1.12
0.378,1.93
0.382,1.58
0.387,1.83
0.392,1.91
0.397,1.67
0.401,1.92
0.407,1.9
0.411,1.76
0.417,1.54
0.421,1.95
0.427,1.92
0.431,1.66
0.437,1.1
0.442,1.88
0.446,1.58
0.451,1.89
0.456,1.9
0.461,1.94
0.466,1.89
0.471,1.95
0.476,1.93
0.481,1.71
0.486,1.84
0.491,1.95
0.496,1.69
0.501,1.94
0.506,1.91
0.511,1.95
0.516,1.64
0.521,1.94
0.526,1.91
0.531,1.51
0.536,1.86
0.541,1.95
0.546,1.82
0.551,1.69
0.556,1.29
0.561,1.97
0.566,1.04
0.571,1.04
0.576,1.72
0.581,1.5
0.586,1.88
0.591,1.89
0.596,1.77
0.601,1.87
0.606,1.79
0.611,1.94
0.616,1.72
0.621,1.94
