Elapsed Time (s),Value
0.002,1.69
0.007,1.93
0.012,1.89
0.017,1.73
0.022,1.87
0.027,1.96
0.032,1.77
0.037,1.93
0.042,1.38
0.047,1.48
0.052,1.81
0.057,1.98
0.062,1.92
0.067,1.79
0.072,1.91
0.077,1.98
0.082,1.79
0.087,1.96
0.092,1.93
0.097,1.72
0.102,1.91
0.107,1.97
0.112,1.92
0.117,1.96
0.122,1.39
0.127,1.83
0.132,1.84
0.137,1.93
0.142,1.93
0.147,1.9
0.152,1.73
0.157,1.99
0.162,1.93
0.167,1.03
0.172,1.03
0.177,1.03
0.182,1.03
0.187,1.96
0.192,1.91
0.197,1.53
0.202,1.47
0.207,1.97
0.212,1.42
0.217,1.97
0.222,1.88
0.227,1.98
0.232,1.77
0.237,1.73
0.242,1.89
0.247,1.97
0.252,1.89
0.257,1.98
0.262,1.9
0.267,1.74
0.272,1.88
0.277,1.87
0.282,1.76
0.287,1.69
0.292,1.91
0.297,1.96
0.302,1.48
0.307,1.97
0.312,1.91
0.317,1.96
0.322,1.86
0.327,1.2
0.332,1.91
0.337,1.76
0.342,1.92
0.347,1.96
0.352,1.75
0.357,1.97
0.362,1.47
0.367,1.72
0.372,1.87
0.377,1.89
0.382,1.94
0.387,1.71
0.392,1.43
0.397,1.98
0.402,1.03
0.407,1.03
0.412,1.03
0.417,1.03
0.422,1.14
0.427,1.96
0.432,1.96
0.437,1.8
0.442,1.42
0.447,1.84
0.452,1.8
0.457,1.95
0.462,1.96
0.467,1.73
0.472,1.95
0.477,1.87
0.482,1.96
0.487,1.85
0.492,1.97
0.497,1.95
0.502,1.81
0.507,1.29
0.512,1.04
0.517,1.04
0.522,1.04
0.527,1.04
0.532,1.04
0.537,1.04
0.542,1.46
0.547,1.96
0.552,1.8
0.557,1.9
0.562,1.95
0.567,1.81
0.572,1.64
0.577,1.95
0.582,1.9
0.587,1.89
0.592,1.96
0.597,1.97
0.602,1.7
0.607,1.78
0.612,1.94
0.617,1.84
0.622,1.5
0.627,1.04
0.632,1.04
0.637,1.04
0.642,1.04
0.647,1.04
0.652,1.04
0.657,1.9
0.662,1.04
0.667,1.04
0.672,1.04
0.677,1.04
0.682,1.04
0.687,1.04
0.692,1.66
0.697,1.85
0.702,1.94
0.707,1.92
0.712,1.96
0.717,1.96
0.722,1.85
0.727,1.95
0.732,1.82
0.737,1.13
0.742,1.04
0.747,1.04
0.752,1.07
0.757,1.84
0.762,1.56
0.767,1.83
0.772,1.79
0.777,1.96
0.782,1.95
0.787,1.6
0.792,1.91
0.797,1.94
0.802,1.89
0.807,1.85
0.812,1.97
0.817,1.87
0.822,1.84
0.827,1.95
0.832,1.97
0.837,1.81
0.842,1.52
0.847,1.42
0.852,1.51
0.857,1.93
0.862,1.5
0.867,1.04
0.872,1.04
0.877,1.04
0.882,1.04
0.887,1.88
0.892,1.04
0.897,1.04
0.902,1.04
0.907,1.04
0.912,1.04
0.917,1.04
0.922,1.51
0.927,1.84
0.932,1.93
0.937,1.63
0.942,1.9
0.947,1.95
0.952,1.91
0.957,1.95
0.962,1.28
0.967,1.7
0.972,1.04
0.977,1.04
0.982,1.04
0.987,1.04
0.992,1.04
0.997,1.04
1.002,1.54
1.007,1.04
1.012,1.04
1.017,1.04
1.022,1.04
1.027,1.04
1.032,1.04
1.037,1.04
1.042,1.83
1.047,1.65
1.052,1.93
1.057,1.87
1.062,1.93
1.067,1.93
1.072,1.93
1.077,1.94
1.082,1.55
1.087,1.04
1.092,1.04
1.097,1.94
1.102,1.93
1.107,1.71
1.112,1.91
1.117,1.94
1.122,1.9
1.127,1.91
1.133,1.92
1.137,1.62
1.142,1.82
1.147,1.92
1.152,1.94
1.157,1.7
1.162,1.53
1.167,1.84
1.172,1.9
1.177,1.9
1.182,1.91
1.187,1.81
1.192,1.72
1.197,1.73
1.202,1.04
1.207,1.04
1.212,1.04
1.217,1.47
1.222,1.74
1.227,1.69
1.232,1.92
1.237,1.9
1.242,1.53
1.247,1.84
1.252,1.81
1.257,1.88
1.262,1.92
1.267,1.95
1.272,1.61
1.277,1.95
1.282,1.96
1.287,1.89
1.292,1.84
1.297,1.91
1.302,1.76
1.307,1.7
1.312,1.95
1.317,1.46
1.322,1.04
1.327,1.04
1.332,1.04
1.337,1.04
1.342,1.04
1.347,1.62
1.352,1.96
1.357,1.69
1.362,1.96
1.367,1.38
1.372,1.78
1.377,1.87
1.382,1.95
1.387,1.95
1.392,1.76
1.397,1.95
1.402,1.65
1.407,1.8
1.412,1.9
1.417,1.95
1.422,1.84
1.427,1.93
1.432,1.04
1.437,1.04
1.442,1.04
1.447,1.04
1.452,1.04
1.457,1.86
1.462,1.04
1.467,1.94
1.472,1.81
1.477,1.75
1.482,1.51
1.487,1.93
1.492,1.89
1.497,1.94
1.502,1.56
1.507,1.72
1.512,1.74
1.517,1.95
1.522,1.93
1.527,1.69
1.532,1.94
1.537,1.93
1.542,1.92
1.547,1.93
1.552,1.03
1.557,1.03
1.562,1.03
1.567,1.03
1.572,1.03
1.577,1.45
1.582,1.04
1.587,1.03
1.592,1.03
1.597,1.03
1.602,1.03
1.607,1.03
1.612,1.84
1.617,1.97
1.622,1.95
1.627,1.85
1.632,1.92
1.637,1.94
1.642,1.51
1.647,1.95
1.652,1.95
1.657,1.71
1.662,1.03
1.667,1.03
1.672,1.03
1.677,1.58
1.682,1.43
1.687,1.86
1.692,1.79
1.697,1.97
1.702,1.76
1.707,1.87
1.712,1.9
1.717,1.95
1.722,1.74
1.727,1.7
1.732,1.92
1.737,1.97
1.742,1.72
1.747,1.94
1.752,1.96
1.757,1.82
1.762,1.84
1.767,1.89
1.772,1.93
1.777,1.46
1.782,1.46
1.787,1.03
1.792,1.86
1.797,1.96
1.802,1.85
1.807,1.89
1.812,1.86
1.817,1.98
1.822,1.97
1.827,1.94
1.832,1.98
1.837,1.97
1.842,1.93
1.847,1.82
1.852,1.98
1.857,1.9
1.862,1.88
1.867,1.96
1.872,1.98
1.877,1.71
1.881,1.86
1.887,1.22
1.891,1.07
1.897,1.02
1.902,1.03
1.907,1.03
1.911,1.03
1.917,1.03
1.922,1.03
1.927,1.74
1.932,1.03
1.937,1.03
1.942,1.03
1.947,1.03
1.952,1.03
1.957,1.03
1.962,1.66
1.967,1.03
1.972,1.03
1.977,1.03
1.982,1.03
1.987,1.03
1.992,1.03
1.997,1.92
2.002,1.22
2.007,1.94
2.012,1.03
2.017,1.03
2.022,1.03
2.027,1.57
2.032,1.95
2.037,1.95
2.042,1.92
2.047,1.78
2.052,1.96
2.057,1.97
2.062,1.8
2.067,1.89
2.071,1.87
2.077,1.86
2.081,1.51
2.087,1.96
2.092,1.78
2.096,1.77
2.101,1.88
2.107,1.95
2.111,1.76
2.117,1.61
2.122,1.03
2.126,1.71
2.131,1.9
2.137,1.96
2.141,1.8
2.146,1.78
2.151,1.92
2.156,1.96
2.161,1.81
2.166,1.96
2.171,1.96
2.176,1.82
2.181,1.47
2.186,1.98
2.191,1.88
2.196,1.95
2.201,1.95
2.206,1.77
2.211,1.94
2.216,1.96
2.221,1.97
2.226,1.83
2.231,1.94
2.236,1.73
2.241,1.03
2.246,1.03
2.251,1.03
2.256,1.03
2.261,1.77
2.266,1.92
2.271,1.97
2.276,1.86
2.281,1.95
2.286,1.77
2.291,1.92
2.296,1.73
2.301,1.96
2.306,1.97
2.311,1.9
2.316,1.91
2.321,1.97
2.326,1.84
2.331,1.84
2.336,1.97
2.341,1.97
2.346,1.87
2.351,1.11
2.356,1.03
2.361,1.03
2.366,1.03
2.371,1.03
2.376,1.03
2.381,1.03
2.386,1.98
2.391,1.03
2.396,1.03
2.401,1.03
2.406,1.03
2.411,1.03
2.416,1.03
2.421,1.67
2.426,1.03
2.431,1.03
2.436,1.03
2.441,1.03
2.446,1.03
2.451,1.03
2.456,1.97
2.461,1.7
2.466,1.94
2.471,1.03
2.476,1.03
2.481,1.03
2.486,1.62
2.491,1.98
2.496,1.79
2.501,1.67
2.506,1.96
2.511,1.72
2.516,1.96
2.521,1.56
2.526,1.94
2.531,1.79
2.536,1.98
2.541,1.91
2.546,1.81
2.551,1.97
2.556,1.96
2.561,1.7
2.566,1.9
2.571,1.97
2.576,1.73
2.581,1.47
2.586,1.97
2.591,1.97
2.596,1.84
2.601,1.75
2.606,1.97
2.611,1.88
2.616,1.88
2.621,1.97
2.626,1.86
2.631,1.96
2.636,1.33
2.641,1.97
2.646,1.82
2.651,1.97
2.656,1.97
2.661,1.76
