Elapsed Time (s),Value
0.000,2.0
0.000,2.0
0.001,2.0
0.002,2.0
0.002,2.0
0.003,2.0
0.003,1.99
0.005,2.01
0.010,2.0
0.015,2.0
0.020,2.0
0.025,2.0
0.030,2.0
0.035,2.0
0.040,1.87
0.045,1.99
0.050,2.0
0.055,2.0
0.060,2.0
0.065,2.0
0.070,1.97
0.074,2.0
0.079,1.13
0.085,1.13
0.089,1.13
0.095,2.0
0.100,1.13
0.105,1.13
0.110,1.13
0.115,1.13
0.120,1.13
0.125,1.13
0.130,1.13
0.135,1.13
0.140,1.13
0.145,1.13
0.150,1.88
0.155,1.13
0.160,1.13
0.165,1.29
0.170,1.13
0.175,1.13
0.180,1.27
0.185,2.0
0.189,1.99
0.195,2.0
0.200,2.0
0.205,2.0
0.210,1.99
0.215,1.99
0.220,2.0
0.225,1.99
0.230,2.0
0.235,2.0
0.240,1.99
0.245,1.99
0.250,1.99
0.255,1.97
0.259,1.99
0.264,1.99
0.269,1.99
0.274,1.99
0.280,1.99
0.284,2.0
0.290,1.99
0.295,2.0
0.300,2.0
0.305,1.99
0.310,1.13
0.314,1.13
0.320,1.13
0.324,1.13
0.330,1.13
0.334,1.13
0.339,1.15
0.344,1.92
0.349,2.0
0.354,1.99
0.359,1.99
0.364,2.0
0.369,1.99
0.374,1.99
0.379,1.99
0.384,1.99
0.389,1.99
0.394,1.99
0.399,1.98
0.404,2.0
0.409,1.99
0.414,1.99
0.420,1.99
0.425,1.99
0.430,1.99
0.435,1.99
0.440,1.99
0.445,1.99
0.450,1.99
0.455,1.99
0.460,1.99
0.465,1.99
0.470,1.96
0.474,1.99
0.480,1.99
0.485,1.99
0.490,1.99
0.495,1.99
0.500,1.99
0.505,1.99
0.510,1.99
0.515,1.99
0.520,1.99
0.525,1.98
0.530,1.99
0.535,1.99
0.540,1.12
0.545,1.12
0.549,1.12
0.555,1.59
0.560,1.99
0.564,1.99
0.569,2.0
0.574,1.94
0.580,1.99
0.585,1.99
0.590,1.99
0.595,1.99
0.600,1.99
0.605,1.99
0.610,1.99
0.615,1.99
0.620,1.99
0.625,1.99
0.630,1.99
0.635,1.99
0.640,1.99
0.645,1.99
0.650,1.99
0.655,1.99
0.660,1.99
0.665,1.99
0.670,1.99
0.675,1.99
0.680,1.99
0.685,1.99
0.691,1.99
0.695,1.99
0.700,2.0
0.705,2.0
0.710,1.99
0.715,2.0
0.720,1.98
0.725,1.99
0.730,1.99
0.735,1.99
0.740,1.99
0.744,2.0
0.750,1.99
0.755,1.99
0.760,1.99
0.765,2.0
0.770,1.99
0.775,1.13
0.780,1.13
0.784,1.13
0.790,1.13
0.794,1.13
0.799,1.13
0.804,1.99
0.809,1.99
0.814,1.99
0.819,1.99
0.824,1.99
0.830,1.99
0.834,1.99
0.840,1.99
0.844,1.99
0.849,1.99
0.855,1.99
0.859,1.99
0.865,1.99
0.870,2.0
0.875,1.98
0.880,1.99
0.885,1.97
0.890,1.82
0.894,1.99
0.899,1.99
0.905,1.99
0.910,1.99
0.915,1.99
0.920,2.0
0.925,1.98
0.930,1.99
0.935,1.99
0.940,1.98
0.945,1.99
0.949,1.99
0.955,1.99
0.959,1.99
0.964,1.98
0.969,1.99
0.974,1.99
0.979,1.99
0.984,1.99
0.989,1.99
0.994,1.99
0.999,1.99
1.004,1.12
1.009,1.12
1.014,1.12
1.019,1.12
1.024,1.12
1.029,1.12
1.034,1.99
1.039,1.12
1.044,1.12
1.049,1.12
1.054,1.12
1.059,1.12
