Elapsed Time (s),Value
0.003,1.13
0.008,1.13
0.013,2.09
0.018,1.13
0.023,1.13
0.028,1.13
0.033,1.13
0.038,1.13
0.043,1.13
0.048,1.13
0.053,1.13
0.058,1.13
0.063,2.08
0.068,2.09
0.073,2.09
0.078,2.09
0.082,2.09
0.087,2.09
0.092,2.09
0.097,2.09
0.102,2.09
0.108,2.09
0.113,2.09
0.118,2.08
0.123,2.09
0.128,2.09
0.133,2.09
0.138,2.09
0.143,2.09
0.148,2.09
0.153,1.83
0.158,2.09
0.163,2.09
0.168,2.09
0.173,2.09
0.178,2.09
0.183,2.09
0.188,2.09
0.194,1.13
0.198,1.13
0.203,1.13
0.208,1.13
0.213,1.19
0.218,2.09
0.224,2.09
0.228,2.09
0.233,2.09
0.237,2.09
0.243,2.09
0.248,2.09
0.253,2.09
0.258,2.09
0.263,2.09
0.268,2.09
0.273,2.09
0.278,2.09
0.283,2.09
0.288,2.09
0.293,2.08
0.298,2.09
0.303,2.09
0.308,2.09
0.313,2.09
0.318,2.09
0.323,2.09
0.329,2.09
0.333,2.09
0.338,2.09
0.343,2.09
0.348,2.09
0.353,2.09
0.358,2.09
0.363,2.09
0.368,2.09
0.373,2.09
0.378,2.09
0.383,2.09
0.388,2.09
0.393,2.09
0.398,2.09
0.403,2.09
0.408,2.09
0.413,2.09
0.418,2.09
0.423,1.13
0.428,1.13
0.434,1.13
0.438,1.13
0.443,2.09
0.448,2.06
0.453,2.09
0.458,2.09
0.463,2.09
0.468,2.09
0.473,2.09
0.478,2.09
0.483,2.09
0.488,2.09
0.493,2.09
0.498,2.09
0.503,2.09
0.508,2.09
0.513,2.09
0.518,2.09
0.523,2.09
0.528,2.09
0.533,2.09
0.538,2.09
0.543,2.09
0.548,2.09
0.553,2.09
0.557,2.09
0.562,2.09
0.567,2.09
0.573,2.09
0.578,2.09
0.583,2.09
0.588,2.09
0.593,2.07
0.598,2.09
0.604,2.09
0.608,2.09
0.613,2.09
0.618,2.09
0.623,2.07
0.628,2.09
0.633,2.09
0.638,2.09
0.643,2.09
0.648,2.09
0.653,1.13
0.658,1.13
0.663,1.13
0.668,1.13
0.673,1.13
0.678,1.13
0.683,1.98
0.688,1.13
0.693,1.13
0.698,1.13
0.703,1.13
0.708,1.13
0.713,1.13
0.719,1.13
0.723,1.16
0.728,1.13
0.732,1.13
0.737,1.13
0.743,1.13
0.748,1.13
0.753,2.04
0.758,2.09
0.763,2.09
0.768,2.09
0.772,2.09
0.777,2.09
0.782,2.09
0.787,2.09
0.793,2.01
0.797,2.08
0.802,2.09
0.807,2.09
0.812,2.09
0.817,2.09
0.822,2.09
0.827,2.09
0.832,2.09
0.837,2.09
0.842,2.09
0.847,2.09
0.852,2.09
0.857,2.09
0.862,2.09
0.868,2.09
0.872,2.09
0.877,2.09
0.882,1.13
0.887,1.13
0.892,1.13
0.897,1.13
0.902,1.13
0.907,1.34
0.912,2.09
0.917,2.09
0.922,2.09
0.927,2.09
0.932,2.09
0.937,2.09
0.942,2.09
0.947,2.09
0.952,2.09
